  
       XFOIL         Version 6.96
  
 Calculated polar for: EH 2.0/10                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4638   0.02110   0.01432  -0.0047   1.0000   0.0370
  -4.500  -0.4037   0.01782   0.01060  -0.0058   0.9886   0.0449
  -4.000  -0.3162   0.01535   0.00796  -0.0120   0.9579   0.0601
  -3.500  -0.2431   0.01351   0.00609  -0.0150   0.9096   0.0872
  -3.000  -0.1946   0.01248   0.00504  -0.0128   0.8531   0.1334
  -2.500  -0.1542   0.01120   0.00420  -0.0096   0.8050   0.2604
  -2.000  -0.1294   0.00921   0.00431  -0.0015   0.7666   0.8332
  -1.500  -0.0710   0.00981   0.00459   0.0007   0.7311   0.9137
  -1.000   0.0335   0.01069   0.00500  -0.0069   0.6948   0.9538
  -0.500   0.1627   0.01110   0.00491  -0.0208   0.6590   0.9846
   0.000   0.2535   0.01083   0.00433  -0.0284   0.6265   1.0000
   0.500   0.2975   0.01083   0.00411  -0.0267   0.6012   1.0000
   1.000   0.3421   0.01086   0.00398  -0.0251   0.5767   1.0000
   1.500   0.3872   0.01094   0.00394  -0.0235   0.5538   1.0000
   2.000   0.4327   0.01107   0.00392  -0.0218   0.5327   1.0000
   2.500   0.4785   0.01121   0.00403  -0.0202   0.5112   1.0000
   3.000   0.5243   0.01143   0.00415  -0.0185   0.4914   1.0000
   3.500   0.5699   0.01169   0.00442  -0.0168   0.4716   1.0000
   4.000   0.6155   0.01198   0.00470  -0.0150   0.4519   1.0000
   4.500   0.6611   0.01236   0.00506  -0.0132   0.4335   1.0000
   5.000   0.7066   0.01273   0.00553  -0.0114   0.4134   1.0000
   5.500   0.7522   0.01316   0.00601  -0.0096   0.3942   1.0000
   6.000   0.7978   0.01363   0.00658  -0.0078   0.3741   1.0000
   6.500   0.8434   0.01411   0.00716  -0.0059   0.3529   1.0000
   7.000   0.8881   0.01453   0.00776  -0.0040   0.3271   1.0000
   7.500   0.9312   0.01490   0.00819  -0.0019   0.2934   1.0000
   8.000   0.9737   0.01538   0.00881   0.0001   0.2485   1.0000
   8.500   1.0110   0.01658   0.00988   0.0024   0.1702   1.0000
   9.000   1.0136   0.02155   0.01387   0.0082   0.0360   1.0000
   9.500   1.0243   0.02495   0.01745   0.0131   0.0254   1.0000
  10.000   1.0287   0.02814   0.02087   0.0186   0.0225   1.0000
  10.500   1.0315   0.03166   0.02457   0.0230   0.0205   1.0000
  11.000   1.0402   0.03570   0.02877   0.0257   0.0191   1.0000
  11.500   1.0546   0.04028   0.03357   0.0280   0.0181   1.0000
  12.000   1.0680   0.04577   0.03938   0.0299   0.0176   1.0000
  13.000   1.0400   0.06218   0.05669   0.0285   0.0166   1.0000
  13.500   1.0195   0.07024   0.06515   0.0243   0.0162   1.0000
  14.000   0.9897   0.08187   0.07714   0.0191   0.0165   1.0000
  14.500   0.9608   0.09424   0.08983   0.0126   0.0168   1.0000
  15.000   0.9290   0.10820   0.10409   0.0036   0.0168   1.0000
  15.500   0.9057   0.12234   0.11848  -0.0057   0.0171   1.0000
  16.500 NaN      NaN       NaN       NaN        0.0403   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
