  
       XFOIL         Version 6.96
  
 Calculated polar for: Eiffel 430 (Lachassgne)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0250   0.02299   0.01486  -0.0757   0.4874   0.0722
  -4.500   0.0131   0.02033   0.01095  -0.0722   0.3558   0.0736
  -4.000   0.0613   0.01882   0.00887  -0.0701   0.3462   0.0763
  -3.500   0.1105   0.01762   0.00759  -0.0684   0.3410   0.0799
  -3.000   0.1594   0.01710   0.00689  -0.0664   0.3373   0.0860
  -2.500   0.2081   0.01663   0.00642  -0.0645   0.3347   0.0956
  -2.000   0.2569   0.01621   0.00595  -0.0626   0.3325   0.1128
  -1.500   0.3061   0.01654   0.00638  -0.0607   0.3299   0.1573
  -1.000   0.3560   0.01757   0.00715  -0.0591   0.3260   0.1843
  -0.500   0.4077   0.01807   0.00754  -0.0581   0.3225   0.2033
   0.000   0.4604   0.01811   0.00756  -0.0573   0.3196   0.2212
   0.500   0.5140   0.01819   0.00761  -0.0568   0.3173   0.2416
   1.000   0.5675   0.01822   0.00773  -0.0564   0.3137   0.2637
   1.500   0.6217   0.01869   0.00822  -0.0561   0.3103   0.2823
   2.000   0.6716   0.01881   0.00850  -0.0549   0.3070   0.3021
   3.500   0.9400   0.02021   0.01140  -0.0774   0.2914   1.0000
   4.000   0.9906   0.02140   0.01249  -0.0767   0.2857   1.0000
   4.500   1.0331   0.02189   0.01316  -0.0742   0.2774   1.0000
   5.000   1.0748   0.02251   0.01386  -0.0718   0.2669   1.0000
   5.500   1.1151   0.02289   0.01428  -0.0691   0.2568   1.0000
   6.000   1.1505   0.02281   0.01438  -0.0653   0.2465   1.0000
   6.500   1.1794   0.02247   0.01428  -0.0603   0.2343   1.0000
   7.000   1.2028   0.02190   0.01397  -0.0542   0.2201   1.0000
   7.500   1.2280   0.02151   0.01380  -0.0484   0.1953   1.0000
   8.000   1.2415   0.02161   0.01379  -0.0409   0.1683   1.0000
   8.500   1.2541   0.02292   0.01489  -0.0344   0.1498   1.0000
   9.000   1.2665   0.02489   0.01672  -0.0287   0.1381   1.0000
   9.500   1.2860   0.02694   0.01880  -0.0244   0.1287   1.0000
  10.000   1.3102   0.02922   0.02108  -0.0210   0.1214   1.0000
  10.500   1.3392   0.03134   0.02328  -0.0183   0.1153   1.0000
  11.000   1.3830   0.03404   0.02595  -0.0174   0.1094   1.0000
  11.500   1.4040   0.03622   0.02843  -0.0142   0.1054   1.0000
  12.000   1.4250   0.03859   0.03095  -0.0114   0.1004   1.0000
  12.500   1.4554   0.04183   0.03427  -0.0099   0.0955   1.0000
  13.000   1.4600   0.04464   0.03747  -0.0062   0.0927   1.0000
  13.500   1.4654   0.04786   0.04097  -0.0034   0.0893   1.0000
  14.000   1.4776   0.05073   0.04389  -0.0015   0.0854   1.0000
  14.500   1.4762   0.05520   0.04865   0.0004   0.0823   1.0000
  15.000   1.4624   0.06057   0.05444   0.0016   0.0796   1.0000
  15.500   1.4539   0.06592   0.06005   0.0018   0.0766   1.0000
  16.000   1.4628   0.06968   0.06377   0.0019   0.0729   1.0000
  16.500   1.4280   0.07923   0.07383  -0.0001   0.0710   1.0000
  17.000   1.3899   0.09054   0.08557  -0.0038   0.0687   1.0000
  17.500   1.3818   0.09799   0.09312  -0.0072   0.0650   1.0000
  18.000   1.3489   0.11077   0.10616  -0.0135   0.0622   1.0000
