  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 60-100 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2073   0.02293   0.01630  -0.0936   0.9740   0.0277
  -4.500  -0.1306   0.01917   0.01222  -0.0984   0.9684   0.0308
  -3.500   0.0224   0.01496   0.00762  -0.1066   0.9519   0.0389
  -3.000   0.1035   0.01261   0.00665  -0.1131   0.9448   0.4076
  -2.500   0.1780   0.01266   0.00671  -0.1162   0.9342   0.4888
  -2.000   0.2565   0.01246   0.00643  -0.1200   0.9257   0.5292
  -1.500   0.3255   0.01227   0.00621  -0.1218   0.9138   0.5650
  -1.000   0.3896   0.01194   0.00587  -0.1225   0.8991   0.5931
  -0.500   0.4480   0.01169   0.00563  -0.1221   0.8823   0.6193
   0.000   0.5042   0.01140   0.00535  -0.1212   0.8619   0.6440
   0.500   0.5607   0.01110   0.00509  -0.1203   0.8422   0.6714
   1.000   0.6139   0.01085   0.00490  -0.1188   0.8162   0.7007
   1.500   0.6664   0.01056   0.00468  -0.1170   0.7861   0.7334
   2.000   0.7176   0.01031   0.00451  -0.1151   0.7503   0.7746
   2.500   0.7640   0.01003   0.00440  -0.1121   0.7139   0.8492
   3.000   0.8168   0.00997   0.00431  -0.1109   0.6703   1.0000
   3.500   0.8711   0.01037   0.00448  -0.1103   0.6220   1.0000
   4.000   0.9236   0.01088   0.00483  -0.1095   0.5743   1.0000
   4.500   0.9748   0.01151   0.00530  -0.1084   0.5259   1.0000
   5.000   1.0244   0.01221   0.00588  -0.1072   0.4712   1.0000
   5.500   1.0715   0.01309   0.00655  -0.1056   0.4076   1.0000
   6.000   1.1143   0.01431   0.00745  -0.1035   0.3180   1.0000
   6.500   1.1533   0.01602   0.00867  -0.1012   0.2234   1.0000
   7.000   1.1917   0.01794   0.01025  -0.0988   0.1562   1.0000
   7.500   1.2284   0.02001   0.01216  -0.0962   0.1169   1.0000
   8.000   1.2645   0.02205   0.01415  -0.0934   0.0932   1.0000
   8.500   1.2986   0.02439   0.01656  -0.0903   0.0790   1.0000
   9.000   1.3335   0.02684   0.01914  -0.0875   0.0702   1.0000
   9.500   1.3665   0.02903   0.02138  -0.0847   0.0617   1.0000
  10.000   1.3930   0.03059   0.02321  -0.0810   0.0538   1.0000
  10.500   1.4156   0.03294   0.02584  -0.0772   0.0471   1.0000
  11.000   1.4298   0.03547   0.02852  -0.0731   0.0398   1.0000
  11.500   1.4428   0.03782   0.03129  -0.0696   0.0280   1.0000
  12.000   1.4409   0.04288   0.03659  -0.0660   0.0196   1.0000
  12.500   1.4411   0.04803   0.04196  -0.0640   0.0159   1.0000
  13.000   1.4316   0.05523   0.04954  -0.0626   0.0144   1.0000
  13.500   1.4211   0.06321   0.05795  -0.0627   0.0134   1.0000
  14.000   1.4054   0.07261   0.06775  -0.0645   0.0127   1.0000
  14.500   1.3848   0.08366   0.07921  -0.0683   0.0123   1.0000
  15.000   1.3594   0.09672   0.09268  -0.0741   0.0121   1.0000
  15.500   1.3280   0.11225   0.10863  -0.0825   0.0120   1.0000
  16.000   1.2865   0.13189   0.12875  -0.0945   0.0124   1.0000
  16.500   1.2304   0.15835   0.15565  -0.1120   0.0134   1.0000
  17.000   1.1582   0.19521   0.19264  -0.1351   0.0154   1.0000
  17.500   1.1206   0.23203   0.22919  -0.1535   0.0201   1.0000
  18.000   1.1319   0.24215   0.23929  -0.1589   0.0211   1.0000
