  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 63-137 13.7% smoothed                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2614   0.01882   0.01179  -0.1908   0.8716   0.0480
  -4.500   0.3296   0.01709   0.00986  -0.1931   0.8595   0.0532
  -4.000   0.3945   0.01567   0.00849  -0.1953   0.8462   0.0638
  -3.500   0.4713   0.01420   0.00719  -0.2004   0.8342   0.1151
  -3.000   0.5535   0.01302   0.00690  -0.2069   0.8230   0.4315
  -2.500   0.6096   0.01340   0.00721  -0.2063   0.8084   0.4934
  -2.000   0.6649   0.01371   0.00746  -0.2056   0.7942   0.5303
  -1.500   0.7209   0.01398   0.00764  -0.2050   0.7806   0.5608
  -1.000   0.7773   0.01416   0.00777  -0.2045   0.7675   0.5869
  -0.500   0.8364   0.01423   0.00771  -0.2047   0.7544   0.6065
   0.000   0.8914   0.01432   0.00777  -0.2043   0.7395   0.6250
   0.500   0.9467   0.01444   0.00785  -0.2039   0.7246   0.6437
   1.000   1.0022   0.01457   0.00796  -0.2036   0.7098   0.6630
   1.500   1.0577   0.01471   0.00807  -0.2033   0.6946   0.6834
   2.000   1.1124   0.01485   0.00820  -0.2028   0.6790   0.7040
   2.500   1.1654   0.01500   0.00839  -0.2019   0.6628   0.7247
   3.000   1.2179   0.01518   0.00859  -0.2010   0.6460   0.7479
   3.500   1.2698   0.01538   0.00883  -0.2000   0.6284   0.7725
   4.000   1.3195   0.01559   0.00911  -0.1985   0.6102   0.7992
   4.500   1.3676   0.01582   0.00941  -0.1967   0.5914   0.8288
   5.000   1.4136   0.01601   0.00964  -0.1945   0.5710   0.8645
   5.500   1.4458   0.01602   0.00974  -0.1895   0.5453   0.9185
   6.000   1.4919   0.01634   0.00999  -0.1878   0.5160   1.0000
   6.500   1.5415   0.01704   0.01063  -0.1872   0.4887   1.0000
   7.000   1.5851   0.01785   0.01142  -0.1852   0.4604   1.0000
   7.500   1.6237   0.01879   0.01232  -0.1824   0.4320   1.0000
   8.000   1.6548   0.01991   0.01337  -0.1783   0.4022   1.0000
   8.500   1.6772   0.02125   0.01468  -0.1728   0.3712   1.0000
   9.000   1.6952   0.02293   0.01632  -0.1669   0.3391   1.0000
   9.500   1.7074   0.02510   0.01846  -0.1608   0.3042   1.0000
  10.000   1.7123   0.02802   0.02132  -0.1545   0.2641   1.0000
  10.500   1.7078   0.03211   0.02525  -0.1482   0.2198   1.0000
  11.000   1.6972   0.03741   0.03035  -0.1426   0.1806   1.0000
  11.500   1.6906   0.04302   0.03586  -0.1384   0.1550   1.0000
  12.000   1.6883   0.04867   0.04147  -0.1352   0.1395   1.0000
  12.500   1.6948   0.05376   0.04666  -0.1329   0.1286   1.0000
  13.000   1.7041   0.05876   0.05178  -0.1308   0.1206   1.0000
  13.500   1.7157   0.06363   0.05669  -0.1291   0.1139   1.0000
  14.000   1.7319   0.06812   0.06136  -0.1277   0.1082   1.0000
  14.500   1.7486   0.07258   0.06598  -0.1265   0.1034   1.0000
  15.000   1.7753   0.07602   0.06946  -0.1250   0.0986   1.0000
  15.500   1.7861   0.08134   0.07514  -0.1243   0.0949   1.0000
  16.000   1.8026   0.08597   0.07997  -0.1237   0.0913   1.0000
  16.500   1.8334   0.08914   0.08321  -0.1225   0.0871   1.0000
  17.000   1.8301   0.09626   0.09079  -0.1230   0.0847   1.0000
  17.500   1.8273   0.10343   0.09833  -0.1241   0.0814   1.0000
  18.000   1.8464   0.10741   0.10224  -0.1242   0.0761   1.0000
