  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 66-17AII-182 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0938   0.01777   0.00903  -0.0897   0.6433   0.0828
  -4.500  -0.0776   0.01483   0.00808  -0.0849   0.6371   0.4589
  -4.000  -0.0258   0.01559   0.00879  -0.0834   0.6312   0.5560
  -3.500   0.0281   0.01662   0.00963  -0.0823   0.6265   0.5938
  -3.000   0.0799   0.01755   0.01058  -0.0807   0.6204   0.6206
  -2.500   0.1325   0.01843   0.01139  -0.0790   0.6151   0.6482
  -2.000   0.1860   0.01873   0.01150  -0.0788   0.6109   0.6618
  -1.500   0.2366   0.01894   0.01171  -0.0780   0.6051   0.6712
  -1.000   0.2893   0.01909   0.01174  -0.0777   0.6001   0.6826
  -0.500   0.3446   0.01929   0.01171  -0.0782   0.5964   0.6926
   0.000   0.3921   0.01955   0.01208  -0.0773   0.5909   0.6988
   0.500   0.4446   0.01972   0.01216  -0.0775   0.5857   0.7066
   1.000   0.4995   0.01988   0.01223  -0.0778   0.5819   0.7126
   1.500   0.5469   0.02043   0.01284  -0.0772   0.5771   0.7200
   2.000   0.5952   0.02082   0.01328  -0.0766   0.5714   0.7270
   2.500   0.6489   0.02110   0.01354  -0.0769   0.5674   0.7336
   3.000   0.6994   0.02167   0.01411  -0.0769   0.5630   0.7404
   3.500   0.7389   0.02249   0.01513  -0.0751   0.5566   0.7465
   4.000   0.7929   0.02281   0.01545  -0.0755   0.5523   0.7539
   4.500   0.8502   0.02317   0.01584  -0.0763   0.5490   0.7608
   5.000   0.8696   0.02497   0.01798  -0.0720   0.5409   0.7689
   5.500   0.9231   0.02528   0.01839  -0.0722   0.5368   0.7774
   6.000   0.9836   0.02556   0.01870  -0.0735   0.5338   0.7874
   6.500   0.9743   0.02868   0.02226  -0.0656   0.5236   0.7987
   7.000   1.0351   0.02870   0.02242  -0.0667   0.5204   0.8125
   8.000   1.0087   0.03596   0.03038  -0.0527   0.4996   0.8743
   9.000   1.2734   0.02827   0.02296  -0.0728   0.4906   1.0000
   9.500   1.3299   0.02676   0.02153  -0.0723   0.4786   1.0000
  10.000   1.4166   0.02225   0.01682  -0.0745   0.4582   1.0000
  10.500   1.4340   0.02222   0.01697  -0.0682   0.4431   1.0000
  11.000   1.4255   0.02343   0.01840  -0.0594   0.4246   1.0000
  11.500   1.4249   0.02517   0.02024  -0.0535   0.3993   1.0000
  12.000   1.4061   0.02947   0.02464  -0.0486   0.3667   1.0000
  12.500   1.3758   0.03573   0.03070  -0.0446   0.3125   1.0000
  13.000   1.3279   0.04427   0.03889  -0.0412   0.2508   1.0000
  13.500   1.2756   0.05423   0.04848  -0.0389   0.1922   1.0000
  14.000   1.2270   0.06477   0.05860  -0.0378   0.1307   1.0000
  14.500   1.1856   0.07523   0.06860  -0.0375   0.0742   1.0000
  15.000   1.1608   0.08430   0.07747  -0.0377   0.0475   1.0000
  15.500   1.1503   0.09197   0.08518  -0.0382   0.0385   1.0000
  16.000   1.1462   0.09886   0.09214  -0.0388   0.0337   1.0000
  16.500   1.1497   0.10476   0.09812  -0.0394   0.0297   1.0000
  17.000   1.1599   0.10928   0.10267  -0.0393   0.0269   1.0000
  17.500   1.1749   0.11341   0.10692  -0.0395   0.0244   1.0000
  18.000   1.1976   0.11554   0.10898  -0.0384   0.0221   1.0000
