  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT N
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1408   0.01742   0.00892  -0.0829   0.6198   0.1295
  -4.500  -0.1017   0.01539   0.00850  -0.0821   0.6145   0.4933
  -4.000  -0.0461   0.01613   0.00909  -0.0816   0.6098   0.5532
  -3.500   0.0084   0.01716   0.01010  -0.0807   0.6043   0.5895
  -3.000   0.0625   0.01816   0.01107  -0.0795   0.5990   0.6181
  -2.500   0.1183   0.01856   0.01131  -0.0793   0.5948   0.6339
  -2.000   0.1739   0.01886   0.01146  -0.0798   0.5906   0.6469
  -1.500   0.2283   0.01920   0.01176  -0.0799   0.5852   0.6615
  -1.000   0.2836   0.01941   0.01190  -0.0800   0.5810   0.6705
  -0.500   0.3404   0.01964   0.01196  -0.0809   0.5776   0.6805
   0.000   0.3936   0.02007   0.01243  -0.0813   0.5729   0.6906
   0.500   0.4476   0.02036   0.01274  -0.0817   0.5681   0.6991
   1.000   0.5041   0.02066   0.01295  -0.0826   0.5644   0.7097
   1.500   0.5598   0.02111   0.01335  -0.0831   0.5615   0.7184
   2.000   0.6083   0.02188   0.01430  -0.0832   0.5559   0.7279
   2.500   0.6610   0.02248   0.01496  -0.0836   0.5516   0.7382
   3.000   0.7156   0.02291   0.01542  -0.0841   0.5484   0.7470
   3.500   0.7707   0.02352   0.01602  -0.0848   0.5451   0.7575
   4.000   0.8094   0.02513   0.01796  -0.0840   0.5387   0.7674
   4.500   0.8603   0.02582   0.01877  -0.0841   0.5346   0.7777
   5.000   0.9176   0.02613   0.01910  -0.0850   0.5316   0.7888
   5.500   0.9438   0.02890   0.02224  -0.0832   0.5243   0.8010
   6.000   0.9870   0.03007   0.02361  -0.0826   0.5192   0.8137
   6.500   1.0453   0.03013   0.02377  -0.0832   0.5166   0.8284
   7.500   1.0330   0.03970   0.03409  -0.0746   0.4961   0.8728
   8.000   1.1389   0.03589   0.03048  -0.0780   0.4984   0.9332
   9.000   1.2234   0.03868   0.03355  -0.0786   0.4853   1.0002
   9.500   1.3300   0.03227   0.02714  -0.0814   0.4740   1.0002
  10.000   1.4146   0.02865   0.02357  -0.0835   0.4640   1.0002
  10.500   1.4798   0.02545   0.02041  -0.0831   0.4470   1.0002
  11.000   1.5026   0.02425   0.01933  -0.0777   0.4202   1.0002
  11.500   1.4895   0.02680   0.02194  -0.0715   0.3743   1.0002
  12.000   1.4406   0.03487   0.02960  -0.0672   0.2966   1.0002
  12.500   1.3770   0.04582   0.04023  -0.0641   0.2367   1.0002
  13.000   1.3140   0.05732   0.05139  -0.0618   0.1760   1.0002
  13.500   1.2551   0.06943   0.06305  -0.0606   0.1110   1.0002
  14.000   1.2160   0.07995   0.07325  -0.0601   0.0717   1.0002
  14.500   1.1978   0.08842   0.08167  -0.0600   0.0580   1.0002
  15.000   1.1915   0.09545   0.08877  -0.0600   0.0498   1.0002
  15.500   1.1903   0.10162   0.09495  -0.0598   0.0434   1.0002
  16.000   1.1990   0.10628   0.09960  -0.0594   0.0382   1.0002
  16.500   1.2152   0.10972   0.10312  -0.0585   0.0333   1.0002
  17.000   1.2357   0.11208   0.10539  -0.0571   0.0290   1.0002
  17.500   1.2542   0.11560   0.10910  -0.0567   0.0262   1.0002
  18.000   1.2855   0.11588   0.10929  -0.0540   0.0233   1.0002
