  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 66-S-196 V1 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0837   0.01614   0.00942  -0.0995   0.6502   0.5128
  -4.500  -0.0276   0.01709   0.01018  -0.0988   0.6449   0.5444
  -4.000   0.0256   0.01795   0.01092  -0.0980   0.6389   0.5704
  -3.500   0.0789   0.01889   0.01191  -0.0963   0.6331   0.5916
  -3.000   0.1344   0.01931   0.01213  -0.0961   0.6289   0.6067
  -2.500   0.1878   0.01941   0.01209  -0.0967   0.6242   0.6172
  -2.000   0.2408   0.01948   0.01211  -0.0967   0.6197   0.6229
  -1.500   0.2966   0.01949   0.01197  -0.0976   0.6160   0.6293
  -1.000   0.3544   0.01949   0.01174  -0.0991   0.6130   0.6348
  -0.500   0.4056   0.01979   0.01207  -0.0993   0.6095   0.6387
   0.000   0.4570   0.02014   0.01243  -0.0997   0.6056   0.6442
   0.500   0.5115   0.02042   0.01261  -0.1007   0.6022   0.6498
   1.000   0.5654   0.02074   0.01294  -0.1012   0.5996   0.6542
   1.500   0.6210   0.02120   0.01336  -0.1021   0.5975   0.6596
   2.000   0.6637   0.02221   0.01448  -0.1015   0.5937   0.6656
   2.500   0.7035   0.02333   0.01580  -0.1003   0.5899   0.6707
   3.000   0.7502   0.02419   0.01673  -0.1000   0.5866   0.6777
   3.500   0.7997   0.02502   0.01763  -0.1001   0.5844   0.6855
   4.000   0.8541   0.02568   0.01835  -0.1008   0.5821   0.6943
   4.500   0.6731   0.03943   0.03261  -0.0758   0.5640   0.7002
   5.000   0.7656   0.03722   0.03048  -0.0793   0.5645   0.7118
   5.500   0.8728   0.03498   0.02834  -0.0856   0.5651   0.7251
