  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 66-S-196 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1150   0.01718   0.01082  -0.0925   0.6737   0.5494
  -4.500  -0.0618   0.01828   0.01180  -0.0914   0.6680   0.5786
  -4.000  -0.0066   0.01933   0.01275  -0.0902   0.6634   0.6016
  -3.500   0.0477   0.02013   0.01342  -0.0894   0.6598   0.6197
  -3.000   0.0966   0.02099   0.01426  -0.0880   0.6549   0.6388
  -2.500   0.1477   0.02161   0.01487  -0.0867   0.6508   0.6511
  -2.000   0.2005   0.02187   0.01501  -0.0862   0.6475   0.6620
  -1.500   0.2548   0.02191   0.01482  -0.0875   0.6443   0.6715
  -1.000   0.2990   0.02231   0.01532  -0.0863   0.6389   0.6762
  -0.500   0.3503   0.02251   0.01543  -0.0868   0.6351   0.6808
   0.000   0.4055   0.02256   0.01535  -0.0881   0.6320   0.6847
   0.500   0.4629   0.02273   0.01535  -0.0897   0.6296   0.6883
   1.000   0.4929   0.02403   0.01685  -0.0874   0.6234   0.6905
   1.500   0.5386   0.02467   0.01751  -0.0871   0.6190   0.6931
   2.000   0.5931   0.02502   0.01781  -0.0880   0.6163   0.6961
   2.500   0.6525   0.02526   0.01798  -0.0895   0.6139   0.7000
   3.000   0.6333   0.02918   0.02215  -0.0814   0.6028   0.7024
   3.500   0.6889   0.02953   0.02251  -0.0822   0.6005   0.7059
   4.000   0.7545   0.02950   0.02251  -0.0843   0.5989   0.7092
