  
       XFOIL         Version 6.96
  
 Calculated polar for: BELL/WORTMANN FX 69-H-098 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500  -0.2008   0.01430   0.00627  -0.0095   0.9847   0.0557
  -1.000   0.1151   0.01016   0.00523  -0.0383   0.9708   1.0000
  -0.500   0.1994   0.00975   0.00466  -0.0440   0.9440   1.0000
   0.000   0.2575   0.00934   0.00411  -0.0438   0.8988   1.0000
   0.500   0.3054   0.00904   0.00360  -0.0410   0.8390   1.0000
   1.000   0.3526   0.00904   0.00325  -0.0383   0.7642   1.0000
   1.500   0.3993   0.00934   0.00310  -0.0359   0.6710   1.0000
   2.000   0.4452   0.00991   0.00311  -0.0337   0.5692   1.0000
   2.500   0.4918   0.01057   0.00331  -0.0319   0.4951   1.0000
   3.000   0.5393   0.01117   0.00362  -0.0305   0.4471   1.0000
   3.500   0.5872   0.01177   0.00402  -0.0291   0.4129   1.0000
   4.000   0.6352   0.01240   0.00450  -0.0277   0.3854   1.0000
   4.500   0.6834   0.01301   0.00506  -0.0263   0.3606   1.0000
   5.000   0.7314   0.01369   0.00569  -0.0250   0.3390   1.0000
   5.500   0.7795   0.01438   0.00641  -0.0236   0.3194   1.0000
   6.000   0.8274   0.01509   0.00719  -0.0222   0.3013   1.0000
   6.500   0.8739   0.01567   0.00783  -0.0206   0.2806   1.0000
   7.000   0.9192   0.01617   0.00840  -0.0189   0.2590   1.0000
   7.500   0.9638   0.01655   0.00901  -0.0170   0.2345   1.0000
   8.000   1.0080   0.01703   0.00967  -0.0152   0.2085   1.0000
   8.500   1.0502   0.01764   0.01040  -0.0132   0.1654   1.0000
   9.000   1.0738   0.02066   0.01277  -0.0090   0.0638   1.0000
   9.500   1.0961   0.02358   0.01574  -0.0044   0.0443   1.0000
  10.500   1.1330   0.02950   0.02192   0.0050   0.0311   1.0000
  11.000   1.1466   0.03309   0.02557   0.0098   0.0280   1.0000
  11.500   1.1633   0.03648   0.02927   0.0139   0.0255   1.0000
  12.000   1.1800   0.04061   0.03361   0.0171   0.0239   1.0000
  12.500   1.1872   0.04632   0.03970   0.0202   0.0228   1.0000
  13.000   1.1743   0.05205   0.04598   0.0228   0.0221   1.0000
  13.500   1.1547   0.05967   0.05412   0.0228   0.0219   1.0000
  14.000   1.1268   0.06938   0.06430   0.0198   0.0219   1.0000
  14.500   1.0928   0.08132   0.07666   0.0137   0.0221   1.0000
  15.000   1.0553   0.09524   0.09094   0.0054   0.0224   1.0000
