  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 72-MS-150A AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500   0.3904   0.04638   0.04150  -0.1781   0.6883   0.0626
  -4.000   0.4507   0.03936   0.03409  -0.1914   0.6825   0.0722
  -3.000   0.5760   0.03099   0.02491  -0.2063   0.6703   0.1102
  -2.500   0.6583   0.02562   0.01846  -0.2127   0.6656   0.0820
  -2.000   0.7306   0.02148   0.01320  -0.2144   0.6608   0.0441
  -1.500   0.7855   0.02049   0.01208  -0.2146   0.6550   0.0446
  -1.000   0.8447   0.01963   0.01123  -0.2157   0.6504   0.0475
  -0.500   0.9110   0.01903   0.01051  -0.2182   0.6465   0.0694
   0.000   0.9629   0.01904   0.01191  -0.2185   0.6409   0.5911
   0.500   1.0078   0.01990   0.01287  -0.2162   0.6361   0.6528
   1.000   1.0611   0.02038   0.01324  -0.2160   0.6326   0.6826
   1.500   1.1193   0.02081   0.01350  -0.2170   0.6297   0.6973
   2.000   1.1607   0.02196   0.01478  -0.2157   0.6249   0.7090
   2.500   1.2069   0.02286   0.01572  -0.2151   0.6201   0.7224
   3.000   1.2596   0.02353   0.01637  -0.2155   0.6167   0.7355
   3.500   1.3160   0.02408   0.01691  -0.2164   0.6140   0.7517
   4.000   1.3472   0.02606   0.01911  -0.2139   0.6095   0.7716
   5.000   1.4009   0.02952   0.02313  -0.2072   0.5995   1.0000
   5.500   1.4758   0.02925   0.02273  -0.2108   0.5970   1.0000
   6.500   1.4436   0.03834   0.03212  -0.1940   0.5803   1.0000
   7.000   1.5231   0.03789   0.03169  -0.1976   0.5792   1.0000
