  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 73-CL3-152                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.3072   0.05996   0.05496  -0.1233   0.6202   0.0891
  -4.500   0.3289   0.05523   0.05005  -0.1286   0.5976   0.0951
  -4.000   0.3690   0.04925   0.04389  -0.1397   0.5799   0.1051
  -3.500   0.4071   0.04637   0.04084  -0.1399   0.5653   0.1098
  -3.000   0.5257   0.01977   0.01123  -0.1798   0.5554   0.0739
  -2.500   0.5799   0.01889   0.01018  -0.1795   0.5434   0.0803
  -2.000   0.6347   0.01817   0.00922  -0.1791   0.5327   0.0879
  -1.500   0.6893   0.01778   0.00876  -0.1786   0.5236   0.1001
  -1.000   0.7442   0.01747   0.00841  -0.1782   0.5154   0.1204
  -0.500   0.7996   0.01746   0.00841  -0.1779   0.5079   0.1629
   0.000   0.8536   0.01762   0.00863  -0.1773   0.5003   0.2154
   0.500   0.9093   0.01792   0.00890  -0.1771   0.4939   0.2609
   1.000   0.9621   0.01827   0.00935  -0.1764   0.4874   0.3068
   1.500   1.0150   0.01858   0.00973  -0.1757   0.4809   0.3574
   2.000   1.0704   0.01893   0.01011  -0.1754   0.4749   0.4141
   2.500   1.1219   0.01939   0.01079  -0.1746   0.4691   0.4833
   3.000   1.1714   0.01974   0.01138  -0.1733   0.4628   0.5704
   3.500   1.2275   0.02013   0.01189  -0.1732   0.4574   0.6803
   4.000   1.2936   0.02048   0.01252  -0.1755   0.4517   1.0000
   4.500   1.3429   0.02121   0.01324  -0.1746   0.4456   1.0000
   5.000   1.3960   0.02194   0.01386  -0.1742   0.4403   1.0000
   5.500   1.4531   0.02299   0.01469  -0.1747   0.4351   1.0000
   6.000   1.4946   0.02381   0.01569  -0.1724   0.4291   1.0000
   6.500   1.5420   0.02465   0.01654  -0.1712   0.4235   1.0000
   7.000   1.5968   0.02549   0.01727  -0.1713   0.4187   1.0000
   7.500   1.6384   0.02676   0.01867  -0.1694   0.4133   1.0000
   8.000   1.6767   0.02776   0.01982  -0.1669   0.4069   1.0000
   8.500   1.7266   0.02856   0.02059  -0.1662   0.4019   1.0000
   9.000   1.7716   0.02994   0.02203  -0.1651   0.3970   1.0000
   9.500   1.7959   0.03145   0.02382  -0.1607   0.3909   1.0000
  10.000   1.8362   0.03235   0.02478  -0.1587   0.3855   1.0000
  10.500   1.8955   0.03342   0.02577  -0.1598   0.3810   1.0000
  11.000   1.8888   0.03575   0.02854  -0.1512   0.3752   1.0000
  11.500   1.9054   0.03724   0.03019  -0.1460   0.3697   1.0000
  12.000   1.9611   0.03787   0.03081  -0.1464   0.3655   1.0000
  12.500   1.9334   0.04154   0.03485  -0.1366   0.3599   1.0000
  13.000   1.9071   0.04564   0.03924  -0.1286   0.3537   1.0000
  13.500   2.0102   0.04248   0.03585  -0.1328   0.3480   1.0000
  14.000   1.8521   0.05613   0.05020  -0.1170   0.3391   1.0000
  14.500   1.9431   0.05198   0.04595  -0.1181   0.3341   1.0000
  15.500   1.8131   0.07347   0.06803  -0.1103   0.3173   1.0000
