  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 77-W-121                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500   0.0304   0.02077   0.01161  -0.0337   0.5399   0.0504
  -2.000   0.0851   0.01904   0.00957  -0.0327   0.5366   0.0556
  -1.500   0.1362   0.01792   0.00850  -0.0315   0.5326   0.0657
  -1.000   0.1844   0.01714   0.00775  -0.0298   0.5297   0.0859
   0.000   0.4594   0.01476   0.00763  -0.0643   0.5204   1.0000
   0.500   0.5066   0.01525   0.00801  -0.0630   0.5174   1.0000
   1.000   0.5535   0.01578   0.00845  -0.0615   0.5133   1.0000
   1.500   0.6023   0.01623   0.00875  -0.0603   0.5100   1.0000
   2.000   0.6480   0.01697   0.00955  -0.0589   0.5059   1.0000
   3.500   0.7877   0.01903   0.01164  -0.0549   0.4922   1.0000
   4.000   0.8356   0.01968   0.01229  -0.0537   0.4881   1.0000
   4.500   0.8797   0.02050   0.01326  -0.0521   0.4819   1.0000
   5.000   0.9242   0.02130   0.01417  -0.0506   0.4755   1.0000
   5.500   0.9750   0.02149   0.01432  -0.0496   0.4703   1.0000
   6.000   1.0164   0.02240   0.01547  -0.0477   0.4625   1.0000
   6.500   1.0597   0.02327   0.01651  -0.0461   0.4561   1.0000
   7.000   1.1112   0.02339   0.01670  -0.0452   0.4507   1.0000
   8.000   1.1959   0.02461   0.01838  -0.0414   0.4337   1.0000
   8.500   1.2402   0.02498   0.01899  -0.0397   0.4253   1.0000
   9.000   1.2901   0.02439   0.01858  -0.0382   0.4151   1.0000
   9.500   1.3455   0.02149   0.01574  -0.0363   0.3953   1.0000
  10.000   1.3864   0.01992   0.01444  -0.0331   0.3665   1.0000
  10.500   1.4110   0.01980   0.01413  -0.0281   0.2954   1.0000
  11.000   1.3723   0.02384   0.01758  -0.0169   0.2108   1.0000
  11.500   1.3339   0.03061   0.02424  -0.0134   0.1682   1.0000
  12.000   1.2814   0.04134   0.03468  -0.0139   0.1142   1.0000
  12.500   1.2332   0.05160   0.04462  -0.0141   0.0650   1.0000
  13.000   1.1971   0.06093   0.05375  -0.0145   0.0409   1.0000
  13.500   1.1697   0.07025   0.06307  -0.0154   0.0283   1.0000
  14.000   1.1579   0.07807   0.07107  -0.0165   0.0258   1.0000
  14.500   1.1499   0.08551   0.07869  -0.0177   0.0249   1.0000
  15.000   1.1415   0.09295   0.08616  -0.0187   0.0221   1.0000
