  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 78-K-161                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2757   0.02809   0.01986  -0.0517   0.7470   0.0681
  -4.500  -0.2402   0.02744   0.01926  -0.0496   0.7414   0.0779
  -4.000  -0.2059   0.02683   0.01865  -0.0459   0.7373   0.0976
  -3.500  -0.1887   0.02650   0.01867  -0.0410   0.7295   0.1527
  -3.000  -0.1912   0.02456   0.01830  -0.0314   0.7239   0.4703
  -2.500  -0.1764   0.02598   0.02104  -0.0214   0.7144   0.8156
  -2.000  -0.1204   0.02788   0.02272  -0.0182   0.7097   0.8599
  -1.500   0.0456   0.03004   0.02455  -0.0349   0.7085   0.8884
  -1.000   0.1853   0.03131   0.02561  -0.0501   0.7044   0.9158
  -0.500   0.2740   0.03184   0.02605  -0.0579   0.6977   0.9332
   0.000   0.3544   0.03150   0.02559  -0.0626   0.6941   0.9477
   1.000   0.4609   0.03167   0.02569  -0.0647   0.6796   0.9680
   1.500   0.5344   0.03082   0.02479  -0.0679   0.6772   0.9742
   2.000   0.5708   0.03182   0.02585  -0.0677   0.6655   0.9805
   2.500   0.6326   0.03116   0.02521  -0.0689   0.6630   0.9847
   3.000   0.6685   0.03218   0.02631  -0.0684   0.6511   0.9894
   3.500   0.7295   0.03129   0.02548  -0.0691   0.6470   0.9924
   4.000   0.7741   0.03189   0.02621  -0.0696   0.6359   0.9967
   4.500   0.8257   0.03136   0.02578  -0.0690   0.6314   0.9983
   5.500   0.8713   0.03309   0.02778  -0.0615   0.6072   1.0000
   6.000   0.9415   0.03034   0.02520  -0.0613   0.6046   1.0000
   6.500   1.0776   0.01989   0.01480  -0.0648   0.6020   1.0000
   7.000   1.1258   0.01747   0.01236  -0.0616   0.5530   1.0000
   7.500   1.1383   0.01793   0.01224  -0.0543   0.4379   1.0000
   8.000   1.0825   0.02096   0.01477  -0.0387   0.3519   1.0000
   8.500   1.0304   0.02317   0.01683  -0.0238   0.3186   1.0000
   9.000   0.9726   0.02602   0.01930  -0.0092   0.2551   1.0000
   9.500   0.9105   0.02931   0.02206   0.0049   0.1731   1.0000
  10.000   0.8588   0.03473   0.02653   0.0141   0.0489   1.0000
  10.500   0.8633   0.03809   0.02987   0.0174   0.0352   1.0000
  11.000   0.8699   0.04181   0.03370   0.0197   0.0311   1.0000
  11.500   0.8824   0.04537   0.03743   0.0212   0.0296   1.0000
  12.000   0.8946   0.04905   0.04122   0.0226   0.0280   1.0000
  12.500   0.9125   0.05221   0.04443   0.0240   0.0272   1.0000
  13.000   0.9384   0.05448   0.04670   0.0257   0.0263   1.0000
  13.500   0.9864   0.05492   0.04709   0.0285   0.0252   1.0000
  14.000   1.0212   0.05729   0.04974   0.0297   0.0244   1.0000
  14.500   1.0649   0.06004   0.05281   0.0313   0.0245   1.0000
  15.000   1.1010   0.06470   0.05784   0.0324   0.0249   1.0000
  15.500   1.1241   0.07035   0.06387   0.0333   0.0257   1.0000
  16.000   1.0696   0.08028   0.07475   0.0343   0.0278   1.0000
  16.500   1.0356   0.09148   0.08647   0.0333   0.0299   1.0000
  17.000   0.8109   0.09032   0.08609   0.0385   0.0280   1.0000
  17.500   0.7542   0.10254   0.09877   0.0319   0.0291   1.0000
  18.000   0.6958   0.11691   0.11351   0.0226   0.0301   1.0000
