  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 79-K-144/17 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2014   0.02166   0.01354  -0.0813   0.8642   0.0660
  -4.500  -0.1555   0.02066   0.01253  -0.0795   0.8581   0.0745
  -4.000  -0.1166   0.01976   0.01186  -0.0773   0.8474   0.1164
  -3.500  -0.0808   0.01854   0.01168  -0.0754   0.8386   0.3322
  -3.000  -0.0543   0.01803   0.01297  -0.0677   0.8319   0.7385
  -2.500  -0.0178   0.01965   0.01444  -0.0631   0.8215   0.8274
  -2.000   0.0069   0.02127   0.01602  -0.0543   0.8106   0.8649
  -1.000   0.0923   0.02265   0.01711  -0.0458   0.7944   0.9180
  -0.500   0.2116   0.02285   0.01710  -0.0566   0.7926   0.9371
   0.000   0.2996   0.02301   0.01719  -0.0643   0.7824   0.9531
   0.500   0.3664   0.02291   0.01702  -0.0673   0.7730   0.9634
   1.000   0.4299   0.02248   0.01652  -0.0689   0.7658   0.9716
   1.500   0.4937   0.02247   0.01653  -0.0721   0.7547   0.9776
   2.000   0.5562   0.02195   0.01599  -0.0733   0.7502   0.9834
   2.500   0.6179   0.02195   0.01607  -0.0761   0.7383   0.9883
   3.000   0.6764   0.02183   0.01604  -0.0778   0.7274   0.9937
   3.500   0.7485   0.02072   0.01502  -0.0806   0.7224   0.9972
   4.000   0.8036   0.02027   0.01471  -0.0812   0.7103   1.0000
   4.500   0.8464   0.01963   0.01421  -0.0788   0.6982   1.0000
   5.000   0.8948   0.01820   0.01292  -0.0765   0.6860   1.0000
   5.500   0.9475   0.01619   0.01103  -0.0744   0.6698   1.0000
   6.000   1.0005   0.01438   0.00923  -0.0722   0.6413   1.0000
   6.500   1.0427   0.01391   0.00863  -0.0690   0.5947   1.0000
   7.000   1.0674   0.01431   0.00891  -0.0633   0.5336   1.0000
   7.500   1.0739   0.01517   0.00955  -0.0547   0.4651   1.0000
   8.000   1.0464   0.01633   0.01038  -0.0406   0.3938   1.0000
   8.500   1.0237   0.01979   0.01310  -0.0322   0.2539   1.0000
   9.000   1.0093   0.02495   0.01726  -0.0274   0.1060   1.0000
   9.500   1.0207   0.02860   0.02063  -0.0248   0.0632   1.0000
  10.000   1.0364   0.03203   0.02406  -0.0228   0.0483   1.0000
  10.500   1.0473   0.03595   0.02809  -0.0202   0.0378   1.0000
  11.000   1.0619   0.03972   0.03187  -0.0177   0.0318   1.0000
  11.500   1.0920   0.04263   0.03494  -0.0155   0.0289   1.0000
  12.000   1.1296   0.04530   0.03775  -0.0140   0.0265   1.0000
  12.500   1.1782   0.04871   0.04129  -0.0130   0.0243   1.0000
  13.000   1.2071   0.05328   0.04636  -0.0113   0.0237   1.0000
  13.500   1.2195   0.05930   0.05295  -0.0092   0.0236   1.0000
  14.000   1.2139   0.06664   0.06086  -0.0070   0.0237   1.0000
  14.500   1.1954   0.07521   0.06993  -0.0053   0.0240   1.0000
  15.000   1.1810   0.08512   0.08021  -0.0047   0.0247   1.0000
  15.500   1.1406   0.09400   0.08964  -0.0062   0.0254   1.0000
  16.000   1.0292   0.11929   0.11585  -0.0184   0.0282   1.0000
  16.500   0.9697   0.14222   0.13909  -0.0330   0.0296   1.0000
