  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX L V-152 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5511   0.01341   0.00724  -0.0032   0.7956   0.5426
  -4.500  -0.4956   0.01378   0.00751  -0.0027   0.7831   0.5697
  -4.000  -0.4405   0.01420   0.00777  -0.0021   0.7723   0.5933
  -3.500  -0.3849   0.01464   0.00810  -0.0016   0.7623   0.6144
  -3.000  -0.3287   0.01492   0.00835  -0.0013   0.7532   0.6294
  -2.500  -0.2728   0.01501   0.00837  -0.0011   0.7434   0.6420
  -2.000  -0.2169   0.01509   0.00839  -0.0011   0.7349   0.6558
  -1.500  -0.1605   0.01508   0.00830  -0.0014   0.7256   0.6671
  -1.000  -0.1044   0.01509   0.00831  -0.0015   0.7170   0.6763
  -0.500  -0.0479   0.01509   0.00824  -0.0019   0.7074   0.6881
   0.000   0.0077   0.01516   0.00839  -0.0016   0.6979   0.6974
   0.500   0.0636   0.01510   0.00828  -0.0017   0.6873   0.7086
   1.000   0.1196   0.01513   0.00839  -0.0018   0.6766   0.7170
   1.500   0.1762   0.01507   0.00825  -0.0020   0.6671   0.7259
   2.000   0.2318   0.01508   0.00841  -0.0021   0.6544   0.7343
   2.500   0.2878   0.01501   0.00836  -0.0021   0.6415   0.7440
   3.000   0.3436   0.01486   0.00825  -0.0017   0.6289   0.7525
   3.500   0.3994   0.01462   0.00813  -0.0016   0.6123   0.7627
   4.000   0.4546   0.01417   0.00777  -0.0008   0.5922   0.7722
   4.500   0.5096   0.01376   0.00746  -0.0002   0.5688   0.7825
   5.000   0.5642   0.01343   0.00730   0.0003   0.5402   0.7951
   5.500   0.6175   0.01309   0.00714   0.0012   0.5021   0.8085
   6.000   0.6684   0.01305   0.00709   0.0023   0.4443   0.8238
   6.500   0.7121   0.01376   0.00745   0.0041   0.3383   0.8440
   7.000   0.7483   0.01530   0.00854   0.0063   0.2260   0.8689
   7.500   0.7825   0.01678   0.00980   0.0089   0.1618   0.9052
   8.000   0.8371   0.01815   0.01115   0.0072   0.1211   0.9723
   8.500   0.8868   0.01975   0.01261   0.0055   0.0944   0.9995
   9.000   0.9232   0.02163   0.01439   0.0064   0.0767   0.9995
   9.500   0.9538   0.02368   0.01641   0.0080   0.0646   0.9995
  10.000   0.9826   0.02565   0.01840   0.0094   0.0561   0.9995
  10.500   1.0098   0.02797   0.02075   0.0104   0.0503   0.9995
  11.000   1.0344   0.03064   0.02352   0.0112   0.0458   0.9995
  11.500   1.0552   0.03369   0.02665   0.0119   0.0412   0.9995
  12.000   1.0734   0.03709   0.03022   0.0126   0.0363   0.9995
  12.500   1.0875   0.04100   0.03435   0.0131   0.0311   0.9995
  13.000   1.0963   0.04548   0.03897   0.0135   0.0274   0.9995
  13.500   1.1024   0.05029   0.04388   0.0140   0.0252   0.9995
  14.000   1.1082   0.05527   0.04901   0.0144   0.0237   0.9995
  14.500   1.1137   0.06050   0.05438   0.0150   0.0226   0.9995
  15.000   1.1078   0.06740   0.06168   0.0144   0.0219   0.9995
  15.500   1.0958   0.07550   0.07015   0.0125   0.0215   0.9995
  16.000   1.0744   0.08561   0.08067   0.0087   0.0213   0.9995
  16.500   1.0383   0.09921   0.09474   0.0019   0.0214   0.9995
  17.000   0.9832   0.11848   0.11452  -0.0098   0.0218   0.9995
  17.500   0.9138   0.14427   0.14072  -0.0263   0.0227   0.9995
