  
       XFOIL         Version 6.96
  
 Calculated polar for: GEMINI (smoothed)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2970   0.01417   0.00728  -0.0556   0.9012   0.2690
  -4.500  -0.2486   0.01315   0.00663  -0.0543   0.8842   0.3784
  -4.000  -0.2022   0.01245   0.00624  -0.0521   0.8670   0.4855
  -3.500  -0.1578   0.01209   0.00604  -0.0492   0.8484   0.5705
  -3.000  -0.1126   0.01190   0.00593  -0.0463   0.8300   0.6424
  -2.500  -0.0649   0.01177   0.00589  -0.0437   0.8121   0.7022
  -2.000  -0.0138   0.01166   0.00574  -0.0421   0.7944   0.7444
  -1.500   0.0399   0.01159   0.00565  -0.0409   0.7768   0.7829
  -1.000   0.0947   0.01158   0.00558  -0.0400   0.7591   0.8206
  -0.500   0.1520   0.01162   0.00556  -0.0396   0.7413   0.8573
   0.000   0.2177   0.01178   0.00562  -0.0409   0.7234   0.8909
   0.500   0.2918   0.01209   0.00583  -0.0439   0.7043   0.9223
   1.000   0.3767   0.01235   0.00599  -0.0497   0.6832   0.9397
   1.500   0.4635   0.01259   0.00608  -0.0561   0.6621   0.9543
   2.000   0.5495   0.01278   0.00612  -0.0625   0.6409   0.9686
   2.500   0.6333   0.01294   0.00623  -0.0689   0.6172   0.9841
   3.000   0.7200   0.01302   0.00619  -0.0760   0.5948   0.9976
   3.500   0.7689   0.01310   0.00625  -0.0757   0.5729   1.0000
   4.000   0.8086   0.01326   0.00637  -0.0732   0.5527   1.0000
   4.500   0.8486   0.01351   0.00657  -0.0706   0.5336   1.0000
   5.000   0.8889   0.01386   0.00686  -0.0679   0.5151   1.0000
   5.500   0.9271   0.01425   0.00729  -0.0648   0.4959   1.0000
   6.000   0.9644   0.01466   0.00772  -0.0615   0.4755   1.0000
   6.500   1.0011   0.01507   0.00806  -0.0579   0.4524   1.0000
   7.000   1.0349   0.01550   0.00858  -0.0538   0.4289   1.0000
   7.500   1.0690   0.01601   0.00905  -0.0498   0.4051   1.0000
   8.000   1.0991   0.01651   0.00966  -0.0451   0.3788   1.0000
   8.500   1.1252   0.01711   0.01030  -0.0397   0.3483   1.0000
   9.000   1.1427   0.01790   0.01106  -0.0329   0.3079   1.0000
   9.500   1.1375   0.01934   0.01221  -0.0226   0.2390   1.0000
  10.000   1.1010   0.02339   0.01531  -0.0104   0.1032   1.0000
  10.500   1.0831   0.02777   0.01939  -0.0030   0.0607   1.0000
  11.000   1.0768   0.03205   0.02380   0.0016   0.0520   1.0000
  11.500   1.0749   0.03651   0.02844   0.0047   0.0466   1.0000
  12.000   1.0605   0.04242   0.03444   0.0075   0.0433   1.0000
  12.500   1.0653   0.04688   0.03908   0.0093   0.0406   1.0000
  13.000   1.0715   0.05125   0.04352   0.0110   0.0377   1.0000
  13.500   1.0875   0.05457   0.04679   0.0139   0.0348   1.0000
  14.000   1.1094   0.05774   0.05014   0.0157   0.0329   1.0000
  14.500   1.1354   0.06076   0.05331   0.0176   0.0313   1.0000
  15.000   1.1620   0.06408   0.05676   0.0194   0.0299   1.0000
  15.500   0.9939   0.06815   0.06177   0.0294   0.0314   1.0000
  16.000   0.9994   0.07329   0.06714   0.0304   0.0304   1.0000
  16.500   1.0060   0.07817   0.07217   0.0315   0.0291   1.0000
  17.500   0.9426   0.09193   0.08669   0.0304   0.0287   1.0000
  18.000   0.8990   0.10026   0.09541   0.0266   0.0290   1.0000
