  
       XFOIL         Version 6.96
  
 Calculated polar for: GIII BL332 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4375   0.03244   0.02688  -0.0144   1.0000   0.0825
  -4.000  -0.4081   0.02911   0.02325  -0.0110   1.0000   0.0972
  -3.500  -0.3754   0.02624   0.02009  -0.0085   1.0000   0.1239
  -2.500  -0.2102   0.01665   0.00869  -0.0127   0.9874   0.0560
  -2.000  -0.1328   0.01500   0.00694  -0.0170   0.9778   0.0622
  -1.500  -0.0577   0.01340   0.00548  -0.0212   0.9667   0.0724
  -1.000   0.0197   0.01238   0.00450  -0.0258   0.9545   0.0918
  -0.500   0.0701   0.00959   0.00477  -0.0219   0.9426   0.9387
   0.000   0.2315   0.00955   0.00454  -0.0417   0.9492   1.0000
   0.500   0.2867   0.00929   0.00420  -0.0415   0.9161   1.0000
   1.000   0.3304   0.00913   0.00395  -0.0387   0.8810   1.0000
   1.500   0.3735   0.00902   0.00375  -0.0356   0.8460   1.0000
   2.000   0.4171   0.00896   0.00361  -0.0326   0.8054   1.0000
   2.500   0.4613   0.00895   0.00344  -0.0295   0.7540   1.0000
   3.000   0.5065   0.00909   0.00340  -0.0267   0.6916   1.0000
   3.500   0.5522   0.00939   0.00350  -0.0243   0.6207   1.0000
   4.000   0.5960   0.00994   0.00369  -0.0216   0.5264   1.0000
   4.500   0.6374   0.01085   0.00414  -0.0188   0.4091   1.0000
   5.000   0.6737   0.01253   0.00491  -0.0159   0.2227   1.0000
   5.500   0.7117   0.01454   0.00625  -0.0134   0.1200   1.0000
   6.000   0.7534   0.01624   0.00777  -0.0112   0.0900   1.0000
   6.500   0.7959   0.01813   0.00966  -0.0092   0.0737   1.0000
   7.000   0.8396   0.02035   0.01187  -0.0074   0.0623   1.0000
   7.500   0.8863   0.02229   0.01404  -0.0059   0.0554   1.0000
   8.000   0.9310   0.02556   0.01749  -0.0045   0.0500   1.0000
   8.500   0.9746   0.02894   0.02139  -0.0026   0.0468   1.0000
   9.000   1.0142   0.03210   0.02490  -0.0008   0.0432   1.0000
   9.500   1.0426   0.03865   0.03197   0.0014   0.0412   1.0000
  10.000   1.0520   0.04628   0.04047   0.0052   0.0405   1.0000
  10.500   1.0460   0.05311   0.04813   0.0094   0.0396   1.0000
  11.000   1.0159   0.06152   0.05707   0.0133   0.0399   1.0000
  11.500   0.6432   0.10991   0.10636  -0.0080   0.0829   1.0000
  12.000   0.6421   0.11724   0.11368  -0.0093   0.0784   1.0000
  12.500   0.7867   0.13759   0.13385  -0.0317   0.0676   1.0000
  13.000   0.8125   0.14111   0.13743  -0.0279   0.0636   1.0000
