  
       XFOIL         Version 6.96
  
 Calculated polar for: GIII BL387 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4101   0.03482   0.02946  -0.0164   1.0000   0.0710
  -4.000  -0.3820   0.03158   0.02574  -0.0124   1.0000   0.0826
  -3.500  -0.3507   0.02872   0.02258  -0.0093   1.0000   0.0973
  -2.500  -0.2047   0.02090   0.01398  -0.0167   0.9855   0.1149
  -2.000  -0.1183   0.01653   0.00875  -0.0183   0.9768   0.0610
  -1.500  -0.0376   0.01493   0.00706  -0.0228   0.9653   0.0657
  -1.000   0.0398   0.01308   0.00539  -0.0271   0.9518   0.0731
  -0.500   0.1112   0.01202   0.00439  -0.0298   0.9341   0.0864
   0.000   0.1450   0.00900   0.00421  -0.0237   0.9078   0.8720
   0.500   0.2799   0.00888   0.00397  -0.0364   0.8856   1.0000
   1.000   0.3227   0.00876   0.00365  -0.0331   0.8394   1.0000
   1.500   0.3673   0.00876   0.00344  -0.0302   0.7914   1.0000
   2.000   0.4128   0.00885   0.00331  -0.0275   0.7345   1.0000
   2.500   0.4591   0.00905   0.00326  -0.0251   0.6723   1.0000
   3.000   0.5057   0.00938   0.00330  -0.0229   0.6073   1.0000
   3.500   0.5520   0.00986   0.00349  -0.0207   0.5413   1.0000
   4.000   0.5978   0.01044   0.00379  -0.0186   0.4693   1.0000
   4.500   0.6419   0.01121   0.00418  -0.0164   0.3613   1.0000
   5.000   0.6817   0.01276   0.00495  -0.0140   0.2177   1.0000
   5.500   0.7241   0.01432   0.00605  -0.0121   0.1452   1.0000
   6.000   0.7681   0.01579   0.00733  -0.0103   0.1139   1.0000
   6.500   0.8123   0.01745   0.00891  -0.0085   0.0964   1.0000
   7.000   0.8573   0.01927   0.01069  -0.0069   0.0841   1.0000
   7.500   0.9042   0.02079   0.01233  -0.0056   0.0754   1.0000
   8.000   0.9501   0.02314   0.01484  -0.0042   0.0687   1.0000
   8.500   0.9954   0.02525   0.01700  -0.0030   0.0622   1.0000
   9.000   1.0380   0.02806   0.02026  -0.0013   0.0570   1.0000
   9.500   1.0793   0.03072   0.02312   0.0001   0.0526   1.0000
  10.000   1.1104   0.03542   0.02842   0.0025   0.0492   1.0000
  10.500   1.1338   0.03999   0.03365   0.0054   0.0461   1.0000
  11.000   1.1519   0.04489   0.03900   0.0081   0.0442   1.0000
  11.500   1.1554   0.05083   0.04538   0.0112   0.0430   1.0000
  12.000   1.1309   0.05825   0.05326   0.0150   0.0425   1.0000
  12.500   0.7042   0.11245   0.10880  -0.0044   0.0729   1.0000
  13.000   0.8159   0.14265   0.13877  -0.0338   0.0743   1.0000
  13.500   0.8353   0.15007   0.14622  -0.0308   0.0723   1.0000
  14.000   0.8043   0.16464   0.16071  -0.0459   0.0676   1.0000
  14.500   0.8191   0.17104   0.16712  -0.0476   0.0632   1.0000
  15.000   0.8475   0.17793   0.17407  -0.0437   0.0610   1.0000
  15.500   0.8282   0.18906   0.18512  -0.0573   0.0582   1.0000
  16.000   0.8395   0.19648   0.19256  -0.0613   0.0542   1.0000
  16.500   0.8669   0.20232   0.19845  -0.0599   0.0515   1.0000
  17.500   0.8753   0.21959   0.21569  -0.0742   0.0463   1.0000
  18.000   0.8917   0.22599   0.22212  -0.0772   0.0437   1.0000
