  
       XFOIL         Version 6.96
  
 Calculated polar for: Glenn Martin 2                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4042   0.01358   0.00552  -0.0930   0.6857   0.1559
  -1.500   0.4490   0.01352   0.00537  -0.0903   0.6461   0.2001
  -1.000   0.4879   0.01385   0.00551  -0.0863   0.6011   0.2739
  -0.500   0.5154   0.01402   0.00547  -0.0803   0.5390   0.3108
   0.000   0.5394   0.01426   0.00535  -0.0737   0.4773   0.3371
   0.500   0.5714   0.01454   0.00543  -0.0691   0.4486   0.3680
   1.000   0.6072   0.01455   0.00561  -0.0654   0.4324   0.4730
   3.000   0.9994   0.01736   0.00843  -0.1041   0.3881   1.0000
   3.500   1.0448   0.01796   0.00899  -0.1026   0.3822   1.0000
   4.000   1.0955   0.01870   0.00964  -0.1023   0.3775   1.0000
   4.500   1.1385   0.01935   0.01035  -0.1004   0.3720   1.0000
   5.000   1.1881   0.02014   0.01106  -0.0999   0.3666   1.0000
   5.500   1.2263   0.02077   0.01179  -0.0971   0.3598   1.0000
   6.000   1.2691   0.02153   0.01259  -0.0954   0.3536   1.0000
   6.500   1.3112   0.02228   0.01343  -0.0936   0.3482   1.0000
   7.000   1.3516   0.02310   0.01434  -0.0916   0.3422   1.0000
   7.500   1.3816   0.02355   0.01482  -0.0874   0.3322   1.0000
   8.000   1.4077   0.02394   0.01525  -0.0825   0.3222   1.0000
   8.500   1.4301   0.02433   0.01571  -0.0770   0.3126   1.0000
   9.000   1.4315   0.02463   0.01617  -0.0674   0.3030   1.0000
   9.500   1.4357   0.02508   0.01678  -0.0591   0.2927   1.0000
  10.000   1.4395   0.02575   0.01758  -0.0514   0.2811   1.0000
  10.500   1.4403   0.02689   0.01897  -0.0442   0.2666   1.0000
  11.000   1.4446   0.02844   0.02070  -0.0385   0.2460   1.0000
  11.500   1.4496   0.03071   0.02300  -0.0339   0.2139   1.0000
  12.000   1.4330   0.03514   0.02717  -0.0285   0.1682   1.0000
  12.500   1.4164   0.04051   0.03247  -0.0244   0.1394   1.0000
  13.500   1.3331   0.05916   0.05091  -0.0200   0.0567   1.0000
  14.000   1.2879   0.07066   0.06254  -0.0204   0.0327   1.0000
  14.500   1.2523   0.08199   0.07410  -0.0221   0.0281   1.0000
  15.000   1.2216   0.09321   0.08555  -0.0244   0.0258   1.0000
