  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 10K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500  -0.2142   0.01584   0.00817  -0.0230   1.0000   0.0285
  -2.000  -0.1620   0.01301   0.00496  -0.0211   1.0000   0.0325
   0.000   0.0529   0.00844   0.00262  -0.0205   1.0000   1.0000
   0.500   0.0977   0.00870   0.00278  -0.0188   1.0000   1.0000
   1.000   0.1426   0.00901   0.00307  -0.0172   1.0000   1.0000
   1.500   0.1865   0.00939   0.00351  -0.0156   1.0000   1.0000
   2.000   0.2726   0.00988   0.00425  -0.0229   0.9875   1.0000
   2.500   0.4692   0.00965   0.00274  -0.0481   0.3839   1.0000
   3.000   0.4957   0.01332   0.00475  -0.0424   0.0305   1.0000
