  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 12K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4152   0.05203   0.04733  -0.0579   0.9211   0.1116
  -4.500  -0.3904   0.04841   0.04333  -0.0547   0.9162   0.1261
  -4.000  -0.3717   0.04580   0.04035  -0.0496   0.9105   0.1408
  -3.500  -0.3354   0.04297   0.03723  -0.0474   0.9068   0.1569
  -2.500  -0.2711   0.03211   0.02397  -0.0352   0.8992   0.0942
  -2.000  -0.2363   0.03044   0.02207  -0.0318   0.8960   0.0966
  -1.500  -0.1927   0.02984   0.02130  -0.0299   0.8932   0.0978
  -1.000  -0.1092   0.02952   0.02087  -0.0350   0.8884   0.1008
  -0.500  -0.0831   0.02892   0.02024  -0.0296   0.8771   0.1039
   0.500   0.0235   0.02843   0.01982  -0.0289   0.8610   0.1153
   1.000   0.1004   0.02840   0.01992  -0.0327   0.8565   0.1335
   1.500   0.3391   0.02716   0.02138  -0.0743   0.8585   1.0000
   2.000   0.3804   0.02748   0.02160  -0.0718   0.8466   1.0000
   2.500   0.4618   0.02725   0.02132  -0.0764   0.8420   1.0000
   3.000   0.4994   0.02759   0.02166  -0.0732   0.8294   1.0000
   4.000   0.6432   0.02604   0.02022  -0.0777   0.8102   1.0000
   5.000   0.8261   0.01867   0.01310  -0.0840   0.7705   1.0000
   6.000   0.9413   0.01564   0.01023  -0.0808   0.6891   1.0000
   6.500   0.9756   0.01612   0.00932  -0.0751   0.4564   1.0000
   7.000   0.9752   0.01821   0.01086  -0.0651   0.3496   1.0000
   7.500   0.9624   0.02137   0.01293  -0.0541   0.1819   1.0000
   8.000   0.9813   0.02339   0.01467  -0.0484   0.1424   1.0000
   8.500   1.0084   0.02508   0.01629  -0.0442   0.1256   1.0000
   9.000   1.0399   0.02657   0.01781  -0.0408   0.1126   1.0000
   9.500   1.0732   0.02816   0.01946  -0.0378   0.1016   1.0000
  10.000   1.1067   0.02986   0.02119  -0.0349   0.0904   1.0000
  10.500   1.1379   0.03166   0.02305  -0.0319   0.0784   1.0000
  11.000   1.1650   0.03365   0.02516  -0.0284   0.0661   1.0000
  11.500   1.1904   0.03588   0.02750  -0.0249   0.0554   1.0000
  12.000   1.2165   0.03840   0.03010  -0.0216   0.0470   1.0000
  12.500   1.2362   0.04081   0.03289  -0.0174   0.0413   1.0000
  13.000   1.2604   0.04432   0.03655  -0.0144   0.0368   1.0000
  13.500   1.2720   0.04769   0.04038  -0.0099   0.0339   1.0000
  14.000   1.2796   0.05178   0.04486  -0.0057   0.0319   1.0000
  14.500   1.2819   0.05585   0.04912  -0.0018   0.0298   1.0000
  15.000   1.2616   0.06371   0.05750   0.0028   0.0286   1.0000
  15.500   1.2333   0.07111   0.06544   0.0063   0.0281   1.0000
  16.000   1.1949   0.08071   0.07556   0.0077   0.0278   1.0000
  16.500   1.1481   0.09302   0.08833   0.0057   0.0279   1.0000
  17.000   1.0929   0.10914   0.10486  -0.0011   0.0283   1.0000
  17.500   1.0297   0.13028   0.12637  -0.0134   0.0288   1.0000
  18.000   0.6365   0.17103   0.16751  -0.0286   0.0592   1.0000
