  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 14 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1006   0.05103   0.04749  -0.0688   0.7916   0.0452
  -4.500   0.1498   0.04590   0.04209  -0.0789   0.7684   0.0474
  -4.000   0.1792   0.03971   0.03585  -0.0792   0.7432   0.0483
  -3.500   0.2217   0.03470   0.03064  -0.0824   0.7166   0.0502
  -3.000   0.2808   0.03032   0.02590  -0.0885   0.6878   0.0524
  -2.500   0.3216   0.02577   0.02114  -0.0895   0.6591   0.0539
  -2.000   0.3837   0.02288   0.01779  -0.0931   0.6286   0.0573
  -1.500   0.4275   0.01925   0.01392  -0.0939   0.6023   0.0593
  -1.000   0.4889   0.01743   0.01159  -0.0955   0.5758   0.0627
  -0.500   0.5368   0.01479   0.00870  -0.0963   0.5536   0.0648
   0.000   0.5958   0.01359   0.00698  -0.0967   0.5333   0.0687
   0.500   0.6482   0.01209   0.00521  -0.0971   0.5149   0.0734
   1.000   0.7034   0.01096   0.00375  -0.0973   0.4979   0.0769
   1.500   0.7597   0.01041   0.00279  -0.0968   0.4813   0.0827
   2.000   0.8143   0.00996   0.00199  -0.0964   0.4656   0.0903
   2.500   0.8673   0.00909   0.00095  -0.0964   0.4514   0.1019
   3.000   0.9208   0.00866   0.00021  -0.0960   0.4376   0.1236
   4.000   1.0262   0.00803  -0.00072  -0.0940   0.4094   0.1362
   4.500   1.0779   0.00785  -0.00105  -0.0929   0.3972   0.1352
   5.000   1.1280   0.00790  -0.00109  -0.0918   0.3852   0.1434
   5.500   1.1760   0.00799  -0.00086  -0.0907   0.3725   0.1476
   6.000   1.2238   0.00834  -0.00057  -0.0896   0.3600   0.1505
   6.500   1.2724   0.00883  -0.00024  -0.0886   0.3490   0.1548
   7.000   1.3179   0.00937   0.00042  -0.0872   0.3385   0.1636
