  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 167 (V.KARMAN PROP.2) AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1370   0.04589   0.04173  -0.0703   0.8039   0.0609
  -4.500  -0.0852   0.03977   0.03482  -0.0738   0.7554   0.0707
  -4.000  -0.0299   0.03541   0.02967  -0.0761   0.7194   0.0831
  -3.000   0.0783   0.02811   0.02141  -0.0789   0.6731   0.1121
  -2.500   0.1342   0.02527   0.01822  -0.0801   0.6564   0.1320
  -1.500   0.2555   0.00652  -0.00180  -0.0769   0.6257   0.0793
  -1.000   0.3138   0.00545  -0.00338  -0.0768   0.6167   0.0690
  -0.500   0.3704   0.00485  -0.00413  -0.0770   0.6077   0.0680
   0.000   0.4258   0.00409  -0.00486  -0.0772   0.5998   0.0714
   0.500   0.4813   0.00373  -0.00523  -0.0774   0.5902   0.0760
   1.000   0.5373   0.00353  -0.00543  -0.0778   0.5808   0.0840
   1.500   0.5884   0.00270  -0.00426  -0.0769   0.5741   1.0000
   2.000   0.6439   0.00286  -0.00425  -0.0772   0.5646   1.0000
   2.500   0.6991   0.00304  -0.00424  -0.0774   0.5574   1.0000
   3.000   0.7539   0.00322  -0.00405  -0.0776   0.5475   1.0000
   3.500   0.8080   0.00338  -0.00391  -0.0777   0.5352   1.0000
   4.000   0.8621   0.00355  -0.00378  -0.0776   0.5229   1.0000
   4.500   0.9159   0.00369  -0.00363  -0.0775   0.5094   1.0000
   5.000   0.9697   0.00385  -0.00342  -0.0774   0.4978   1.0000
   5.500   1.0227   0.00401  -0.00311  -0.0773   0.4843   1.0000
   6.000   1.0753   0.00410  -0.00289  -0.0769   0.4679   1.0000
   6.500   1.1261   0.00408  -0.00268  -0.0763   0.4430   1.0000
   7.000   1.1754   0.00404  -0.00260  -0.0753   0.4076   1.0000
   7.500   1.2201   0.00426  -0.00239  -0.0740   0.3371   1.0000
   8.000   1.2458   0.00582  -0.00146  -0.0705   0.2289   1.0000
   8.500   1.2618   0.00811   0.00028  -0.0660   0.1104   1.0000
   9.000   1.2613   0.01107   0.00307  -0.0591   0.0666   1.0000
   9.500   1.2506   0.01401   0.00619  -0.0515   0.0472   1.0000
  10.000   1.2427   0.01795   0.01034  -0.0468   0.0356   1.0000
  10.500   1.2318   0.02364   0.01622  -0.0439   0.0309   1.0000
  11.000   1.2151   0.03133   0.02415  -0.0419   0.0284   1.0000
  11.500   1.2003   0.03960   0.03264  -0.0403   0.0263   1.0000
  12.000   1.1821   0.04863   0.04184  -0.0387   0.0250   1.0000
  12.500   1.1633   0.05772   0.05108  -0.0369   0.0241   1.0000
  13.000   1.1572   0.06486   0.05839  -0.0347   0.0234   1.0000
  13.500   1.1620   0.07023   0.06394  -0.0319   0.0228   1.0000
  14.000   1.1698   0.07503   0.06899  -0.0289   0.0220   1.0000
  14.500   1.1690   0.08072   0.07497  -0.0270   0.0210   1.0000
  15.000   1.1582   0.08699   0.08159  -0.0256   0.0206   1.0000
  15.500   1.1267   0.09375   0.08883  -0.0247   0.0208   1.0000
  16.000   1.0896   0.10263   0.09819  -0.0266   0.0212   1.0000
  16.500   1.0459   0.11341   0.10940  -0.0310   0.0216   1.0000
  17.000   0.9984   0.12596   0.12234  -0.0376   0.0221   1.0000
  17.500   0.9475   0.14061   0.13730  -0.0462   0.0227   1.0000
  18.000   0.8942   0.15768   0.15460  -0.0561   0.0235   1.0000
