  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 184 (MVA H.29) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0707   0.05280   0.04943  -0.0809   0.9548   0.0755
  -4.500   0.0100   0.04306   0.03933  -0.0957   0.9373   0.0810
  -3.500   0.1358   0.03070   0.02614  -0.1056   0.8896   0.0955
  -3.000   0.2077   0.01753   0.01091  -0.1098   0.8659   0.0639
  -2.500   0.2629   0.01541   0.00805  -0.1085   0.8382   0.0681
  -2.000   0.3166   0.01417   0.00660  -0.1073   0.8100   0.0748
  -1.500   0.3707   0.01306   0.00525  -0.1062   0.7804   0.0936
  -1.000   0.4247   0.01292   0.00494  -0.1052   0.7495   0.1174
  -0.500   0.4786   0.01277   0.00463  -0.1044   0.7183   0.1287
   0.000   0.5329   0.01266   0.00438  -0.1037   0.6880   0.1379
   0.500   0.5875   0.01259   0.00421  -0.1031   0.6593   0.1471
   1.000   0.6419   0.01251   0.00409  -0.1025   0.6313   0.1634
   1.500   0.6963   0.01237   0.00396  -0.1020   0.6032   0.1848
   2.000   0.7447   0.01082   0.00398  -0.1001   0.5787   1.0000
   2.500   0.7988   0.01126   0.00415  -0.0995   0.5530   1.0000
   3.000   0.8526   0.01182   0.00446  -0.0990   0.5298   1.0000
   3.500   0.9061   0.01235   0.00488  -0.0984   0.5066   1.0000
   4.000   0.9593   0.01291   0.00528  -0.0979   0.4848   1.0000
   4.500   1.0123   0.01339   0.00576  -0.0973   0.4643   1.0000
   5.000   1.0653   0.01388   0.00628  -0.0968   0.4464   1.0000
   5.500   1.1178   0.01437   0.00681  -0.0962   0.4292   1.0000
   6.000   1.1697   0.01485   0.00736  -0.0955   0.4119   1.0000
   6.500   1.2208   0.01537   0.00794  -0.0947   0.3941   1.0000
   7.000   1.2696   0.01586   0.00855  -0.0935   0.3685   1.0000
   7.500   1.3172   0.01653   0.00928  -0.0923   0.3435   1.0000
   8.000   1.3623   0.01727   0.01013  -0.0907   0.3096   1.0000
   8.500   1.4050   0.01814   0.01107  -0.0888   0.2621   1.0000
   9.000   1.4339   0.02021   0.01269  -0.0855   0.1760   1.0000
   9.500   1.4486   0.02360   0.01549  -0.0805   0.0827   1.0000
  10.000   1.4495   0.02738   0.01900  -0.0736   0.0420   1.0000
  11.000   1.4423   0.03614   0.02832  -0.0633   0.0325   1.0000
  11.500   1.4309   0.04238   0.03478  -0.0606   0.0304   1.0000
  12.000   1.4155   0.04946   0.04200  -0.0579   0.0287   1.0000
  12.500   1.4198   0.05470   0.04749  -0.0561   0.0271   1.0000
  13.000   1.4247   0.05997   0.05298  -0.0543   0.0253   1.0000
  13.500   1.4333   0.06495   0.05817  -0.0519   0.0240   1.0000
  14.000   1.4414   0.07029   0.06374  -0.0497   0.0230   1.0000
  14.500   1.4498   0.07620   0.06985  -0.0474   0.0218   1.0000
  15.000   1.4416   0.08581   0.07989  -0.0458   0.0210   1.0000
  15.500   1.4153   0.09552   0.09006  -0.0489   0.0208   1.0000
  16.000   1.3888   0.10677   0.10173  -0.0530   0.0209   1.0000
  17.000   1.3368   0.13166   0.12740  -0.0657   0.0212   1.0000
  17.500   1.3101   0.14598   0.14208  -0.0757   0.0215   1.0000
  18.000   1.2685   0.16693   0.16349  -0.0916   0.0223   1.0000
