  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 199 (L.F.G. 5406) AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1168   0.05837   0.05496  -0.0663   0.9699   0.0353
  -4.500  -0.0181   0.04962   0.04575  -0.0835   0.9631   0.0410
  -4.000   0.0398   0.04349   0.03952  -0.0888   0.9518   0.0456
  -3.500   0.1128   0.03753   0.03316  -0.0956   0.9395   0.0526
  -3.000   0.1803   0.03309   0.02822  -0.0993   0.9256   0.0622
  -2.500   0.2384   0.02969   0.02441  -0.1004   0.9099   0.0735
  -2.000   0.2914   0.02665   0.02102  -0.1001   0.8913   0.0863
  -1.500   0.3379   0.02368   0.01782  -0.0982   0.8640   0.1028
  -1.000   0.3878   0.02152   0.01536  -0.0967   0.8380   0.1340
   1.000   0.6176   0.01505   0.00703  -0.0911   0.7364   0.0729
   2.000   0.7260   0.01331   0.00516  -0.0892   0.6627   0.0683
   2.500   0.7795   0.01303   0.00474  -0.0883   0.6135   0.0734
   3.000   0.8322   0.01313   0.00451  -0.0874   0.5564   0.0807
   3.500   0.8836   0.01199   0.00466  -0.0866   0.4965   1.0000
   4.000   0.9335   0.01285   0.00502  -0.0856   0.4223   1.0000
   4.500   0.9820   0.01395   0.00564  -0.0846   0.3562   1.0000
   5.000   1.0309   0.01507   0.00645  -0.0837   0.3210   1.0000
   5.500   1.0808   0.01612   0.00734  -0.0830   0.3005   1.0000
   6.000   1.1312   0.01714   0.00829  -0.0824   0.2862   1.0000
   6.500   1.1821   0.01807   0.00925  -0.0819   0.2753   1.0000
   7.000   1.2324   0.01899   0.01029  -0.0813   0.2645   1.0000
   7.500   1.2818   0.01996   0.01135  -0.0807   0.2544   1.0000
   8.000   1.3291   0.02077   0.01229  -0.0797   0.2410   1.0000
   8.500   1.3735   0.02132   0.01309  -0.0783   0.2233   1.0000
   9.000   1.4144   0.02178   0.01379  -0.0764   0.1964   1.0000
   9.500   1.4295   0.02513   0.01643  -0.0712   0.0545   1.0000
  10.000   1.4402   0.02859   0.02006  -0.0651   0.0394   1.0000
  10.500   1.4368   0.03208   0.02387  -0.0574   0.0349   1.0000
  11.000   1.4302   0.03654   0.02855  -0.0517   0.0313   1.0000
  11.500   1.4130   0.04289   0.03508  -0.0468   0.0293   1.0000
  12.000   1.4152   0.04802   0.04046  -0.0437   0.0279   1.0000
  12.500   1.4200   0.05314   0.04584  -0.0412   0.0259   1.0000
  13.000   1.4236   0.05857   0.05149  -0.0392   0.0239   1.0000
  13.500   1.4311   0.06405   0.05714  -0.0368   0.0227   1.0000
  14.000   1.4454   0.07020   0.06356  -0.0337   0.0219   1.0000
  15.000   1.4154   0.08902   0.08330  -0.0331   0.0213   1.0000
  15.500   1.3847   0.09956   0.09428  -0.0367   0.0212   1.0000
  16.000   1.3536   0.11177   0.10690  -0.0423   0.0212   1.0000
  16.500   1.3229   0.12550   0.12100  -0.0492   0.0213   1.0000
  17.000   1.0440   0.12665   0.12288  -0.0376   0.0245   1.0000
  17.500   0.9882   0.14244   0.13905  -0.0474   0.0256   1.0000
  18.000   0.9235   0.16212   0.15898  -0.0591   0.0272   1.0000
