  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 243 (MVA PR.3) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.4691   0.02495   0.01783  -0.2206   0.7592   0.0656
  -4.500   0.5309   0.02322   0.01583  -0.2224   0.7459   0.0663
  -4.000   0.5926   0.02143   0.01393  -0.2232   0.7352   0.0671
  -3.500   0.6510   0.02029   0.01282  -0.2235   0.7223   0.0691
  -3.000   0.7105   0.01952   0.01202  -0.2237   0.7095   0.0725
  -2.500   0.7755   0.01868   0.01118  -0.2252   0.6973   0.0795
  -2.000   0.8408   0.01802   0.01059  -0.2275   0.6822   0.0900
  -1.500   0.9243   0.01656   0.00959  -0.2348   0.6659   0.3436
  -1.000   0.9789   0.01705   0.00999  -0.2336   0.6496   0.3801
  -0.500   1.0329   0.01761   0.01041  -0.2324   0.6329   0.4089
   0.000   1.0831   0.01807   0.01087  -0.2304   0.6146   0.4283
   0.500   1.1342   0.01832   0.01105  -0.2290   0.5953   0.4400
   1.000   1.1883   0.01844   0.01100  -0.2287   0.5763   0.4495
   1.500   1.2411   0.01862   0.01103  -0.2283   0.5574   0.4589
   2.000   1.2905   0.01902   0.01137  -0.2270   0.5398   0.4683
   2.500   1.3416   0.01940   0.01160  -0.2263   0.5229   0.4802
   3.000   1.3883   0.01997   0.01213  -0.2246   0.5070   0.4904
   3.500   1.4368   0.02055   0.01258  -0.2234   0.4927   0.5041
   4.000   1.4819   0.02123   0.01319  -0.2216   0.4791   0.5185
   4.500   1.5226   0.02197   0.01400  -0.2190   0.4661   0.5300
   5.000   1.5643   0.02274   0.01466  -0.2168   0.4529   0.5453
   5.500   1.5992   0.02357   0.01549  -0.2134   0.4412   0.5612
   6.000   1.6298   0.02452   0.01652  -0.2093   0.4296   0.5733
   6.500   1.6684   0.02547   0.01740  -0.2068   0.4187   0.5881
   7.000   1.6959   0.02670   0.01877  -0.2029   0.4080   0.6035
   7.500   1.7319   0.02784   0.01983  -0.2003   0.3974   0.6198
   8.000   1.7505   0.02941   0.02164  -0.1955   0.3863   0.6315
   8.500   1.7761   0.03098   0.02323  -0.1919   0.3750   0.6454
   9.000   1.7937   0.03298   0.02532  -0.1877   0.3624   0.6594
   9.500   1.8061   0.03548   0.02798  -0.1833   0.3485   0.6720
  10.000   1.8153   0.03841   0.03100  -0.1791   0.3326   0.6836
  10.500   1.8174   0.04220   0.03485  -0.1748   0.3134   0.6952
  11.000   1.8126   0.04693   0.03958  -0.1707   0.2911   0.7055
  11.500   1.8054   0.05240   0.04496  -0.1669   0.2697   0.7151
  12.000   1.8035   0.05768   0.05021  -0.1639   0.2531   0.7256
  12.500   1.8081   0.06245   0.05499  -0.1615   0.2416   0.7359
  13.000   1.8196   0.06658   0.05915  -0.1595   0.2339   0.7471
  13.500   1.8339   0.07037   0.06297  -0.1576   0.2281   0.7595
  14.000   1.8582   0.07280   0.06534  -0.1558   0.2237   0.7732
  14.500   1.8746   0.07648   0.06923  -0.1543   0.2203   0.7876
  15.500   1.9108   0.08267   0.07584  -0.1513   0.2146   0.9253
  16.000   1.9361   0.08529   0.07850  -0.1503   0.2124   1.0000
  16.500   1.9733   0.08635   0.07954  -0.1490   0.2103   1.0000
  17.000   1.9950   0.08940   0.08275  -0.1480   0.2088   1.0000
  17.500   1.9956   0.09511   0.08877  -0.1473   0.2074   1.0000
  18.000   1.9867   0.10213   0.09612  -0.1472   0.2056   1.0000
