  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 275 (DAIMLER VI) AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2238   0.06170   0.05849  -0.0459   0.9814   0.0348
  -4.500  -0.1167   0.05342   0.04950  -0.0658   0.9690   0.0409
  -4.000  -0.0629   0.04455   0.04074  -0.0717   0.9578   0.0443
  -3.500   0.0244   0.03721   0.03280  -0.0816   0.9459   0.0528
  -3.000   0.1064   0.03171   0.02683  -0.0890   0.9380   0.0650
  -2.500   0.1771   0.02728   0.02208  -0.0933   0.9253   0.0793
  -2.000   0.2511   0.02369   0.01824  -0.0979   0.9132   0.1092
  -1.500   0.3221   0.02087   0.01531  -0.1019   0.8986   0.1696
  -0.500   0.4613   0.00351  -0.00299  -0.1000   0.8140   0.1335
   0.000   0.5189   0.00280  -0.00424  -0.0979   0.7674   0.0843
   0.500   0.5710   0.00261  -0.00488  -0.0957   0.7009   0.0748
   1.000   0.6179   0.00248  -0.00541  -0.0932   0.6262   0.0737
   1.500   0.6626   0.00249  -0.00573  -0.0907   0.5557   0.0716
   2.000   0.7084   0.00260  -0.00596  -0.0886   0.5022   0.0722
   2.500   0.7562   0.00278  -0.00607  -0.0869   0.4663   0.0775
   3.000   0.8074   0.00231  -0.00495  -0.0863   0.4381   1.0000
   3.500   0.8559   0.00258  -0.00492  -0.0848   0.4147   1.0000
   4.000   0.9042   0.00289  -0.00480  -0.0835   0.3952   1.0000
   4.500   0.9526   0.00323  -0.00459  -0.0822   0.3782   1.0000
   5.000   1.0009   0.00361  -0.00426  -0.0810   0.3624   1.0000
   5.500   1.0484   0.00402  -0.00385  -0.0797   0.3458   1.0000
   6.000   1.0943   0.00447  -0.00343  -0.0781   0.3266   1.0000
   6.500   1.1391   0.00486  -0.00291  -0.0764   0.3075   1.0000
   7.000   1.1822   0.00524  -0.00239  -0.0744   0.2858   1.0000
   7.500   1.2233   0.00563  -0.00190  -0.0720   0.2615   1.0000
   8.000   1.2626   0.00605  -0.00137  -0.0695   0.2331   1.0000
   8.500   1.2967   0.00679  -0.00063  -0.0662   0.1994   1.0000
   9.000   1.3208   0.00837   0.00080  -0.0618   0.1679   1.0000
   9.500   1.3430   0.01007   0.00258  -0.0570   0.1440   1.0000
  10.000   1.3645   0.01142   0.00403  -0.0523   0.1272   1.0000
  10.500   1.3841   0.01290   0.00567  -0.0477   0.1155   1.0000
  11.000   1.3993   0.01478   0.00770  -0.0432   0.1067   1.0000
  11.500   1.4067   0.01731   0.01036  -0.0385   0.0981   1.0000
  12.000   1.4103   0.02059   0.01388  -0.0344   0.0901   1.0000
  12.500   1.4080   0.02504   0.01863  -0.0309   0.0819   1.0000
  13.000   1.3944   0.03157   0.02537  -0.0281   0.0734   1.0000
  13.500   1.3764   0.03971   0.03389  -0.0274   0.0628   1.0000
  14.000   1.3582   0.04955   0.04411  -0.0285   0.0471   1.0000
  14.500   1.3224   0.06308   0.05788  -0.0313   0.0403   1.0000
  15.000   1.2843   0.07736   0.07242  -0.0353   0.0366   1.0000
  15.500   1.2436   0.09158   0.08686  -0.0404   0.0345   1.0000
  16.000   1.2079   0.10379   0.09938  -0.0454   0.0321   1.0000
  16.500   1.1663   0.11450   0.11038  -0.0509   0.0306   1.0000
  17.000   1.1373   0.12432   0.12034  -0.0565   0.0287   1.0000
  17.500   1.1162   0.13351   0.12979  -0.0619   0.0268   1.0000
  18.000   1.0979   0.14262   0.13914  -0.0674   0.0255   1.0000
