  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 276 (DAIMLER VII) AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3066   0.06145   0.05824  -0.0339   1.0000   0.0373
  -4.500  -0.2165   0.05401   0.05015  -0.0496   0.9967   0.0451
  -4.000  -0.1539   0.04342   0.03947  -0.0585   0.9907   0.0493
  -3.500  -0.0618   0.03591   0.03127  -0.0695   0.9840   0.0612
  -3.000   0.0221   0.03037   0.02523  -0.0777   0.9771   0.0758
  -2.500   0.1003   0.02625   0.02077  -0.0839   0.9678   0.0969
  -0.500   0.4229   0.00284  -0.00432  -0.0969   0.8959   0.0731
   0.000   0.4772   0.00222  -0.00506  -0.0956   0.8565   0.0737
   0.500   0.5288   0.00191  -0.00544  -0.0938   0.8070   0.0735
   1.000   0.5784   0.00175  -0.00582  -0.0917   0.7110   0.0740
   1.500   0.6255   0.00197  -0.00635  -0.0895   0.5890   0.0793
   2.000   0.6705   0.00152  -0.00526  -0.0874   0.5338   1.0000
   3.000   0.7731   0.00211  -0.00540  -0.0858   0.4713   1.0000
   3.500   0.8245   0.00243  -0.00522  -0.0853   0.4467   1.0000
   4.000   0.8759   0.00281  -0.00496  -0.0847   0.4249   1.0000
   4.500   0.9269   0.00314  -0.00458  -0.0840   0.4026   1.0000
   5.000   0.9774   0.00351  -0.00419  -0.0833   0.3812   1.0000
   5.500   1.0272   0.00384  -0.00372  -0.0824   0.3581   1.0000
   6.000   1.0759   0.00417  -0.00330  -0.0813   0.3334   1.0000
   6.500   1.1214   0.00433  -0.00306  -0.0797   0.2930   1.0000
   7.000   1.1653   0.00482  -0.00258  -0.0780   0.2494   1.0000
   7.500   1.2074   0.00556  -0.00184  -0.0762   0.1989   1.0000
   8.000   1.2382   0.00754  -0.00047  -0.0729   0.0781   1.0000
   8.500   1.2577   0.01091   0.00265  -0.0676   0.0316   1.0000
   9.000   1.2757   0.01380   0.00589  -0.0620   0.0269   1.0000
   9.500   1.2822   0.01672   0.00908  -0.0550   0.0242   1.0000
  10.000   1.2747   0.02053   0.01311  -0.0468   0.0229   1.0000
  10.500   1.2668   0.02573   0.01852  -0.0402   0.0221   1.0000
  11.000   1.2733   0.03270   0.02565  -0.0353   0.0214   1.0000
  11.500   1.2751   0.03877   0.03212  -0.0310   0.0207   1.0000
  12.000   1.2665   0.04562   0.03940  -0.0272   0.0202   1.0000
  12.500   1.2499   0.05410   0.04831  -0.0241   0.0202   1.0000
  13.000   1.2217   0.06373   0.05837  -0.0223   0.0203   1.0000
  13.500   1.1839   0.07429   0.06935  -0.0225   0.0205   1.0000
  14.000   1.1392   0.08520   0.08065  -0.0245   0.0207   1.0000
  14.500   1.0852   0.09544   0.09124  -0.0276   0.0209   1.0000
  15.000   1.0422   0.10607   0.10220  -0.0322   0.0213   1.0000
  15.500   1.0060   0.11681   0.11323  -0.0390   0.0215   1.0000
  16.000   0.9634   0.13016   0.12688  -0.0480   0.0220   1.0000
  16.500   0.8239   0.17266   0.16966  -0.0719   0.0313   1.0000
  17.000   1.0881   0.22649   0.22316  -0.1223   0.0501   1.0000
  17.500   1.1086   0.23242   0.22914  -0.1229   0.0475   1.0000
  18.000   0.7906   0.20776   0.20470  -0.0858   0.0522   1.0000
