  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 282 (DAIMLER XIII) AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1517   0.05336   0.04998  -0.0754   0.9674   0.0740
  -4.500  -0.0781   0.04624   0.04262  -0.0852   0.9572   0.0898
  -4.000   0.0222   0.03333   0.02882  -0.1014   0.9518   0.0885
  -3.500   0.1092   0.01977   0.01301  -0.1094   0.9437   0.0707
  -3.000   0.1962   0.01686   0.00967  -0.1155   0.9381   0.0748
  -2.500   0.2721   0.01534   0.00802  -0.1189   0.9258   0.0824
  -2.000   0.3449   0.01397   0.00666  -0.1214   0.9117   0.0980
  -1.500   0.4142   0.01324   0.00606  -0.1230   0.8931   0.1670
  -1.000   0.4734   0.01288   0.00554  -0.1224   0.8633   0.2027
  -0.500   0.5285   0.01237   0.00499  -0.1213   0.8224   0.2269
   0.000   0.5839   0.01201   0.00450  -0.1204   0.7774   0.2545
   0.500   0.6387   0.01183   0.00417  -0.1195   0.7343   0.2785
   1.000   0.6924   0.01160   0.00406  -0.1189   0.6948   0.3458
   1.500   0.7402   0.01051   0.00405  -0.1165   0.6609   1.0000
   2.000   0.7938   0.01092   0.00418  -0.1157   0.6295   1.0000
   2.500   0.8469   0.01135   0.00440  -0.1150   0.5998   1.0000
   3.000   0.8993   0.01182   0.00468  -0.1142   0.5704   1.0000
   3.500   0.9513   0.01234   0.00506  -0.1133   0.5412   1.0000
   4.000   1.0024   0.01291   0.00552  -0.1123   0.5106   1.0000
   4.500   1.0512   0.01349   0.00596  -0.1109   0.4725   1.0000
   5.000   1.0985   0.01405   0.00644  -0.1092   0.4268   1.0000
   5.500   1.1436   0.01478   0.00699  -0.1073   0.3756   1.0000
   6.000   1.1868   0.01572   0.00771  -0.1052   0.3283   1.0000
   6.500   1.2302   0.01670   0.00854  -0.1033   0.2936   1.0000
   7.000   1.2718   0.01771   0.00943  -0.1012   0.2532   1.0000
   7.500   1.3125   0.01878   0.01036  -0.0990   0.2131   1.0000
   8.000   1.3500   0.02008   0.01144  -0.0963   0.1507   1.0000
   8.500   1.3697   0.02282   0.01357  -0.0911   0.0745   1.0000
   9.000   1.3965   0.02461   0.01528  -0.0867   0.0453   1.0000
   9.500   1.4098   0.02716   0.01776  -0.0804   0.0226   1.0000
  10.000   1.4284   0.02944   0.02035  -0.0753   0.0209   1.0000
  10.500   1.4388   0.03248   0.02376  -0.0700   0.0195   1.0000
  11.000   1.4447   0.03614   0.02777  -0.0652   0.0189   1.0000
  11.500   1.4438   0.04076   0.03273  -0.0611   0.0186   1.0000
  12.000   1.4374   0.04653   0.03882  -0.0582   0.0185   1.0000
  12.500   1.4273   0.05342   0.04600  -0.0568   0.0185   1.0000
  13.000   1.4162   0.06098   0.05384  -0.0564   0.0185   1.0000
  13.500   1.4059   0.06876   0.06189  -0.0564   0.0186   1.0000
  14.000   1.3983   0.07628   0.06960  -0.0564   0.0184   1.0000
  14.500   1.3958   0.08295   0.07643  -0.0559   0.0181   1.0000
  15.000   1.4019   0.08846   0.08213  -0.0547   0.0182   1.0000
  15.500   1.4089   0.09416   0.08814  -0.0540   0.0190   1.0000
  16.000   1.4157   0.10006   0.09437  -0.0531   0.0201   1.0000
  16.500   1.4368   0.10392   0.09844  -0.0493   0.0216   1.0000
  17.000   1.4172   0.11484   0.10988  -0.0552   0.0223   1.0000
  17.500   1.3836   0.12975   0.12541  -0.0636   0.0235   1.0000
  18.000   1.3471   0.14647   0.14264  -0.0740   0.0243   1.0000
