  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 314 (HANSA-BRANDENBURG) AIRFOIL             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1464   0.05906   0.05521  -0.0595   0.9673   0.0532
  -4.500  -0.0965   0.04961   0.04587  -0.0644   0.9543   0.0549
  -4.000  -0.0271   0.04356   0.03964  -0.0716   0.9404   0.0592
  -3.500   0.0503   0.03744   0.03305  -0.0791   0.9228   0.0655
  -3.000   0.1170   0.03293   0.02831  -0.0833   0.9016   0.0715
  -2.500   0.1778   0.02890   0.02384  -0.0850   0.8721   0.0790
  -2.000   0.2328   0.02612   0.02058  -0.0847   0.8384   0.0909
  -1.500   0.2832   0.02387   0.01787  -0.0833   0.8006   0.1037
  -1.000   0.3307   0.02160   0.01527  -0.0816   0.7574   0.1187
  -0.500   0.3778   0.01994   0.01320  -0.0797   0.7072   0.1478
   0.500   0.4825   0.01681   0.00882  -0.0750   0.6028   0.1188
   1.000   0.5375   0.01528   0.00652  -0.0725   0.5647   0.0778
   1.500   0.5876   0.01470   0.00569  -0.0708   0.5297   0.0802
   2.000   0.6377   0.01436   0.00520  -0.0693   0.5013   0.0848
   2.500   0.6875   0.01407   0.00487  -0.0677   0.4791   0.0913
   3.000   0.7374   0.01400   0.00480  -0.0664   0.4589   0.1120
   3.500   0.8139   0.01257   0.00491  -0.0707   0.4372   1.0000
   4.000   0.8617   0.01304   0.00520  -0.0690   0.4164   1.0000
   4.500   0.9089   0.01345   0.00553  -0.0671   0.3940   1.0000
   5.000   0.9562   0.01392   0.00590  -0.0654   0.3738   1.0000
   6.000   1.0502   0.01497   0.00692  -0.0620   0.3352   1.0000
   6.500   1.0962   0.01551   0.00749  -0.0602   0.3148   1.0000
   7.000   1.1409   0.01612   0.00808  -0.0582   0.2943   1.0000
   7.500   1.1854   0.01684   0.00880  -0.0563   0.2769   1.0000
   8.000   1.2297   0.01759   0.00964  -0.0544   0.2618   1.0000
   8.500   1.2730   0.01835   0.01051  -0.0525   0.2476   1.0000
   9.000   1.3142   0.01904   0.01137  -0.0502   0.2301   1.0000
   9.500   1.3533   0.01978   0.01227  -0.0477   0.2101   1.0000
  10.000   1.3881   0.02074   0.01334  -0.0447   0.1873   1.0000
  10.500   1.4181   0.02199   0.01465  -0.0411   0.1519   1.0000
  11.000   1.4189   0.02481   0.01701  -0.0340   0.0828   1.0000
  11.500   1.4116   0.02834   0.02060  -0.0270   0.0668   1.0000
  12.000   1.3941   0.03311   0.02563  -0.0213   0.0560   1.0000
  12.500   1.3661   0.03998   0.03271  -0.0181   0.0483   1.0000
  13.000   1.3479   0.04720   0.04011  -0.0176   0.0424   1.0000
  13.500   1.3359   0.05455   0.04768  -0.0183   0.0379   1.0000
  14.000   1.3259   0.06216   0.05544  -0.0200   0.0347   1.0000
  14.500   1.3178   0.06957   0.06303  -0.0212   0.0322   1.0000
  15.000   1.3152   0.07655   0.07020  -0.0226   0.0300   1.0000
  15.500   1.3128   0.08362   0.07735  -0.0243   0.0282   1.0000
  16.000   1.3147   0.09010   0.08403  -0.0253   0.0265   1.0000
  16.500   1.3132   0.09757   0.09175  -0.0275   0.0250   1.0000
  17.000   1.3128   0.10497   0.09939  -0.0297   0.0241   1.0000
  17.500   1.3125   0.11241   0.10700  -0.0322   0.0232   1.0000
  18.000   1.3082   0.12074   0.11556  -0.0347   0.0225   1.0000
