  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1811   0.04931   0.04552  -0.0568   0.9652   0.0506
  -4.500  -0.1149   0.04262   0.03872  -0.0639   0.9392   0.0553
  -4.000  -0.0394   0.03627   0.03180  -0.0712   0.9066   0.0640
  -3.000   0.0676   0.02851   0.02314  -0.0729   0.8323   0.0810
  -2.500   0.1160   0.02575   0.01989  -0.0718   0.7999   0.0949
  -2.000   0.1691   0.02613   0.01947  -0.0699   0.7698   0.1186
  -1.500   0.2136   0.02132   0.01463  -0.0694   0.7434   0.1392
  -0.500   0.3100   0.01750   0.01036  -0.0670   0.6906   0.2392
   0.000   0.3815   0.01599   0.00762  -0.0636   0.6664   0.0734
   0.500   0.4348   0.01463   0.00611  -0.0623   0.6462   0.0706
   1.000   0.4875   0.01386   0.00529  -0.0611   0.6269   0.0721
   1.500   0.5392   0.01323   0.00465  -0.0598   0.6076   0.0731
   2.000   0.5906   0.01283   0.00419  -0.0586   0.5888   0.0785
   2.500   0.6430   0.01270   0.00404  -0.0574   0.5705   0.1161
   3.000   0.7177   0.01104   0.00411  -0.0613   0.5454   1.0000
   3.500   0.7668   0.01135   0.00423  -0.0597   0.5155   1.0000
   4.000   0.8155   0.01165   0.00441  -0.0580   0.4831   1.0000
   4.500   0.8644   0.01194   0.00464  -0.0564   0.4493   1.0000
   5.000   0.9123   0.01228   0.00490  -0.0548   0.4063   1.0000
   5.500   0.9589   0.01285   0.00531  -0.0531   0.3604   1.0000
   6.000   1.0042   0.01363   0.00592  -0.0513   0.3206   1.0000
   6.500   1.0497   0.01445   0.00666  -0.0496   0.2891   1.0000
   7.000   1.0951   0.01528   0.00750  -0.0480   0.2630   1.0000
   7.500   1.1389   0.01618   0.00841  -0.0462   0.2310   1.0000
   8.000   1.1797   0.01731   0.00944  -0.0440   0.1694   1.0000
   8.500   1.1999   0.02044   0.01192  -0.0395   0.0725   1.0000
   9.000   1.2302   0.02235   0.01398  -0.0361   0.0618   1.0000
   9.500   1.2519   0.02458   0.01632  -0.0317   0.0569   1.0000
  10.000   1.2681   0.02670   0.01862  -0.0266   0.0528   1.0000
  10.500   1.2735   0.02966   0.02164  -0.0213   0.0499   1.0000
  11.000   1.2842   0.03291   0.02505  -0.0175   0.0474   1.0000
  11.500   1.2989   0.03630   0.02861  -0.0146   0.0446   1.0000
  12.000   1.3255   0.04045   0.03274  -0.0121   0.0412   1.0000
  12.500   1.3432   0.04435   0.03702  -0.0099   0.0390   1.0000
  13.000   1.3612   0.04881   0.04173  -0.0081   0.0364   1.0000
  13.500   1.3847   0.05606   0.04927  -0.0068   0.0339   1.0000
  14.000   1.3653   0.06254   0.05628  -0.0057   0.0334   1.0000
  14.500   1.3394   0.07068   0.06492  -0.0066   0.0330   1.0000
  15.000   1.3076   0.08060   0.07532  -0.0096   0.0327   1.0000
  15.500   1.2703   0.09257   0.08773  -0.0148   0.0328   1.0000
  16.000   1.2275   0.10688   0.10244  -0.0227   0.0329   1.0000
  16.500   1.1859   0.12317   0.11906  -0.0323   0.0336   1.0000
  17.000   1.1492   0.14048   0.13662  -0.0426   0.0343   1.0000
  17.500   0.7899   0.19798   0.19481  -0.0767   0.0707   1.0000
  18.000   0.8038   0.20607   0.20294  -0.0784   0.0676   1.0000
