  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 319 (HANSA-BRANDENBURG II) AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0435   0.03962   0.03573  -0.0824   0.8101   0.0589
  -4.500   0.0715   0.03424   0.03034  -0.0807   0.7927   0.0605
  -4.000   0.1270   0.04603   0.04119  -0.0917   0.7970   0.0671
  -3.500   0.1616   0.04016   0.03543  -0.0911   0.7794   0.0690
  -2.500   0.2626   0.03286   0.02750  -0.0926   0.7414   0.0810
  -2.000   0.3168   0.02982   0.02398  -0.0928   0.7216   0.0913
  -1.500   0.3689   0.02730   0.02106  -0.0923   0.7006   0.1043
  -1.000   0.4206   0.02494   0.01843  -0.0918   0.6818   0.1195
  -0.500   0.4731   0.02293   0.01625  -0.0913   0.6655   0.1384
   0.000   0.5256   0.02128   0.01443  -0.0908   0.6490   0.1722
   0.500   0.5857   0.01926   0.01185  -0.0897   0.6324   0.1515
   1.000   0.6498   0.01616   0.00772  -0.0871   0.6165   0.0683
   1.500   0.7038   0.01524   0.00673  -0.0860   0.5988   0.0688
   2.000   0.7569   0.01467   0.00617  -0.0848   0.5798   0.0738
   2.500   0.8093   0.01426   0.00573  -0.0837   0.5589   0.0837
   3.000   0.8735   0.01224   0.00550  -0.0851   0.5326   1.0000
   3.500   0.9239   0.01259   0.00552  -0.0836   0.5045   1.0000
   4.000   0.9725   0.01299   0.00571  -0.0819   0.4673   1.0000
   4.500   1.0182   0.01357   0.00599  -0.0799   0.4182   1.0000
   5.000   1.0623   0.01444   0.00651  -0.0779   0.3725   1.0000
   5.500   1.1067   0.01544   0.00723  -0.0761   0.3422   1.0000
   6.000   1.1516   0.01649   0.00803  -0.0744   0.3214   1.0000
   6.500   1.1979   0.01746   0.00889  -0.0730   0.3061   1.0000
   7.000   1.2445   0.01842   0.00984  -0.0717   0.2939   1.0000
   7.500   1.2912   0.01954   0.01087  -0.0705   0.2838   1.0000
   8.000   1.3369   0.02053   0.01191  -0.0692   0.2740   1.0000
   8.500   1.3819   0.02170   0.01312  -0.0679   0.2644   1.0000
   9.000   1.4261   0.02284   0.01427  -0.0665   0.2552   1.0000
   9.500   1.4686   0.02414   0.01572  -0.0649   0.2465   1.0000
  10.000   1.5107   0.02542   0.01702  -0.0634   0.2376   1.0000
  10.500   1.5469   0.02684   0.01866  -0.0611   0.2283   1.0000
  11.000   1.5882   0.02837   0.02011  -0.0597   0.2183   1.0000
  11.500   1.6066   0.02962   0.02170  -0.0550   0.2095   1.0000
  12.000   1.6424   0.03129   0.02334  -0.0530   0.2012   1.0000
  12.500   1.6546   0.03312   0.02554  -0.0482   0.1941   1.0000
  13.000   1.6843   0.03482   0.02720  -0.0459   0.1864   1.0000
  13.500   1.6850   0.03742   0.03021  -0.0415   0.1793   1.0000
  14.000   1.7042   0.03951   0.03228  -0.0391   0.1718   1.0000
  14.500   1.7006   0.04329   0.03649  -0.0362   0.1649   1.0000
  15.000   1.7130   0.04625   0.03945  -0.0345   0.1579   1.0000
  15.500   1.7051   0.05137   0.04500  -0.0332   0.1512   1.0000
  16.000   1.7090   0.05557   0.04924  -0.0324   0.1444   1.0000
  16.500   1.6958   0.06216   0.05622  -0.0325   0.1376   1.0000
  17.000   1.6934   0.06778   0.06193  -0.0327   0.1310   1.0000
  17.500   1.6749   0.07606   0.07056  -0.0344   0.1245   1.0000
  18.000   1.6629   0.08366   0.07828  -0.0361   0.1178   1.0000
