  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1147   0.05416   0.04922  -0.0542   0.6671   0.0616
  -4.500  -0.0754   0.04956   0.04452  -0.0549   0.6614   0.0640
  -4.000  -0.0176   0.04394   0.03839  -0.0599   0.6542   0.0717
  -3.500   0.0266   0.04004   0.03447  -0.0603   0.6477   0.0756
  -3.000   0.0808   0.03606   0.03010  -0.0621   0.6416   0.0855
  -2.500   0.1354   0.03302   0.02666  -0.0630   0.6342   0.0982
  -2.000   0.1879   0.03037   0.02370  -0.0631   0.6258   0.1136
  -1.500   0.2401   0.02777   0.02099  -0.0633   0.6163   0.1322
  -1.000   0.2816   0.01073   0.00434  -0.0605   0.6033   0.1696
   0.500   0.4769   0.01879   0.01013  -0.0602   0.5842   0.0751
   1.000   0.5328   0.01782   0.00904  -0.0594   0.5763   0.0754
   1.500   0.5878   0.01714   0.00845  -0.0588   0.5654   0.0797
   2.000   0.6426   0.01656   0.00792  -0.0582   0.5550   0.0894
   2.500   0.6983   0.01593   0.00733  -0.0575   0.5445   0.1376
