  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 326 (PFALZ 55) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0728   0.05133   0.04733  -0.0843   0.9570   0.0561
  -4.500  -0.0267   0.04206   0.03819  -0.0886   0.9445   0.0610
  -4.000   0.0417   0.03538   0.03099  -0.0952   0.9288   0.0732
  -3.500   0.1008   0.03069   0.02578  -0.0978   0.9113   0.0870
  -3.000   0.1522   0.02727   0.02206  -0.0981   0.8928   0.1038
  -2.500   0.2039   0.02489   0.01921  -0.0977   0.8721   0.1317
  -2.000   0.2520   0.02232   0.01654  -0.0969   0.8511   0.1644
  -1.000   0.3741   0.01581   0.00827  -0.0934   0.8081   0.0773
  -0.500   0.4281   0.01454   0.00669  -0.0921   0.7832   0.0778
   0.000   0.4818   0.01356   0.00552  -0.0907   0.7563   0.0785
   0.500   0.5350   0.01287   0.00470  -0.0894   0.7267   0.0810
   1.000   0.5883   0.01235   0.00411  -0.0884   0.6949   0.0897
   1.500   0.6420   0.01005   0.00385  -0.0877   0.6625   1.0000
   2.000   0.6955   0.01029   0.00369  -0.0867   0.6291   1.0000
   2.500   0.7485   0.01059   0.00370  -0.0858   0.5955   1.0000
   3.000   0.8010   0.01101   0.00386  -0.0850   0.5627   1.0000
   3.500   0.8534   0.01157   0.00420  -0.0843   0.5342   1.0000
   4.000   0.9054   0.01220   0.00463  -0.0835   0.5069   1.0000
   4.500   0.9575   0.01274   0.00517  -0.0829   0.4811   1.0000
   5.000   1.0094   0.01333   0.00573  -0.0822   0.4585   1.0000
   5.500   1.0607   0.01385   0.00628  -0.0815   0.4346   1.0000
   6.000   1.1114   0.01439   0.00689  -0.0807   0.4111   1.0000
   6.500   1.1608   0.01495   0.00747  -0.0796   0.3861   1.0000
   7.000   1.2074   0.01545   0.00805  -0.0782   0.3466   1.0000
   7.500   1.2527   0.01619   0.00880  -0.0767   0.3060   1.0000
   8.000   1.2944   0.01724   0.00978  -0.0748   0.2482   1.0000
   8.500   1.3256   0.01932   0.01133  -0.0718   0.1515   1.0000
   9.000   1.3546   0.02162   0.01339  -0.0685   0.1050   1.0000
   9.500   1.3716   0.02470   0.01600  -0.0637   0.0345   1.0000
  10.000   1.3818   0.02764   0.01905  -0.0578   0.0263   1.0000
  10.500   1.3912   0.03074   0.02248  -0.0528   0.0244   1.0000
  11.000   1.3925   0.03490   0.02695  -0.0486   0.0228   1.0000
  11.500   1.3855   0.04039   0.03272  -0.0456   0.0213   1.0000
  12.000   1.3737   0.04696   0.03952  -0.0434   0.0204   1.0000
  12.500   1.3676   0.05320   0.04593  -0.0410   0.0199   1.0000
  13.000   1.3740   0.05830   0.05122  -0.0385   0.0196   1.0000
  13.500   1.3844   0.06333   0.05651  -0.0360   0.0195   1.0000
  14.000   1.3890   0.06938   0.06292  -0.0343   0.0194   1.0000
  14.500   1.3816   0.07695   0.07090  -0.0344   0.0192   1.0000
  15.000   1.3655   0.08602   0.08044  -0.0361   0.0189   1.0000
  15.500   1.3437   0.09661   0.09146  -0.0393   0.0190   1.0000
  16.000   1.3170   0.10882   0.10410  -0.0443   0.0192   1.0000
  16.500   1.2864   0.12258   0.11824  -0.0509   0.0195   1.0000
