  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 593 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1826   0.02249   0.01517  -0.0811   0.9129   0.0650
  -4.500  -0.1052   0.02009   0.01261  -0.0853   0.9080   0.0712
  -3.500   0.0415   0.01668   0.00893  -0.0913   0.8919   0.0876
  -3.000   0.1023   0.01543   0.00777  -0.0919   0.8789   0.1087
  -2.500   0.1653   0.01424   0.00677  -0.0929   0.8658   0.1700
  -2.000   0.2268   0.01325   0.00606  -0.0936   0.8503   0.2439
  -1.500   0.2676   0.01150   0.00566  -0.0903   0.8324   0.5927
  -1.000   0.4196   0.01075   0.00560  -0.1074   0.8229   0.9667
  -0.500   0.5412   0.01060   0.00515  -0.1207   0.8045   1.0000
   0.000   0.5841   0.01053   0.00485  -0.1180   0.7815   1.0000
   0.500   0.6278   0.01054   0.00467  -0.1153   0.7590   1.0000
   1.000   0.6701   0.01062   0.00459  -0.1123   0.7353   1.0000
   1.500   0.7139   0.01076   0.00456  -0.1096   0.7116   1.0000
   2.000   0.7559   0.01095   0.00460  -0.1065   0.6861   1.0000
   2.500   0.7966   0.01117   0.00470  -0.1030   0.6578   1.0000
   3.000   0.8369   0.01143   0.00483  -0.0995   0.6274   1.0000
   3.500   0.8754   0.01174   0.00501  -0.0957   0.5929   1.0000
   4.000   0.9116   0.01213   0.00522  -0.0914   0.5533   1.0000
   4.500   0.9449   0.01263   0.00552  -0.0867   0.5092   1.0000
   5.000   0.9784   0.01329   0.00598  -0.0822   0.4680   1.0000
   5.500   1.0134   0.01408   0.00656  -0.0781   0.4336   1.0000
   6.000   1.0509   0.01490   0.00726  -0.0747   0.4061   1.0000
   6.500   1.0891   0.01577   0.00798  -0.0715   0.3821   1.0000
   7.000   1.1266   0.01657   0.00877  -0.0682   0.3606   1.0000
   7.500   1.1642   0.01737   0.00959  -0.0651   0.3421   1.0000
   8.000   1.2002   0.01816   0.01042  -0.0617   0.3247   1.0000
   8.500   1.2312   0.01893   0.01125  -0.0574   0.3078   1.0000
   9.000   1.2621   0.01974   0.01215  -0.0532   0.2930   1.0000
   9.500   1.2916   0.02059   0.01313  -0.0489   0.2785   1.0000
  10.000   1.3166   0.02148   0.01418  -0.0441   0.2626   1.0000
  10.500   1.3363   0.02250   0.01534  -0.0388   0.2438   1.0000
  11.000   1.3511   0.02381   0.01683  -0.0334   0.2192   1.0000
  11.500   1.3546   0.02597   0.01897  -0.0274   0.1728   1.0000
  12.000   1.3437   0.02987   0.02253  -0.0213   0.1228   1.0000
  12.500   1.3373   0.03411   0.02668  -0.0167   0.1031   1.0000
  13.000   1.3361   0.03835   0.03103  -0.0135   0.0920   1.0000
  13.500   1.3357   0.04288   0.03570  -0.0110   0.0836   1.0000
  14.000   1.3305   0.04814   0.04100  -0.0089   0.0765   1.0000
  14.500   1.3308   0.05329   0.04638  -0.0080   0.0694   1.0000
  15.000   1.3257   0.05924   0.05249  -0.0072   0.0626   1.0000
  15.500   1.3190   0.06555   0.05880  -0.0068   0.0552   1.0000
  16.000   1.3104   0.07290   0.06649  -0.0080   0.0493   1.0000
  16.500   1.3025   0.08010   0.07382  -0.0089   0.0439   1.0000
  17.000   1.2951   0.08775   0.08164  -0.0109   0.0396   1.0000
  17.500   1.2883   0.09542   0.08951  -0.0127   0.0360   1.0000
  18.000   1.2825   0.10324   0.09754  -0.0153   0.0332   1.0000
