  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 676 (= M 12) AIRFOIL                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4126   0.02064   0.01281  -0.0298   0.9729   0.0756
  -4.500  -0.3354   0.01866   0.01058  -0.0341   0.9625   0.0802
  -4.000  -0.2596   0.01669   0.00861  -0.0383   0.9515   0.0888
  -3.500  -0.1904   0.01522   0.00719  -0.0409   0.9369   0.1013
  -3.000  -0.1295   0.01422   0.00624  -0.0415   0.9183   0.1242
  -2.500  -0.0792   0.01303   0.00536  -0.0399   0.8966   0.1831
  -2.000  -0.0545   0.01026   0.00485  -0.0334   0.8715   0.6873
  -1.500  -0.0036   0.01035   0.00534  -0.0290   0.8492   0.8874
  -1.000   0.0654   0.01086   0.00564  -0.0293   0.8264   0.9391
  -0.500   0.1753   0.01133   0.00582  -0.0387   0.8060   0.9736
   0.000   0.2935   0.01124   0.00552  -0.0514   0.7809   0.9994
   0.500   0.3433   0.01111   0.00520  -0.0506   0.7557   1.0000
   1.000   0.3920   0.01101   0.00495  -0.0495   0.7295   1.0000
   1.500   0.4409   0.01094   0.00474  -0.0483   0.7007   1.0000
   2.000   0.4901   0.01096   0.00461  -0.0471   0.6715   1.0000
   2.500   0.5395   0.01107   0.00459  -0.0459   0.6432   1.0000
   3.000   0.5879   0.01125   0.00464  -0.0446   0.6108   1.0000
   3.500   0.6356   0.01147   0.00478  -0.0431   0.5798   1.0000
   4.000   0.6827   0.01172   0.00497  -0.0415   0.5487   1.0000
   4.500   0.7286   0.01199   0.00520  -0.0397   0.5160   1.0000
   5.000   0.7738   0.01234   0.00551  -0.0377   0.4852   1.0000
   5.500   0.8177   0.01276   0.00587  -0.0355   0.4534   1.0000
   6.000   0.8612   0.01326   0.00636  -0.0333   0.4251   1.0000
   6.500   0.9035   0.01381   0.00689  -0.0309   0.3949   1.0000
   7.000   0.9431   0.01440   0.00745  -0.0280   0.3552   1.0000
   7.500   0.9806   0.01512   0.00811  -0.0249   0.3055   1.0000
   8.000   1.0135   0.01626   0.00902  -0.0213   0.2285   1.0000
   8.500   1.0424   0.01793   0.01033  -0.0175   0.1677   1.0000
   9.000   1.0712   0.01965   0.01193  -0.0139   0.1357   1.0000
   9.500   1.0943   0.02171   0.01393  -0.0096   0.1030   1.0000
  10.000   1.1160   0.02361   0.01576  -0.0051   0.0691   1.0000
  10.500   1.1259   0.02623   0.01832   0.0002   0.0553   1.0000
  11.000   1.1371   0.02924   0.02146   0.0045   0.0475   1.0000
  11.500   1.1455   0.03294   0.02528   0.0081   0.0424   1.0000
  12.000   1.1593   0.03648   0.02893   0.0108   0.0385   1.0000
  12.500   1.1749   0.04052   0.03310   0.0134   0.0352   1.0000
  13.000   1.1911   0.04439   0.03725   0.0154   0.0326   1.0000
  13.500   1.2067   0.04863   0.04165   0.0172   0.0307   1.0000
  14.000   1.2161   0.05454   0.04785   0.0191   0.0291   1.0000
  14.500   1.2040   0.06110   0.05491   0.0193   0.0282   1.0000
  15.000   1.1854   0.06922   0.06350   0.0181   0.0275   1.0000
  15.500   1.1573   0.07925   0.07401   0.0152   0.0273   1.0000
  16.000   1.1197   0.09179   0.08701   0.0097   0.0273   1.0000
  16.500   1.0731   0.10764   0.10328   0.0010   0.0276   1.0000
  17.000   1.0170   0.12782   0.12383  -0.0114   0.0283   1.0000
  17.500   0.9560   0.15221   0.14845  -0.0259   0.0294   1.0000
