  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 677 (= M 6) AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3842   0.02169   0.01398  -0.0277   0.9036   0.0745
  -4.500  -0.3337   0.01970   0.01165  -0.0260   0.8716   0.0768
  -4.000  -0.2821   0.01818   0.00984  -0.0246   0.8461   0.0806
  -3.500  -0.2299   0.01695   0.00835  -0.0234   0.8240   0.0863
  -3.000  -0.1786   0.01565   0.00704  -0.0222   0.8058   0.0951
  -2.500  -0.1276   0.01471   0.00608  -0.0211   0.7904   0.1073
  -2.000  -0.0766   0.01405   0.00546  -0.0200   0.7754   0.1301
  -1.000   0.0222   0.01145   0.00586  -0.0147   0.7488   0.9285
  -0.500   0.1705   0.01267   0.00672  -0.0316   0.7340   0.9808
   0.000   0.2784   0.01255   0.00636  -0.0426   0.7177   1.0000
   0.500   0.3290   0.01251   0.00617  -0.0419   0.7014   1.0000
   1.000   0.3796   0.01251   0.00605  -0.0412   0.6841   1.0000
   1.500   0.4302   0.01253   0.00596  -0.0404   0.6657   1.0000
   2.000   0.4804   0.01255   0.00583  -0.0393   0.6452   1.0000
   2.500   0.5306   0.01253   0.00579  -0.0383   0.6209   1.0000
   3.000   0.5810   0.01256   0.00574  -0.0373   0.5990   1.0000
   3.500   0.6306   0.01253   0.00569  -0.0362   0.5723   1.0000
   4.000   0.6798   0.01249   0.00562  -0.0349   0.5446   1.0000
   4.500   0.7290   0.01256   0.00565  -0.0337   0.5194   1.0000
   5.000   0.7776   0.01274   0.00585  -0.0324   0.4944   1.0000
   5.500   0.8249   0.01303   0.00612  -0.0309   0.4692   1.0000
   6.000   0.8708   0.01346   0.00650  -0.0292   0.4423   1.0000
   6.500   0.9153   0.01395   0.00700  -0.0272   0.4141   1.0000
   7.000   0.9581   0.01445   0.00758  -0.0250   0.3830   1.0000
   7.500   0.9977   0.01496   0.00815  -0.0222   0.3362   1.0000
   8.000   1.0234   0.01635   0.00906  -0.0175   0.2296   1.0000
   8.500   1.0419   0.01837   0.01067  -0.0120   0.1636   1.0000
   9.000   1.0646   0.01992   0.01212  -0.0070   0.1395   1.0000
   9.500   1.0892   0.02124   0.01346  -0.0023   0.1228   1.0000
  10.000   1.1118   0.02263   0.01493   0.0023   0.1084   1.0000
  10.500   1.1273   0.02425   0.01662   0.0076   0.0941   1.0000
  11.000   1.1346   0.02667   0.01908   0.0127   0.0738   1.0000
  11.500   1.1481   0.02947   0.02187   0.0158   0.0458   1.0000
  12.000   1.1527   0.03345   0.02589   0.0182   0.0379   1.0000
  12.500   1.1542   0.03819   0.03076   0.0198   0.0339   1.0000
  13.000   1.1571   0.04303   0.03577   0.0209   0.0314   1.0000
  13.500   1.1547   0.04846   0.04128   0.0221   0.0296   1.0000
  14.000   1.1610   0.05324   0.04630   0.0232   0.0282   1.0000
  14.500   1.1658   0.05833   0.05163   0.0238   0.0267   1.0000
  15.000   1.1691   0.06371   0.05717   0.0240   0.0253   1.0000
  15.500   1.1741   0.06911   0.06273   0.0245   0.0244   1.0000
  16.000   1.1739   0.07566   0.06955   0.0252   0.0238   1.0000
  16.500   1.1580   0.08465   0.07893   0.0229   0.0236   1.0000
  17.000   1.1340   0.09545   0.09015   0.0186   0.0236   1.0000
  17.500   1.1031   0.10824   0.10334   0.0125   0.0237   1.0000
  18.000   1.0683   0.12300   0.11850   0.0039   0.0238   1.0000
