  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 802 B AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1140   0.05232   0.04847  -0.1108   0.9136   0.0465
  -4.500   0.1616   0.04727   0.04328  -0.1141   0.8990   0.0493
  -4.000   0.2243   0.04254   0.03818  -0.1189   0.8859   0.0525
  -3.500   0.2741   0.03823   0.03367  -0.1203   0.8710   0.0567
  -3.000   0.3287   0.03448   0.02955  -0.1214   0.8530   0.0592
  -2.500   0.3821   0.03141   0.02616  -0.1217   0.8345   0.0636
  -2.000   0.4362   0.02822   0.02263  -0.1221   0.8159   0.0659
  -1.500   0.4933   0.02671   0.02064  -0.1218   0.7963   0.0704
  -1.000   0.5467   0.02366   0.01734  -0.1220   0.7757   0.0736
  -0.500   0.6029   0.02217   0.01541  -0.1215   0.7536   0.0757
   0.000   0.6575   0.02052   0.01346  -0.1212   0.7289   0.0787
   0.500   0.7123   0.01929   0.01189  -0.1207   0.7028   0.0802
   1.000   0.7670   0.01845   0.01067  -0.1201   0.6769   0.0830
   1.500   0.8207   0.01760   0.00957  -0.1196   0.6504   0.0845
   2.000   0.8740   0.01726   0.00895  -0.1189   0.6243   0.0851
   2.500   0.9268   0.01672   0.00816  -0.1183   0.5991   0.0862
   3.000   0.9788   0.01670   0.00793  -0.1175   0.5745   0.0884
   3.500   1.0027   0.00640  -0.00228  -0.1115   0.5416   0.1007
   4.500   1.0968   0.00503  -0.00206  -0.1097   0.4941   1.0000
   5.000   1.1437   0.00540  -0.00179  -0.1085   0.4712   1.0000
   5.500   1.1909   0.00583  -0.00142  -0.1075   0.4522   1.0000
   6.000   1.2371   0.00628  -0.00100  -0.1063   0.4337   1.0000
   6.500   1.2814   0.00674  -0.00054  -0.1049   0.4139   1.0000
   7.000   1.3243   0.00725  -0.00003  -0.1032   0.3945   1.0000
   7.500   1.3651   0.00780   0.00057  -0.1012   0.3746   1.0000
   8.000   1.4040   0.00843   0.00125  -0.0989   0.3555   1.0000
   8.500   1.4386   0.00912   0.00202  -0.0960   0.3342   1.0000
   9.000   1.4665   0.00991   0.00284  -0.0920   0.3103   1.0000
   9.500   1.4822   0.01078   0.00379  -0.0862   0.2823   1.0000
  10.000   1.4916   0.01207   0.00508  -0.0802   0.2518   1.0000
  10.500   1.4993   0.01392   0.00696  -0.0747   0.2213   1.0000
  11.500   1.5018   0.02016   0.01323  -0.0645   0.1788   1.0000
  12.000   1.4984   0.02460   0.01772  -0.0601   0.1628   1.0000
  12.500   1.4961   0.02952   0.02279  -0.0565   0.1487   1.0000
  13.000   1.4942   0.03493   0.02843  -0.0534   0.1371   1.0000
  13.500   1.4831   0.04187   0.03550  -0.0506   0.1272   1.0000
  14.000   1.4753   0.04891   0.04277  -0.0487   0.1166   1.0000
  14.500   1.4626   0.05688   0.05094  -0.0472   0.1075   1.0000
  15.000   1.4429   0.06598   0.06022  -0.0465   0.0980   1.0000
  15.500   1.4287   0.07430   0.06879  -0.0461   0.0890   1.0000
  16.000   1.4044   0.08383   0.07850  -0.0464   0.0812   1.0000
  16.500   1.3791   0.09308   0.08796  -0.0471   0.0732   1.0000
  17.000   1.3464   0.10275   0.09782  -0.0485   0.0652   1.0000
  17.500   1.3051   0.11248   0.10773  -0.0505   0.0589   1.0000
  18.000   1.2616   0.12024   0.11578  -0.0520   0.0530   1.0000
