  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 0/10 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5654   0.01320   0.00569   0.0009   1.0000   0.1293
  -4.500  -0.5364   0.01143   0.00479   0.0045   1.0000   0.2891
  -4.000  -0.5117   0.01024   0.00436   0.0092   1.0000   0.4570
  -3.500  -0.4567   0.00981   0.00447   0.0087   0.9914   0.6105
  -3.000  -0.3795   0.00989   0.00457   0.0044   0.9765   0.6897
  -2.500  -0.3017   0.01005   0.00475   0.0005   0.9633   0.7437
  -2.000  -0.2249   0.01005   0.00470  -0.0031   0.9466   0.7746
  -1.500  -0.1579   0.01004   0.00465  -0.0048   0.9293   0.7984
  -1.000  -0.1002   0.01004   0.00463  -0.0043   0.9099   0.8212
  -0.500  -0.0496   0.01005   0.00463  -0.0023   0.8883   0.8456
   0.000   0.0000   0.01004   0.00461   0.0000   0.8675   0.8675
   0.500   0.0496   0.01005   0.00463   0.0023   0.8456   0.8883
   1.000   0.1003   0.01004   0.00463   0.0043   0.8212   0.9098
   1.500   0.1579   0.01004   0.00465   0.0048   0.7984   0.9293
   2.000   0.2249   0.01005   0.00470   0.0031   0.7746   0.9466
   2.500   0.3016   0.01005   0.00475  -0.0005   0.7436   0.9633
   3.000   0.3794   0.00989   0.00457  -0.0044   0.6896   0.9766
   3.500   0.4567   0.00981   0.00447  -0.0087   0.6107   0.9915
   4.000   0.5114   0.01024   0.00436  -0.0091   0.4576   1.0000
   4.500   0.5361   0.01142   0.00478  -0.0045   0.2894   1.0000
   5.000   0.5652   0.01319   0.00569  -0.0008   0.1295   1.0000
   5.500   0.5999   0.01523   0.00738   0.0024   0.0792   1.0000
   6.000   0.6413   0.01697   0.00916   0.0047   0.0616   1.0000
   6.500   0.6840   0.01930   0.01149   0.0068   0.0529   1.0000
   7.000   0.7312   0.02172   0.01414   0.0085   0.0481   1.0000
   7.500   0.7768   0.02507   0.01767   0.0098   0.0436   1.0000
   8.000   0.8170   0.02964   0.02299   0.0121   0.0403   1.0000
   8.500   0.8495   0.03315   0.02678   0.0137   0.0309   1.0000
   9.000   0.8732   0.03777   0.03234   0.0174   0.0258   1.0000
   9.500   0.8885   0.04257   0.03738   0.0197   0.0218   1.0000
  10.000   0.8646   0.05062   0.04621   0.0241   0.0207   1.0000
