  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 0/9 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5383   0.01600   0.00816  -0.0038   1.0000   0.0514
  -4.500  -0.4934   0.01388   0.00593  -0.0017   1.0000   0.0641
  -4.000  -0.4539   0.01127   0.00412   0.0005   1.0000   0.2055
  -3.500  -0.4206   0.00910   0.00346   0.0038   1.0000   0.5269
  -3.000  -0.3826   0.00865   0.00349   0.0079   1.0000   0.6856
  -2.500  -0.3453   0.00858   0.00347   0.0119   1.0000   0.7528
  -2.000  -0.3134   0.00866   0.00364   0.0169   1.0000   0.8095
  -1.500  -0.2470   0.00877   0.00376   0.0148   0.9867   0.8540
  -1.000  -0.1645   0.00882   0.00373   0.0096   0.9703   0.8852
  -0.500  -0.0840   0.00890   0.00381   0.0051   0.9563   0.9154
   0.000   0.0000   0.00893   0.00383   0.0000   0.9390   0.9389
   0.500   0.0840   0.00890   0.00381  -0.0051   0.9155   0.9563
   1.000   0.1646   0.00882   0.00373  -0.0096   0.8853   0.9703
   1.500   0.2471   0.00877   0.00376  -0.0148   0.8541   0.9867
   2.000   0.3132   0.00865   0.00364  -0.0169   0.8094   1.0000
   2.500   0.3452   0.00858   0.00346  -0.0119   0.7528   1.0000
   3.000   0.3826   0.00865   0.00349  -0.0079   0.6858   1.0000
   3.500   0.4206   0.00910   0.00346  -0.0038   0.5273   1.0000
   4.000   0.4539   0.01127   0.00412  -0.0005   0.2058   1.0000
   4.500   0.4934   0.01388   0.00594   0.0017   0.0640   1.0000
   5.000   0.5383   0.01600   0.00816   0.0037   0.0515   1.0000
   5.500   0.5855   0.01864   0.01084   0.0054   0.0450   1.0000
   6.000   0.6316   0.02199   0.01452   0.0068   0.0314   1.0000
   6.500   0.6765   0.02511   0.01826   0.0087   0.0188   1.0000
   7.000   0.7133   0.03218   0.02639   0.0117   0.0174   1.0000
   7.500   0.7332   0.04152   0.03671   0.0145   0.0183   1.0000
