  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 1.5/9 B AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4493   0.02030   0.01327  -0.0288   1.0000   0.0342
  -4.500  -0.4014   0.01720   0.00979  -0.0276   0.9984   0.0449
  -4.000  -0.3276   0.01548   0.00783  -0.0317   0.9897   0.0664
  -3.500  -0.2529   0.01388   0.00626  -0.0363   0.9810   0.0881
  -3.000  -0.1851   0.01133   0.00486  -0.0404   0.9707   0.3214
  -2.500  -0.1219   0.01032   0.00506  -0.0418   0.9587   0.6791
  -2.000  -0.0500   0.01029   0.00506  -0.0442   0.9467   0.7587
  -1.500   0.0161   0.01020   0.00500  -0.0451   0.9334   0.8151
  -1.000   0.0751   0.01007   0.00488  -0.0447   0.9198   0.8565
  -0.500   0.1302   0.00989   0.00473  -0.0434   0.9052   0.8920
   0.000   0.1883   0.00962   0.00442  -0.0426   0.8876   0.9263
   0.500   0.2585   0.00939   0.00416  -0.0447   0.8679   0.9554
   1.000   0.3404   0.00915   0.00385  -0.0495   0.8454   0.9796
   1.500   0.4129   0.00906   0.00376  -0.0535   0.8228   1.0000
   2.000   0.4539   0.00913   0.00378  -0.0508   0.7981   1.0000
   2.500   0.5035   0.00921   0.00383  -0.0493   0.7718   1.0000
   3.000   0.5541   0.00929   0.00391  -0.0478   0.7382   1.0000
   3.500   0.6023   0.00932   0.00379  -0.0453   0.6742   1.0000
   4.000   0.6498   0.00963   0.00390  -0.0431   0.5820   1.0000
   4.500   0.6931   0.01058   0.00426  -0.0405   0.4459   1.0000
   5.000   0.7355   0.01194   0.00502  -0.0385   0.3119   1.0000
   5.500   0.7795   0.01331   0.00602  -0.0369   0.2127   1.0000
   6.000   0.8141   0.01623   0.00809  -0.0341   0.0691   1.0000
   6.500   0.8559   0.01822   0.01016  -0.0319   0.0577   1.0000
   7.000   0.8968   0.02076   0.01275  -0.0298   0.0467   1.0000
   7.500   0.9400   0.02325   0.01537  -0.0280   0.0366   1.0000
   8.000   0.9838   0.02681   0.01928  -0.0260   0.0298   1.0000
   8.500   1.0213   0.03228   0.02533  -0.0237   0.0255   1.0000
   9.000   1.0475   0.03881   0.03277  -0.0199   0.0244   1.0000
   9.500   1.0545   0.04653   0.04137  -0.0152   0.0241   1.0000
  10.000   1.0427   0.05382   0.04934  -0.0103   0.0233   1.0000
  10.500   1.0067   0.06118   0.05718  -0.0052   0.0237   1.0000
  11.000   0.9640   0.07065   0.06700  -0.0060   0.0246   1.0000
  11.500   0.9224   0.08316   0.07974  -0.0129   0.0255   1.0000
