  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 2.0/9 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4031   0.02870   0.02313  -0.0428   0.9938   0.0364
  -4.500  -0.3317   0.02130   0.01452  -0.0451   0.9871   0.0297
  -4.000  -0.2616   0.01761   0.01023  -0.0477   0.9797   0.0350
  -3.500  -0.1881   0.01486   0.00736  -0.0512   0.9728   0.0486
  -3.000  -0.1199   0.01317   0.00592  -0.0544   0.9621   0.1245
  -2.500  -0.0611   0.01082   0.00564  -0.0561   0.9516   0.6432
  -2.000   0.0111   0.01076   0.00558  -0.0586   0.9423   0.7364
  -1.500   0.0787   0.01064   0.00548  -0.0598   0.9320   0.8008
  -1.000   0.1355   0.01040   0.00528  -0.0586   0.9186   0.8569
  -0.500   0.1908   0.01010   0.00500  -0.0572   0.9046   0.9028
   0.000   0.2573   0.00980   0.00465  -0.0584   0.8885   0.9371
   0.500   0.3395   0.00948   0.00425  -0.0632   0.8684   0.9733
   1.000   0.4120   0.00924   0.00392  -0.0667   0.8468   1.0000
   1.500   0.4587   0.00929   0.00387  -0.0651   0.8234   1.0000
   2.000   0.5101   0.00935   0.00387  -0.0640   0.7991   1.0000
   2.500   0.5623   0.00939   0.00389  -0.0628   0.7723   1.0000
   3.000   0.6146   0.00944   0.00392  -0.0616   0.7412   1.0000
   3.500   0.6661   0.00954   0.00403  -0.0601   0.7013   1.0000
   4.000   0.7162   0.00974   0.00415  -0.0584   0.6451   1.0000
   4.500   0.7617   0.01026   0.00435  -0.0558   0.5398   1.0000
   5.000   0.8033   0.01139   0.00491  -0.0532   0.4113   1.0000
   5.500   0.8459   0.01269   0.00579  -0.0511   0.3136   1.0000
   6.000   0.8893   0.01398   0.00685  -0.0494   0.2371   1.0000
   6.500   0.9276   0.01594   0.00811  -0.0473   0.1096   1.0000
   7.000   0.9664   0.01799   0.00996  -0.0450   0.0696   1.0000
   7.500   1.0078   0.01964   0.01175  -0.0431   0.0506   1.0000
   8.000   1.0435   0.02207   0.01434  -0.0402   0.0256   1.0000
   8.500   1.0716   0.02602   0.01852  -0.0361   0.0191   1.0000
   9.000   1.1045   0.02910   0.02184  -0.0333   0.0152   1.0000
   9.500   1.1299   0.03488   0.02818  -0.0298   0.0134   1.0000
  10.000   1.1450   0.04084   0.03486  -0.0255   0.0129   1.0000
  10.500   1.1355   0.04730   0.04199  -0.0193   0.0129   1.0000
  11.000   1.1091   0.05430   0.04956  -0.0144   0.0129   1.0000
  11.500   1.0750   0.06288   0.05862  -0.0134   0.0131   1.0000
  12.000   1.0374   0.07381   0.06995  -0.0171   0.0133   1.0000
  12.500   0.9968   0.08832   0.08477  -0.0259   0.0135   1.0000
  13.000   0.9530   0.10774   0.10441  -0.0389   0.0139   1.0000
  13.500   0.7488   0.13426   0.13147  -0.0505   0.0210   1.0000
  14.000   0.7326   0.14558   0.14280  -0.0559   0.0222   1.0000
