  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 2.5/9.0 smoothed by Eppler                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3077   0.03447   0.02938  -0.0676   0.9727   0.0941
  -4.500  -0.2461   0.02959   0.02425  -0.0714   0.9655   0.1131
  -3.500  -0.0777   0.00418  -0.00302  -0.0749   0.9460   0.0547
  -3.000  -0.0072   0.00302  -0.00423  -0.0781   0.9418   0.0621
  -2.500   0.0482   0.00235  -0.00482  -0.0789   0.9328   0.0846
  -2.000   0.1164   0.00138  -0.00381  -0.0826   0.9275   0.6514
  -1.500   0.1797   0.00133  -0.00376  -0.0823   0.9133   0.7465
  -1.000   0.2303   0.00129  -0.00372  -0.0796   0.8991   0.8089
  -0.500   0.2771   0.00127  -0.00373  -0.0769   0.8863   0.8479
   0.000   0.3268   0.00123  -0.00379  -0.0752   0.8735   0.8775
   0.500   0.3745   0.00117  -0.00383  -0.0729   0.8598   0.9130
   1.000   0.4354   0.00115  -0.00382  -0.0734   0.8456   0.9590
   1.500   0.5080   0.00126  -0.00377  -0.0772   0.8292   1.0000
   2.000   0.5667   0.00130  -0.00381  -0.0777   0.8098   1.0000
   2.500   0.6211   0.00134  -0.00378  -0.0772   0.7833   1.0000
   3.000   0.6748   0.00139  -0.00377  -0.0762   0.7498   1.0000
   3.500   0.7247   0.00145  -0.00381  -0.0742   0.6858   1.0000
   4.000   0.7701   0.00165  -0.00407  -0.0716   0.5599   1.0000
   4.500   0.8120   0.00214  -0.00415  -0.0691   0.4589   1.0000
   5.000   0.8572   0.00260  -0.00391  -0.0676   0.3975   1.0000
   5.500   0.9014   0.00309  -0.00357  -0.0659   0.3339   1.0000
   6.000   0.9423   0.00372  -0.00324  -0.0640   0.2380   1.0000
   6.500   0.9760   0.00518  -0.00240  -0.0612   0.1289   1.0000
   7.000   1.0106   0.00693  -0.00083  -0.0584   0.0861   1.0000
   7.500   1.0424   0.00931   0.00150  -0.0552   0.0635   1.0000
   8.000   1.0776   0.01252   0.00469  -0.0525   0.0533   1.0000
   8.500   1.1183   0.01487   0.00734  -0.0504   0.0470   1.0000
   9.000   1.1579   0.01917   0.01181  -0.0488   0.0412   1.0000
   9.500   1.1931   0.02282   0.01592  -0.0462   0.0370   1.0000
  10.000   1.2213   0.02842   0.02176  -0.0438   0.0326   1.0000
  10.500   1.2840   0.04276   0.03646  -0.0439   0.0306   1.0000
  11.000   1.2869   0.04770   0.04203  -0.0383   0.0283   1.0000
  11.500   1.2767   0.05267   0.04743  -0.0323   0.0269   1.0000
  12.000   1.2485   0.05974   0.05503  -0.0276   0.0266   1.0000
  12.500   1.1993   0.07005   0.06593  -0.0265   0.0269   1.0000
  13.000   1.1336   0.08553   0.08196  -0.0326   0.0280   1.0000
  13.500   1.0638   0.10809   0.10486  -0.0481   0.0299   1.0000
  14.000   1.0117   0.13197   0.12880  -0.0624   0.0322   1.0000
