  
       XFOIL         Version 6.96
  
 Calculated polar for: HORSTMANN AND QUAST HQ-300 GD(MOD 2) AIRFOIL    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0337   0.02048   0.01219  -0.1007   0.7665   0.0572
  -4.500   0.0194   0.01905   0.01063  -0.1001   0.7591   0.0616
  -4.000   0.0728   0.01793   0.00958  -0.1004   0.7502   0.0711
  -3.500   0.1309   0.01667   0.00835  -0.1020   0.7430   0.0945
  -3.000   0.1807   0.01455   0.00892  -0.1021   0.7348   0.7055
  -2.500   0.2216   0.01618   0.01036  -0.0962   0.7284   0.7636
  -2.000   0.2519   0.01781   0.01199  -0.0881   0.7196   0.7955
  -1.500   0.2878   0.01879   0.01280  -0.0814   0.7135   0.8250
  -1.000   0.3285   0.01917   0.01313  -0.0778   0.7050   0.8419
  -0.500   0.3810   0.01918   0.01295  -0.0772   0.6986   0.8557
   0.000   0.4264   0.01934   0.01306  -0.0755   0.6906   0.8690
   0.500   0.4739   0.01920   0.01281  -0.0737   0.6836   0.8816
   1.000   0.5210   0.01921   0.01278  -0.0725   0.6760   0.8924
   1.500   0.5748   0.01911   0.01261  -0.0729   0.6682   0.9012
   2.000   0.6265   0.01913   0.01260  -0.0729   0.6599   0.9090
   2.500   0.6822   0.01893   0.01235  -0.0736   0.6516   0.9153
   3.000   0.7340   0.01901   0.01245  -0.0738   0.6421   0.9218
   3.500   0.7959   0.01876   0.01213  -0.0755   0.6342   0.9267
   4.000   0.8442   0.01882   0.01229  -0.0751   0.6234   0.9327
   4.500   0.9057   0.01874   0.01220  -0.0769   0.6147   0.9374
   5.000   0.9592   0.01855   0.01207  -0.0771   0.6041   0.9424
   5.500   1.0125   0.01860   0.01222  -0.0776   0.5922   0.9475
   6.000   1.0691   0.01847   0.01217  -0.0785   0.5805   0.9521
   6.500   1.1261   0.01820   0.01195  -0.0792   0.5680   0.9568
   7.000   1.1814   0.01806   0.01189  -0.0798   0.5534   0.9621
   7.500   1.2300   0.01795   0.01194  -0.0793   0.5361   0.9673
   8.500   1.3272   0.01794   0.01216  -0.0785   0.4944   0.9805
   9.000   1.3689   0.01837   0.01274  -0.0774   0.4670   0.9897
   9.500   1.4042   0.01914   0.01358  -0.0756   0.4368   1.0000
  10.000   1.4350   0.02057   0.01499  -0.0737   0.4043   1.0000
  10.500   1.4597   0.02266   0.01704  -0.0718   0.3712   1.0000
  11.000   1.4752   0.02557   0.01996  -0.0697   0.3361   1.0000
  11.500   1.4848   0.02926   0.02361  -0.0678   0.3015   1.0000
  12.000   1.4933   0.03337   0.02776  -0.0664   0.2711   1.0000
  12.500   1.4998   0.03789   0.03232  -0.0653   0.2435   1.0000
  13.000   1.5029   0.04292   0.03739  -0.0643   0.2173   1.0000
  13.500   1.5022   0.04864   0.04312  -0.0637   0.1912   1.0000
  14.000   1.4998   0.05488   0.04943  -0.0635   0.1644   1.0000
  14.500   1.4918   0.06202   0.05659  -0.0635   0.1369   1.0000
  15.000   1.4770   0.07024   0.06478  -0.0639   0.1074   1.0000
  15.500   1.4534   0.07990   0.07436  -0.0646   0.0786   1.0000
  16.000   1.4272   0.09024   0.08467  -0.0659   0.0599   1.0000
  16.500   1.4072   0.10015   0.09465  -0.0678   0.0493   1.0000
  17.000   1.3917   0.10957   0.10416  -0.0700   0.0428   1.0000
  17.500   1.3816   0.11827   0.11291  -0.0725   0.0378   1.0000
  18.000   1.3816   0.12565   0.12049  -0.0750   0.0339   1.0000
