  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 3.0/11 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1960   0.02157   0.01463  -0.0854   0.9404   0.0363
  -4.500  -0.1285   0.01823   0.01093  -0.0876   0.9328   0.0437
  -4.000  -0.0623   0.01652   0.00916  -0.0898   0.9245   0.0719
  -3.500   0.0064   0.01530   0.00794  -0.0927   0.9170   0.1002
  -3.000   0.0634   0.01392   0.00683  -0.0933   0.9058   0.1672
  -2.500   0.1128   0.01233   0.00676  -0.0925   0.8945   0.6049
  -2.000   0.1707   0.01221   0.00665  -0.0918   0.8842   0.6804
  -1.500   0.2275   0.01201   0.00644  -0.0909   0.8733   0.7302
  -1.000   0.2744   0.01198   0.00653  -0.0877   0.8597   0.7886
  -0.500   0.3235   0.01195   0.00650  -0.0853   0.8463   0.8237
   0.000   0.3752   0.01182   0.00634  -0.0840   0.8329   0.8527
   0.500   0.4266   0.01140   0.00590  -0.0821   0.8173   0.8882
   1.000   0.4838   0.01090   0.00541  -0.0812   0.8009   0.9349
   1.500   0.5712   0.01064   0.00513  -0.0879   0.7841   1.0000
   2.000   0.6240   0.01064   0.00500  -0.0877   0.7644   1.0000
   2.500   0.6794   0.01059   0.00483  -0.0873   0.7428   1.0000
   3.000   0.7329   0.01062   0.00480  -0.0865   0.7179   1.0000
   3.500   0.7857   0.01070   0.00485  -0.0856   0.6901   1.0000
   4.000   0.8376   0.01084   0.00494  -0.0845   0.6573   1.0000
   4.500   0.8877   0.01105   0.00511  -0.0830   0.6160   1.0000
   5.000   0.9349   0.01142   0.00538  -0.0812   0.5617   1.0000
   5.500   0.9785   0.01209   0.00582  -0.0788   0.4924   1.0000
   6.000   1.0178   0.01314   0.00653  -0.0759   0.4181   1.0000
   6.500   1.0557   0.01435   0.00746  -0.0730   0.3513   1.0000
   7.000   1.0925   0.01563   0.00854  -0.0701   0.2967   1.0000
   7.500   1.1290   0.01692   0.00969  -0.0673   0.2515   1.0000
   8.000   1.1642   0.01815   0.01083  -0.0644   0.2087   1.0000
   8.500   1.1967   0.01948   0.01210  -0.0613   0.1699   1.0000
   9.000   1.2235   0.02095   0.01349  -0.0572   0.1349   1.0000
   9.500   1.2492   0.02260   0.01510  -0.0533   0.1009   1.0000
  10.000   1.2713   0.02460   0.01711  -0.0493   0.0776   1.0000
  10.500   1.2899   0.02696   0.01948  -0.0454   0.0570   1.0000
  11.000   1.3039   0.02991   0.02245  -0.0415   0.0326   1.0000
  11.500   1.3029   0.03427   0.02691  -0.0368   0.0203   1.0000
  12.000   1.2982   0.03928   0.03218  -0.0330   0.0170   1.0000
  12.500   1.2972   0.04438   0.03757  -0.0305   0.0155   1.0000
  13.000   1.2937   0.05018   0.04363  -0.0290   0.0144   1.0000
  13.500   1.2861   0.05694   0.05064  -0.0282   0.0137   1.0000
  14.000   1.2752   0.06488   0.05890  -0.0280   0.0130   1.0000
  14.500   1.2655   0.07332   0.06771  -0.0287   0.0128   1.0000
  15.000   1.2515   0.08290   0.07771  -0.0312   0.0127   1.0000
  15.500   1.2309   0.09431   0.08954  -0.0356   0.0127   1.0000
  16.000   1.2040   0.10781   0.10345  -0.0423   0.0127   1.0000
  16.500   1.1735   0.12320   0.11922  -0.0511   0.0128   1.0000
  17.000   1.1480   0.13882   0.13520  -0.0611   0.0130   1.0000
  17.500   1.1196   0.15700   0.15370  -0.0733   0.0133   1.0000
  18.000   1.0119   0.21013   0.20695  -0.1028   0.0178   1.0000
