  
       XFOIL         Version 6.96
  
 Calculated polar for: HSNLF(1)-0213 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3634   0.02032   0.01203  -0.0322   0.8508   0.0538
  -4.500  -0.3138   0.01906   0.01082  -0.0320   0.8471   0.0648
  -4.000  -0.2666   0.01793   0.00976  -0.0315   0.8428   0.0893
  -3.500  -0.2565   0.01527   0.01030  -0.0233   0.8383   0.6786
  -3.000  -0.2100   0.01695   0.01168  -0.0196   0.8349   0.7805
  -2.500  -0.1643   0.01830   0.01301  -0.0156   0.8301   0.8191
  -2.000  -0.1218   0.01985   0.01454  -0.0089   0.8258   0.8621
  -1.500  -0.0484   0.02081   0.01538  -0.0086   0.8227   0.8920
  -1.000   0.0097   0.02077   0.01519  -0.0094   0.8189   0.8984
  -0.500   0.0541   0.02095   0.01532  -0.0093   0.8112   0.9072
   0.000   0.1090   0.02087   0.01516  -0.0095   0.8059   0.9130
   0.500   0.1555   0.02109   0.01537  -0.0095   0.7970   0.9176
   1.000   0.1942   0.02092   0.01515  -0.0065   0.7900   0.9218
   1.500   0.2254   0.02104   0.01529  -0.0036   0.7779   0.9256
   2.000   0.2747   0.02103   0.01532  -0.0031   0.7676   0.9278
   2.500   0.3288   0.02049   0.01480  -0.0021   0.7593   0.9290
   3.000   0.3787   0.02004   0.01440  -0.0010   0.7454   0.9309
   3.500   0.4321   0.01903   0.01345   0.0005   0.7306   0.9318
   4.000   0.4883   0.01766   0.01212   0.0020   0.7147   0.9334
   4.500   0.5460   0.01611   0.01063   0.0032   0.6976   0.9343
   5.000   0.6008   0.01483   0.00951   0.0041   0.6711   0.9354
   5.500   0.6554   0.01368   0.00853   0.0048   0.6281   0.9373
   6.000   0.7026   0.01313   0.00728   0.0072   0.4719   0.9386
   6.500   0.7227   0.01564   0.00856   0.0106   0.2516   0.9411
   7.000   0.7459   0.01813   0.01027   0.0131   0.1284   0.9449
   7.500   0.7756   0.02019   0.01209   0.0149   0.0938   0.9485
   8.000   0.8109   0.02198   0.01390   0.0160   0.0783   0.9525
   8.500   0.8506   0.02402   0.01589   0.0169   0.0691   0.9569
   9.000   0.8980   0.02577   0.01783   0.0171   0.0631   0.9623
   9.500   0.9520   0.02812   0.02016   0.0165   0.0578   0.9668
  10.000   1.0115   0.03128   0.02367   0.0151   0.0548   0.9719
  10.500   1.0615   0.03425   0.02703   0.0141   0.0514   0.9865
  11.000   1.1043   0.03800   0.03116   0.0138   0.0494   1.0000
  11.500   1.1390   0.04282   0.03634   0.0139   0.0478   1.0000
  12.000   1.1488   0.05143   0.04553   0.0154   0.0465   1.0000
  12.500   1.1328   0.05673   0.05140   0.0190   0.0461   1.0000
  13.000   1.1066   0.06480   0.05996   0.0210   0.0463   1.0000
  13.500   0.9724   0.06326   0.05894   0.0325   0.0471   1.0000
  14.500   0.5456   0.14088   0.13770  -0.0007   0.0861   1.0000
  15.000   0.5664   0.14475   0.14162  -0.0008   0.0826   1.0000
  15.500   0.7793   0.17309   0.16972  -0.0321   0.0705   1.0000
  16.000   0.8032   0.18066   0.17732  -0.0310   0.0684   1.0000
  16.500   0.7840   0.19311   0.18969  -0.0455   0.0624   1.0000
  17.000   0.8032   0.19926   0.19587  -0.0480   0.0590   1.0000
  17.500   0.8347   0.20681   0.20348  -0.0454   0.0569   1.0000
  18.000   0.8222   0.21653   0.21311  -0.0593   0.0545   1.0000
