  
       XFOIL         Version 6.96
  
 Calculated polar for: I.S.A. 571                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2851   0.05017   0.04664  -0.0392   1.0000   0.0469
  -4.500  -0.2352   0.04129   0.03726  -0.0440   1.0000   0.0512
  -4.000  -0.1891   0.03608   0.03174  -0.0452   1.0000   0.0592
  -3.500  -0.0506   0.00725   0.00131  -0.0584   0.9811   0.0498
  -3.000   0.0289   0.00445  -0.00198  -0.0637   0.9714   0.0699
  -2.500   0.1077   0.00318  -0.00373  -0.0681   0.9599   0.0844
  -1.500   0.2617   0.00164  -0.00549  -0.0762   0.9325   0.0987
  -1.000   0.3350   0.00119  -0.00581  -0.0795   0.9150   0.1162
   0.000   0.4664   0.00055  -0.00447  -0.0822   0.8403   1.0000
   0.500   0.5270   0.00064  -0.00489  -0.0822   0.7536   1.0000
   1.000   0.5757   0.00083  -0.00531  -0.0802   0.6567   1.0000
   1.500   0.6217   0.00106  -0.00561  -0.0781   0.5707   1.0000
   2.000   0.6681   0.00131  -0.00579  -0.0764   0.5020   1.0000
   2.500   0.7165   0.00156  -0.00582  -0.0752   0.4595   1.0000
   3.000   0.7663   0.00183  -0.00571  -0.0744   0.4312   1.0000
   3.500   0.8163   0.00211  -0.00547  -0.0736   0.4070   1.0000
   4.000   0.8659   0.00245  -0.00520  -0.0728   0.3844   1.0000
   4.500   0.9150   0.00274  -0.00482  -0.0719   0.3595   1.0000
   5.000   0.9633   0.00309  -0.00439  -0.0708   0.3347   1.0000
   5.500   1.0105   0.00348  -0.00389  -0.0696   0.3074   1.0000
   6.000   1.0549   0.00371  -0.00358  -0.0679   0.2618   1.0000
   6.500   1.0981   0.00416  -0.00313  -0.0663   0.2097   1.0000
   7.000   1.1350   0.00532  -0.00229  -0.0638   0.1287   1.0000
   7.500   1.1563   0.00839   0.00011  -0.0589   0.0308   1.0000
   8.000   1.1763   0.01129   0.00337  -0.0536   0.0244   1.0000
   8.500   1.1911   0.01420   0.00666  -0.0477   0.0229   1.0000
   9.000   1.1955   0.01766   0.01037  -0.0405   0.0219   1.0000
   9.500   1.2012   0.02172   0.01468  -0.0344   0.0202   1.0000
  10.000   1.2092   0.02674   0.01998  -0.0293   0.0193   1.0000
  10.500   1.2184   0.03283   0.02644  -0.0247   0.0192   1.0000
  11.000   1.2125   0.03989   0.03401  -0.0200   0.0197   1.0000
  11.500   1.1900   0.04820   0.04283  -0.0161   0.0203   1.0000
  12.000   1.1553   0.05800   0.05311  -0.0144   0.0209   1.0000
  12.500   1.1133   0.06920   0.06473  -0.0153   0.0213   1.0000
  13.000   1.0668   0.08116   0.07706  -0.0185   0.0216   1.0000
  13.500   1.0162   0.09336   0.08959  -0.0234   0.0218   1.0000
  14.000   0.9606   0.10495   0.10148  -0.0292   0.0219   1.0000
  14.500   0.9110   0.11822   0.11500  -0.0371   0.0222   1.0000
  15.000   0.8592   0.13388   0.13088  -0.0466   0.0227   1.0000
  15.500   0.8079   0.15171   0.14878  -0.0561   0.0239   1.0000
  16.000   0.7684   0.17171   0.16869  -0.0636   0.0319   1.0000
