  
       XFOIL         Version 6.96
  
 Calculated polar for: J5012   12%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6981   0.01424   0.00686   0.0262   1.0000   0.2256
  -4.500  -0.6713   0.01327   0.00635   0.0310   1.0000   0.3221
  -4.000  -0.6436   0.01254   0.00607   0.0357   1.0000   0.4230
  -3.500  -0.5743   0.01214   0.00614   0.0323   0.9886   0.5419
  -3.000  -0.5051   0.01193   0.00627   0.0295   0.9761   0.6410
  -2.500  -0.4349   0.01184   0.00641   0.0268   0.9634   0.7201
  -2.000  -0.3608   0.01182   0.00654   0.0237   0.9513   0.7830
  -1.500  -0.2786   0.01185   0.00665   0.0193   0.9410   0.8326
  -1.000  -0.1974   0.01195   0.00679   0.0151   0.9284   0.8681
  -0.500  -0.1077   0.01206   0.00688   0.0094   0.9172   0.8948
   0.500   0.1077   0.01206   0.00688  -0.0094   0.8948   0.9172
   1.000   0.1974   0.01195   0.00678  -0.0151   0.8679   0.9284
   1.500   0.2786   0.01184   0.00664  -0.0192   0.8325   0.9410
   2.000   0.3608   0.01182   0.00654  -0.0237   0.7831   0.9514
   2.500   0.4347   0.01183   0.00640  -0.0268   0.7200   0.9634
   3.000   0.5052   0.01193   0.00627  -0.0295   0.6413   0.9761
   3.500   0.5743   0.01215   0.00613  -0.0323   0.5415   0.9887
   4.000   0.6436   0.01254   0.00607  -0.0357   0.4234   1.0000
   4.500   0.6714   0.01326   0.00635  -0.0310   0.3226   1.0000
   5.000   0.6981   0.01424   0.00686  -0.0262   0.2256   1.0000
   5.500   0.7241   0.01541   0.00762  -0.0213   0.1538   1.0000
   6.000   0.7508   0.01655   0.00856  -0.0163   0.1135   1.0000
   6.500   0.7769   0.01774   0.00968  -0.0111   0.0901   1.0000
   7.000   0.8024   0.01901   0.01092  -0.0058   0.0746   1.0000
   7.500   0.8275   0.02060   0.01255  -0.0003   0.0643   1.0000
   8.000   0.8547   0.02250   0.01447   0.0046   0.0567   1.0000
   8.500   0.8845   0.02423   0.01623   0.0090   0.0510   1.0000
   9.000   0.9176   0.02712   0.01937   0.0127   0.0475   1.0000
   9.500   0.9467   0.02946   0.02200   0.0170   0.0442   1.0000
  10.000   0.9750   0.03225   0.02489   0.0207   0.0414   1.0000
  10.500   0.9906   0.03718   0.03033   0.0259   0.0402   1.0000
  11.000   0.9896   0.04128   0.03504   0.0332   0.0394   1.0000
  11.500   0.9711   0.04587   0.04015   0.0419   0.0390   1.0000
  12.000   0.9360   0.05108   0.04584   0.0499   0.0386   1.0000
  12.500   0.8934   0.05826   0.05345   0.0532   0.0387   1.0000
  13.000   0.8437   0.06835   0.06390   0.0509   0.0392   1.0000
  13.500   0.7923   0.08241   0.07819   0.0437   0.0402   1.0000
  14.000   0.4744   0.13642   0.13269   0.0134   0.0736   1.0000
  15.000   0.4592   0.14806   0.14435   0.0065   0.0679   1.0000
  15.500   0.4658   0.15274   0.14907   0.0042   0.0624   1.0000
  16.000   0.5029   0.15983   0.15619   0.0063   0.0596   1.0000
  16.500   0.4737   0.16440   0.16075  -0.0020   0.0578   1.0000
  17.000   0.4777   0.16969   0.16606  -0.0056   0.0532   1.0000
  17.500   0.5023   0.17491   0.17133  -0.0057   0.0501   1.0000
  18.000   0.6645   0.20449   0.20033  -0.0203   0.0441   1.0000
