  
       XFOIL         Version 6.96
  
 Calculated polar for: 12% JOUKOWSKI AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5644   0.01238   0.00542  -0.0044   1.0000   0.2823
  -4.500  -0.5131   0.01174   0.00497  -0.0037   1.0000   0.3263
  -4.000  -0.4649   0.01124   0.00464  -0.0025   1.0000   0.3700
  -3.500  -0.4169   0.01087   0.00447  -0.0017   0.9955   0.4126
  -3.000  -0.3262   0.01058   0.00434  -0.0086   0.9650   0.4665
  -2.500  -0.2528   0.01037   0.00428  -0.0113   0.9241   0.5127
  -2.000  -0.2022   0.01029   0.00420  -0.0089   0.8771   0.5536
  -1.500  -0.1538   0.01020   0.00415  -0.0062   0.8325   0.5924
  -1.000  -0.1039   0.01015   0.00408  -0.0037   0.7918   0.6318
  -0.500  -0.0519   0.01012   0.00404  -0.0019   0.7505   0.6721
   0.000   0.0000   0.01010   0.00403   0.0000   0.7108   0.7108
   0.500   0.0519   0.01012   0.00404   0.0019   0.6721   0.7504
   1.000   0.1039   0.01015   0.00408   0.0037   0.6318   0.7918
   1.500   0.1538   0.01020   0.00415   0.0062   0.5924   0.8325
   2.000   0.2022   0.01029   0.00420   0.0089   0.5536   0.8771
   2.500   0.2528   0.01037   0.00428   0.0113   0.5127   0.9241
   3.000   0.3262   0.01058   0.00434   0.0086   0.4665   0.9649
   3.500   0.4169   0.01087   0.00447   0.0017   0.4127   0.9953
   4.000   0.4652   0.01124   0.00464   0.0024   0.3699   1.0000
   4.500   0.5133   0.01174   0.00498   0.0036   0.3263   1.0000
   5.000   0.5645   0.01238   0.00542   0.0044   0.2823   1.0000
   5.500   0.6160   0.01315   0.00600   0.0050   0.2392   1.0000
   6.000   0.6678   0.01401   0.00673   0.0055   0.1984   1.0000
   6.500   0.7184   0.01509   0.00764   0.0061   0.1636   1.0000
   7.000   0.7683   0.01629   0.00875   0.0068   0.1353   1.0000
   7.500   0.8170   0.01770   0.01011   0.0076   0.1137   1.0000
   8.000   0.8650   0.01918   0.01158   0.0085   0.0973   1.0000
   8.500   0.9114   0.02087   0.01330   0.0096   0.0849   1.0000
   9.000   0.9564   0.02281   0.01530   0.0107   0.0754   1.0000
   9.500   0.9998   0.02503   0.01757   0.0119   0.0679   1.0000
  10.000   1.0425   0.02710   0.01970   0.0131   0.0618   1.0000
  10.500   1.0805   0.02995   0.02287   0.0145   0.0569   1.0000
  11.000   1.1182   0.03259   0.02555   0.0158   0.0528   1.0000
  11.500   1.1432   0.03653   0.02998   0.0178   0.0498   1.0000
  12.000   1.1627   0.03985   0.03363   0.0200   0.0470   1.0000
  12.500   1.1822   0.04412   0.03796   0.0216   0.0448   1.0000
  13.000   1.1578   0.04993   0.04430   0.0241   0.0441   1.0000
  13.500   1.1225   0.05832   0.05320   0.0216   0.0437   1.0000
  14.000   1.0745   0.07073   0.06608   0.0140   0.0437   1.0000
  14.500   1.0079   0.08922   0.08501   0.0007   0.0442   1.0000
  15.000   0.7602   0.17361   0.16980  -0.0475   0.0705   1.0000
  15.500   0.7440   0.18539   0.18153  -0.0581   0.0657   1.0000
  16.000   0.7634   0.19169   0.18784  -0.0605   0.0621   1.0000
  16.500   0.8005   0.19938   0.19558  -0.0587   0.0604   1.0000
  17.000   0.7848   0.20818   0.20431  -0.0707   0.0559   1.0000
  17.500   0.8084   0.21385   0.21000  -0.0723   0.0529   1.0000
  18.000   0.8294   0.22258   0.21874  -0.0748   0.0518   1.0000
