  
       XFOIL         Version 6.96
  
 Calculated polar for: K3311 (smoothed)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1995   0.02525   0.01874  -0.0803   0.9430   0.0423
  -4.500  -0.1319   0.02089   0.01394  -0.0831   0.9305   0.0462
  -4.000  -0.0622   0.01786   0.01044  -0.0850   0.9172   0.0501
  -3.500   0.0025   0.01548   0.00793  -0.0862   0.9016   0.0586
  -3.000   0.0621   0.01383   0.00623  -0.0864   0.8840   0.0731
  -2.500   0.1121   0.01251   0.00498  -0.0849   0.8612   0.1168
  -2.000   0.1506   0.01040   0.00466  -0.0815   0.8404   0.6027
  -1.500   0.1964   0.01003   0.00454  -0.0784   0.8180   0.7298
  -1.000   0.2537   0.00959   0.00441  -0.0768   0.7982   0.8901
  -0.500   0.3697   0.00952   0.00408  -0.0887   0.7787   0.9802
   0.000   0.4358   0.00959   0.00384  -0.0914   0.7561   1.0000
   0.500   0.4824   0.00978   0.00376  -0.0897   0.7353   1.0000
   1.000   0.5298   0.01002   0.00381  -0.0879   0.7137   1.0000
   1.500   0.5792   0.01028   0.00387  -0.0865   0.6939   1.0000
   2.000   0.6279   0.01056   0.00404  -0.0850   0.6732   1.0000
   2.500   0.6775   0.01086   0.00424  -0.0836   0.6530   1.0000
   3.000   0.7281   0.01118   0.00444  -0.0824   0.6337   1.0000
   3.500   0.7769   0.01150   0.00476  -0.0809   0.6122   1.0000
   4.000   0.8270   0.01183   0.00503  -0.0796   0.5916   1.0000
   4.500   0.8759   0.01219   0.00542  -0.0782   0.5695   1.0000
   5.000   0.9252   0.01255   0.00576  -0.0768   0.5471   1.0000
   5.500   0.9725   0.01292   0.00622  -0.0750   0.5217   1.0000
   6.000   1.0192   0.01333   0.00668  -0.0732   0.4948   1.0000
   6.500   1.0645   0.01378   0.00720  -0.0711   0.4655   1.0000
   7.000   1.1064   0.01427   0.00769  -0.0684   0.4289   1.0000
   7.500   1.1434   0.01486   0.00829  -0.0650   0.3789   1.0000
   8.000   1.1773   0.01577   0.00911  -0.0613   0.3257   1.0000
   8.500   1.2050   0.01705   0.01023  -0.0568   0.2622   1.0000
   9.000   1.2220   0.01892   0.01177  -0.0510   0.1860   1.0000
   9.500   1.2160   0.02192   0.01415  -0.0422   0.0948   1.0000
  10.000   1.2062   0.02558   0.01754  -0.0340   0.0570   1.0000
  10.500   1.2054   0.02912   0.02119  -0.0283   0.0453   1.0000
  11.000   1.2078   0.03291   0.02513  -0.0241   0.0393   1.0000
  11.500   1.2104   0.03730   0.02966  -0.0204   0.0355   1.0000
  12.000   1.2221   0.04110   0.03363  -0.0180   0.0316   1.0000
  12.500   1.2419   0.04558   0.03815  -0.0151   0.0286   1.0000
  13.000   1.2598   0.04977   0.04275  -0.0129   0.0271   1.0000
  13.500   1.2687   0.05468   0.04802  -0.0113   0.0251   1.0000
  14.000   1.2724   0.06021   0.05384  -0.0104   0.0236   1.0000
  14.500   1.2712   0.06701   0.06097  -0.0098   0.0227   1.0000
  15.000   1.2573   0.07558   0.06996  -0.0103   0.0224   1.0000
  15.500   1.2314   0.08564   0.08047  -0.0127   0.0223   1.0000
  16.000   1.1958   0.09781   0.09314  -0.0178   0.0227   1.0000
  16.500   1.1493   0.11372   0.10956  -0.0265   0.0232   1.0000
  17.000   1.0584   0.14356   0.14002  -0.0463   0.0252   1.0000
  17.500   0.9779   0.18207   0.17862  -0.0682   0.0300   1.0000
