  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED L-188 ROOT AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2969   0.01858   0.01050  -0.0673   0.9282   0.1101
  -4.500  -0.2404   0.01756   0.00962  -0.0679   0.9183   0.1358
  -4.000  -0.1801   0.01627   0.00865  -0.0693   0.9101   0.1904
  -3.500  -0.1408   0.01447   0.00801  -0.0673   0.8976   0.4143
  -3.000  -0.0853   0.01382   0.00809  -0.0664   0.8908   0.6376
  -2.500  -0.0376   0.01400   0.00833  -0.0640   0.8777   0.6947
  -2.000   0.0162   0.01413   0.00846  -0.0627   0.8682   0.7343
  -1.500   0.0711   0.01412   0.00842  -0.0615   0.8586   0.7661
  -1.000   0.1207   0.01425   0.00855  -0.0597   0.8472   0.7949
  -0.500   0.1731   0.01413   0.00849  -0.0573   0.8396   0.8332
   0.000   0.2183   0.01424   0.00868  -0.0544   0.8273   0.8592
   0.500   0.2754   0.01403   0.00845  -0.0542   0.8192   0.8765
   1.000   0.3281   0.01401   0.00846  -0.0533   0.8083   0.8954
   1.500   0.3824   0.01407   0.00856  -0.0529   0.7976   0.9164
   2.000   0.4504   0.01369   0.00817  -0.0544   0.7888   0.9360
   2.500   0.5201   0.01293   0.00737  -0.0559   0.7646   0.9552
   3.000   0.6008   0.01256   0.00700  -0.0603   0.7449   0.9708
   3.500   0.6863   0.01225   0.00668  -0.0661   0.7233   0.9842
   4.000   0.7718   0.01204   0.00649  -0.0723   0.6951   0.9988
   4.500   0.8063   0.01188   0.00629  -0.0686   0.6664   1.0000
   5.000   0.8414   0.01191   0.00626  -0.0645   0.6282   1.0000
   5.500   0.8786   0.01213   0.00631  -0.0606   0.5700   1.0000
   6.000   0.9019   0.01309   0.00664  -0.0542   0.4327   1.0000
   6.500   0.9064   0.01538   0.00793  -0.0455   0.2804   1.0000
   7.000   0.9237   0.01727   0.00931  -0.0395   0.2064   1.0000
   7.500   0.9459   0.01889   0.01068  -0.0344   0.1668   1.0000
   8.000   0.9709   0.02065   0.01224  -0.0301   0.1413   1.0000
   8.500   1.0013   0.02227   0.01382  -0.0268   0.1225   1.0000
   9.000   1.0321   0.02402   0.01555  -0.0237   0.1085   1.0000
   9.500   1.0642   0.02588   0.01738  -0.0210   0.0974   1.0000
  10.000   1.0984   0.02787   0.01931  -0.0186   0.0883   1.0000
  10.500   1.1320   0.02965   0.02118  -0.0163   0.0808   1.0000
  11.000   1.1685   0.03183   0.02347  -0.0143   0.0744   1.0000
  11.500   1.2104   0.03422   0.02576  -0.0132   0.0686   1.0000
  12.000   1.2368   0.03651   0.02841  -0.0104   0.0643   1.0000
  12.500   1.2800   0.03931   0.03113  -0.0096   0.0600   1.0000
  13.000   1.2951   0.04240   0.03471  -0.0060   0.0573   1.0000
  13.500   1.3133   0.04547   0.03801  -0.0033   0.0544   1.0000
  14.000   1.3381   0.04951   0.04217  -0.0014   0.0519   1.0000
  14.500   1.3266   0.05480   0.04806   0.0026   0.0505   1.0000
  15.000   1.3117   0.06091   0.05465   0.0054   0.0491   1.0000
  15.500   1.3001   0.06699   0.06105   0.0069   0.0477   1.0000
  16.000   1.2918   0.07310   0.06738   0.0075   0.0465   1.0000
  16.500   1.2731   0.08148   0.07601   0.0072   0.0456   1.0000
  17.000   1.2190   0.09450   0.08952   0.0035   0.0455   1.0000
  17.500   0.8540   0.20269   0.19873  -0.0619   0.0709   1.0000
  18.000   0.8867   0.20676   0.20287  -0.0597   0.0690   1.0000
