  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY LS(1)-0421MOD AIRFOIL              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1315   0.01537   0.00968  -0.0744   0.7762   0.6038
  -4.500  -0.0756   0.01618   0.01042  -0.0728   0.7597   0.6266
  -4.000  -0.0192   0.01704   0.01114  -0.0713   0.7450   0.6461
  -3.500   0.0301   0.01810   0.01219  -0.0675   0.7290   0.6557
  -3.000   0.0854   0.01875   0.01274  -0.0662   0.7132   0.6702
  -2.500   0.1371   0.01958   0.01347  -0.0634   0.6992   0.6798
  -2.000   0.1902   0.02015   0.01393  -0.0614   0.6838   0.6926
  -1.500   0.2414   0.02080   0.01454  -0.0591   0.6685   0.7032
  -1.000   0.2974   0.02084   0.01446  -0.0588   0.6539   0.7136
  -0.500   0.3499   0.02104   0.01454  -0.0571   0.6389   0.7205
   0.000   0.4139   0.02065   0.01406  -0.0601   0.6219   0.7328
   0.500   0.4600   0.02097   0.01436  -0.0568   0.6066   0.7385
   1.000   0.5204   0.02092   0.01416  -0.0581   0.5915   0.7485
   1.500   0.5790   0.02071   0.01387  -0.0591   0.5753   0.7557
   2.000   0.6293   0.02075   0.01391  -0.0577   0.5583   0.7608
   2.500   0.6886   0.02065   0.01372  -0.0591   0.5392   0.7683
   3.000   0.7529   0.02051   0.01349  -0.0619   0.5207   0.7753
   3.500   0.8011   0.02057   0.01352  -0.0601   0.5037   0.7797
   4.000   0.8559   0.02064   0.01353  -0.0603   0.4856   0.7856
   4.500   0.9218   0.02072   0.01353  -0.0637   0.4658   0.7928
   5.000   0.9692   0.02082   0.01361  -0.0622   0.4468   0.7974
   5.500   1.0158   0.02105   0.01384  -0.0608   0.4267   0.8027
   6.000   1.0684   0.02135   0.01414  -0.0613   0.4044   0.8087
   6.500   1.1180   0.02177   0.01454  -0.0614   0.3807   0.8150
   7.000   1.1528   0.02230   0.01505  -0.0581   0.3574   0.8200
   7.500   1.1884   0.02311   0.01575  -0.0558   0.3328   0.8261
   8.000   1.2186   0.02411   0.01678  -0.0534   0.3066   0.8326
   8.500   1.2363   0.02553   0.01815  -0.0485   0.2828   0.8385
   9.000   1.2592   0.02757   0.02006  -0.0459   0.2606   0.8458
   9.500   1.2845   0.02979   0.02227  -0.0443   0.2406   0.8517
  10.000   1.3030   0.03215   0.02462  -0.0416   0.2246   0.8576
  10.500   1.3269   0.03483   0.02724  -0.0405   0.2105   0.8643
  11.000   1.3466   0.03751   0.03000  -0.0388   0.1988   0.8706
  11.500   1.3670   0.04032   0.03289  -0.0373   0.1888   0.8780
  12.000   1.3914   0.04316   0.03568  -0.0366   0.1799   0.8843
  12.500   1.4073   0.04632   0.03898  -0.0352   0.1720   0.8910
  13.000   1.4323   0.04934   0.04202  -0.0348   0.1649   0.8980
  13.500   1.4463   0.05259   0.04542  -0.0334   0.1587   0.9059
  14.000   1.4717   0.05545   0.04826  -0.0327   0.1529   0.9137
  14.500   1.4810   0.05960   0.05265  -0.0321   0.1475   0.9217
  15.000   1.5090   0.06188   0.05484  -0.0312   0.1424   0.9309
  15.500   1.5120   0.06700   0.06028  -0.0311   0.1384   0.9411
  16.000   1.5214   0.07128   0.06473  -0.0309   0.1343   0.9528
  16.500   1.5533   0.07251   0.06583  -0.0292   0.1303   0.9719
  17.000   1.5371   0.08052   0.07432  -0.0316   0.1272   1.0000
  17.500   1.5408   0.08726   0.08130  -0.0344   0.1238   1.0000
  18.000   1.5709   0.09058   0.08459  -0.0359   0.1207   1.0000
