  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA M5 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4105   0.03343   0.02807  -0.0094   1.0000   0.1155
  -4.000  -0.3625   0.02966   0.02418  -0.0098   1.0000   0.1335
  -3.500  -0.2916   0.01951   0.01199  -0.0093   0.9852   0.0717
  -3.000  -0.2171   0.01698   0.00913  -0.0130   0.9495   0.0735
  -2.500  -0.1668   0.01549   0.00740  -0.0108   0.9071   0.0751
  -2.000  -0.1205   0.01442   0.00617  -0.0079   0.8706   0.0797
  -1.500  -0.0727   0.01342   0.00506  -0.0055   0.8395   0.0868
  -1.000  -0.0231   0.01270   0.00434  -0.0038   0.8113   0.1049
  -0.500   0.0148   0.00993   0.00358  -0.0006   0.7865   0.6215
   1.000   0.2502   0.01019   0.00390  -0.0125   0.7132   1.0000
   1.500   0.3022   0.01031   0.00388  -0.0117   0.6902   1.0000
   2.000   0.3542   0.01045   0.00392  -0.0109   0.6678   1.0000
   2.500   0.4060   0.01062   0.00402  -0.0100   0.6453   1.0000
   3.000   0.4578   0.01082   0.00420  -0.0092   0.6222   1.0000
   3.500   0.5092   0.01104   0.00438  -0.0082   0.5990   1.0000
   4.000   0.5604   0.01122   0.00457  -0.0071   0.5696   1.0000
   4.500   0.6113   0.01133   0.00473  -0.0059   0.5309   1.0000
   5.000   0.6623   0.01153   0.00496  -0.0049   0.4904   1.0000
   5.500   0.7128   0.01183   0.00527  -0.0038   0.4387   1.0000
   6.000   0.7617   0.01248   0.00571  -0.0028   0.3406   1.0000
   6.500   0.7991   0.01611   0.00784  -0.0019   0.0754   1.0000
   7.000   0.8387   0.01898   0.01068  -0.0001   0.0463   1.0000
   7.500   0.8782   0.02161   0.01340   0.0021   0.0368   1.0000
   8.000   0.9171   0.02534   0.01725   0.0045   0.0325   1.0000
   8.500   0.9602   0.02828   0.02049   0.0064   0.0284   1.0000
   9.000   1.0001   0.03261   0.02519   0.0083   0.0266   1.0000
   9.500   1.0322   0.03891   0.03220   0.0110   0.0268   1.0000
  10.000   1.0513   0.04550   0.03943   0.0138   0.0263   1.0000
  10.500   1.0228   0.05703   0.05221   0.0188   0.0306   1.0000
  11.000   0.9050   0.05320   0.04887   0.0281   0.0308   1.0000
  11.500   0.8568   0.06376   0.05974   0.0266   0.0318   1.0000
