  
       XFOIL         Version 6.96
  
 Calculated polar for: MARSKE PIONEER IID TIP AIRFOIL (NACA 431012A*.83
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4574   0.03580   0.03080   0.0094   1.0000   0.0711
  -4.500  -0.4330   0.03243   0.02706   0.0148   1.0000   0.0834
  -4.000  -0.3579   0.02829   0.02260   0.0097   0.9674   0.1144
  -3.500  -0.2778   0.02383   0.01803   0.0043   0.9018   0.1551
  -3.000  -0.1766   0.01664   0.00893   0.0053   0.8234   0.0525
  -2.500  -0.1253   0.01504   0.00699   0.0078   0.7484   0.0589
  -2.000  -0.0798   0.01419   0.00585   0.0111   0.6730   0.0675
  -1.500  -0.0410   0.01353   0.00467   0.0155   0.5183   0.0813
  -1.000  -0.0071   0.01283   0.00384   0.0199   0.3808   0.2213
  -0.500   0.2628   0.01368   0.00594  -0.0166   0.3004   1.0000
   0.000   0.3076   0.01391   0.00591  -0.0148   0.2849   1.0000
   0.500   0.3527   0.01425   0.00601  -0.0129   0.2734   1.0000
   1.000   0.3983   0.01452   0.00614  -0.0111   0.2637   1.0000
   1.500   0.4439   0.01501   0.00649  -0.0093   0.2561   1.0000
   2.000   0.4897   0.01533   0.00677  -0.0075   0.2485   1.0000
   2.500   0.5355   0.01603   0.00729  -0.0058   0.2423   1.0000
   3.000   0.5814   0.01648   0.00783  -0.0040   0.2375   1.0000
   3.500   0.6270   0.01704   0.00843  -0.0021   0.2326   1.0000
   4.000   0.6722   0.01771   0.00907  -0.0003   0.2282   1.0000
   4.500   0.7160   0.01856   0.00999   0.0017   0.2229   1.0000
   5.000   0.7589   0.01915   0.01071   0.0040   0.2170   1.0000
   5.500   0.8019   0.01988   0.01143   0.0061   0.2124   1.0000
   6.000   0.8431   0.02103   0.01271   0.0085   0.2076   1.0000
   6.500   0.8831   0.02194   0.01386   0.0111   0.2024   1.0000
   7.000   0.9238   0.02281   0.01479   0.0136   0.1978   1.0000
   7.500   0.9629   0.02434   0.01642   0.0161   0.1934   1.0000
   8.000   0.9980   0.02566   0.01814   0.0192   0.1878   1.0000
   8.500   1.0371   0.02666   0.01924   0.0218   0.1828   1.0000
   9.000   1.0735   0.02840   0.02113   0.0244   0.1778   1.0000
   9.500   1.1050   0.02975   0.02284   0.0277   0.1709   1.0000
  10.000   1.1478   0.03021   0.02327   0.0296   0.1658   1.0000
  10.500   1.1714   0.03271   0.02621   0.0332   0.1601   1.0000
  11.000   1.1975   0.03476   0.02858   0.0364   0.1551   1.0000
  11.500   1.2392   0.03537   0.02917   0.0382   0.1511   1.0000
  12.000   1.2452   0.03877   0.03306   0.0425   0.1463   1.0000
  12.500   1.2511   0.04139   0.03604   0.0467   0.1416   1.0000
  13.000   1.3047   0.04036   0.03489   0.0478   0.1373   1.0000
  13.500   1.2742   0.04498   0.03990   0.0537   0.1345   1.0000
