  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 113  14.62%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2748   0.02487   0.01848  -0.1862   0.8309   0.0446
  -4.500   0.3232   0.02210   0.01510  -0.1855   0.8187   0.0449
  -4.000   0.3959   0.01963   0.01215  -0.1884   0.8127   0.0481
  -3.500   0.4443   0.01863   0.01112  -0.1871   0.8002   0.0551
  -3.000   0.5030   0.01740   0.00995  -0.1876   0.7901   0.0696
  -2.500   0.5689   0.01611   0.00886  -0.1897   0.7809   0.1407
  -2.000   0.6234   0.01566   0.00870  -0.1898   0.7688   0.2427
  -1.500   0.6875   0.01512   0.00838  -0.1913   0.7593   0.3590
  -1.000   0.7439   0.01484   0.00831  -0.1912   0.7473   0.4661
  -0.500   0.7965   0.01475   0.00840  -0.1903   0.7346   0.5642
   0.000   0.8525   0.01459   0.00835  -0.1897   0.7230   0.6564
   0.500   0.9069   0.01435   0.00820  -0.1886   0.7113   0.7471
   1.000   0.9433   0.01419   0.00824  -0.1838   0.6972   0.8521
   1.500   0.9928   0.01404   0.00804  -0.1822   0.6832   1.0000
   2.000   1.0509   0.01424   0.00801  -0.1827   0.6690   1.0000
   2.500   1.1073   0.01444   0.00803  -0.1829   0.6545   1.0000
   3.000   1.1624   0.01467   0.00810  -0.1827   0.6394   1.0000
   3.500   1.2154   0.01495   0.00823  -0.1822   0.6235   1.0000
   4.000   1.2661   0.01529   0.00846  -0.1812   0.6068   1.0000
   4.500   1.3145   0.01569   0.00877  -0.1799   0.5895   1.0000
   5.000   1.3609   0.01614   0.00915  -0.1783   0.5717   1.0000
   5.500   1.4052   0.01666   0.00961  -0.1763   0.5534   1.0000
   6.000   1.4473   0.01723   0.01013  -0.1739   0.5350   1.0000
   6.500   1.4870   0.01786   0.01072  -0.1712   0.5164   1.0000
   7.000   1.5231   0.01856   0.01137  -0.1678   0.4981   1.0000
   7.500   1.5561   0.01934   0.01213  -0.1640   0.4800   1.0000
   8.000   1.5875   0.02023   0.01300  -0.1601   0.4621   1.0000
   8.500   1.6171   0.02124   0.01399  -0.1561   0.4444   1.0000
   9.000   1.6446   0.02238   0.01512  -0.1519   0.4269   1.0000
   9.500   1.6700   0.02367   0.01642  -0.1477   0.4097   1.0000
  10.000   1.6932   0.02513   0.01791  -0.1434   0.3928   1.0000
  10.500   1.7139   0.02680   0.01962  -0.1390   0.3761   1.0000
  11.000   1.7323   0.02868   0.02156  -0.1347   0.3596   1.0000
  11.500   1.7483   0.03083   0.02377  -0.1304   0.3432   1.0000
  12.000   1.7619   0.03326   0.02629  -0.1262   0.3271   1.0000
  12.500   1.7732   0.03601   0.02913  -0.1222   0.3111   1.0000
  13.000   1.7821   0.03911   0.03233  -0.1184   0.2951   1.0000
  13.500   1.7890   0.04261   0.03593  -0.1149   0.2794   1.0000
  14.000   1.7942   0.04651   0.03994  -0.1118   0.2638   1.0000
  14.500   1.7971   0.05089   0.04443  -0.1090   0.2485   1.0000
  15.000   1.7984   0.05573   0.04940  -0.1066   0.2334   1.0000
  15.500   1.7974   0.06110   0.05489  -0.1047   0.2188   1.0000
  16.000   1.7951   0.06694   0.06087  -0.1033   0.2046   1.0000
  16.500   1.7910   0.07327   0.06735  -0.1024   0.1910   1.0000
  17.000   1.7860   0.07999   0.07422  -0.1020   0.1781   1.0000
  17.500   1.7801   0.08707   0.08143  -0.1020   0.1658   1.0000
  18.000   1.7741   0.09431   0.08878  -0.1025   0.1542   1.0000
