  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 49                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6438   0.01716   0.00902   0.0353   0.7466   0.0605
  -4.500  -0.5978   0.01483   0.00752   0.0365   0.7387   0.2094
  -4.000  -0.5472   0.01415   0.00699   0.0374   0.7321   0.2903
  -3.500  -0.4952   0.01347   0.00661   0.0379   0.7240   0.3858
  -3.000  -0.4462   0.01289   0.00630   0.0394   0.7174   0.4834
  -2.500  -0.3956   0.01228   0.00608   0.0406   0.7091   0.5887
  -2.000  -0.3475   0.01175   0.00596   0.0429   0.7022   0.7088
  -1.500  -0.2872   0.01142   0.00603   0.0432   0.6936   0.8438
  -1.000  -0.1908   0.01175   0.00632   0.0361   0.6850   0.9262
  -0.500  -0.0977   0.01217   0.00651   0.0295   0.6764   0.9636
   0.000  -0.0009   0.01243   0.00663   0.0213   0.6653   0.9911
   0.500   0.0688   0.01239   0.00647   0.0179   0.6543   1.0000
   1.000   0.1160   0.01236   0.00635   0.0193   0.6437   1.0000
   1.500   0.1629   0.01231   0.00618   0.0211   0.6331   1.0000
   2.000   0.2125   0.01228   0.00612   0.0224   0.6199   1.0000
   2.500   0.2623   0.01221   0.00603   0.0238   0.6059   1.0000
   3.000   0.3122   0.01207   0.00588   0.0254   0.5910   1.0000
   3.500   0.3638   0.01190   0.00578   0.0266   0.5726   1.0000
   4.000   0.4152   0.01161   0.00556   0.0280   0.5525   1.0000
   4.500   0.4673   0.01129   0.00532   0.0294   0.5278   1.0000
   5.000   0.5198   0.01099   0.00509   0.0307   0.4938   1.0000
   5.500   0.5730   0.01098   0.00504   0.0315   0.4378   1.0000
   6.000   0.6267   0.01161   0.00546   0.0316   0.3568   1.0000
   6.500   0.6802   0.01296   0.00648   0.0308   0.2584   1.0000
   7.000   0.7319   0.01478   0.00793   0.0296   0.1714   1.0000
   7.500   0.7809   0.01680   0.00970   0.0288   0.1119   1.0000
   8.000   0.8250   0.01930   0.01208   0.0286   0.0758   1.0000
   8.500   0.8662   0.02169   0.01454   0.0291   0.0536   1.0000
   9.000   0.8996   0.02485   0.01770   0.0304   0.0398   1.0000
   9.500   0.9334   0.02747   0.02055   0.0316   0.0310   1.0000
  10.000   0.9608   0.03153   0.02497   0.0340   0.0260   1.0000
  10.500   0.9817   0.03511   0.02870   0.0352   0.0219   1.0000
  11.000   0.9820   0.04163   0.03573   0.0372   0.0207   1.0000
  11.500   0.9718   0.04764   0.04222   0.0378   0.0202   1.0000
  12.000   0.9518   0.05537   0.05041   0.0361   0.0200   1.0000
  12.500   0.9217   0.06517   0.06062   0.0320   0.0201   1.0000
  13.000   0.8850   0.07726   0.07306   0.0251   0.0202   1.0000
  13.500   0.8408   0.09306   0.08914   0.0150   0.0206   1.0000
  14.000   0.8047   0.11039   0.10667   0.0044   0.0213   1.0000
