  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 81  13%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3395   0.02836   0.02154  -0.0142   0.6540   0.0329
  -4.500  -0.2897   0.02336   0.01539  -0.0117   0.6287   0.0286
  -4.000  -0.2363   0.02056   0.01201  -0.0101   0.6046   0.0287
  -3.500  -0.1825   0.01825   0.00957  -0.0090   0.5797   0.0307
  -3.000  -0.1292   0.01685   0.00804  -0.0079   0.5566   0.0369
  -2.500  -0.0770   0.01544   0.00654  -0.0065   0.5358   0.0480
  -2.000  -0.0280   0.01345   0.00540  -0.0052   0.5160   0.2332
  -1.500   0.0128   0.01159   0.00513  -0.0023   0.4970   0.6275
  -1.000   0.0774   0.01147   0.00562  -0.0001   0.4771   0.9426
  -0.500   0.2027   0.01184   0.00543  -0.0123   0.4526   0.9860
   0.000   0.2876   0.01192   0.00511  -0.0181   0.4342   1.0000
   0.500   0.3362   0.01209   0.00504  -0.0169   0.4193   1.0000
   1.000   0.3850   0.01234   0.00507  -0.0156   0.4055   1.0000
   1.500   0.4339   0.01267   0.00519  -0.0143   0.3936   1.0000
   2.000   0.4828   0.01303   0.00533  -0.0130   0.3820   1.0000
   2.500   0.5320   0.01341   0.00564  -0.0117   0.3707   1.0000
   3.000   0.5812   0.01391   0.00600  -0.0104   0.3611   1.0000
   3.500   0.6305   0.01435   0.00633  -0.0092   0.3513   1.0000
   4.000   0.6800   0.01496   0.00692  -0.0081   0.3426   1.0000
   4.500   0.7298   0.01549   0.00733  -0.0070   0.3342   1.0000
   5.000   0.7794   0.01617   0.00808  -0.0060   0.3259   1.0000
   5.500   0.8299   0.01679   0.00860  -0.0051   0.3185   1.0000
   6.000   0.8798   0.01758   0.00949  -0.0043   0.3106   1.0000
   6.500   0.9309   0.01827   0.01016  -0.0036   0.3036   1.0000
   7.000   0.9809   0.01920   0.01117  -0.0030   0.2965   1.0000
   7.500   1.0313   0.01998   0.01205  -0.0024   0.2893   1.0000
   8.000   1.0818   0.02102   0.01308  -0.0020   0.2830   1.0000
   8.500   1.1297   0.02194   0.01426  -0.0014   0.2755   1.0000
   9.000   1.1814   0.02295   0.01517  -0.0011   0.2696   1.0000
   9.500   1.2249   0.02418   0.01680  -0.0003   0.2622   1.0000
  10.000   1.2748   0.02505   0.01768   0.0002   0.2561   1.0000
  10.500   1.3162   0.02661   0.01954   0.0010   0.2491   1.0000
  11.000   1.3616   0.02755   0.02060   0.0018   0.2424   1.0000
  11.500   1.4015   0.02911   0.02238   0.0027   0.2358   1.0000
  12.000   1.4389   0.03031   0.02382   0.0040   0.2286   1.0000
  12.500   1.4764   0.03177   0.02542   0.0051   0.2221   1.0000
  13.000   1.5004   0.03337   0.02732   0.0073   0.2149   1.0000
  13.500   1.5310   0.03485   0.02890   0.0089   0.2084   1.0000
  14.000   1.5179   0.03790   0.03231   0.0129   0.2023   1.0000
  14.500   1.5486   0.03922   0.03363   0.0139   0.1957   1.0000
  15.000   1.5036   0.04654   0.04140   0.0137   0.1897   1.0000
  15.500   1.5390   0.04758   0.04241   0.0142   0.1826   1.0000
  16.000   1.4138   0.06721   0.06262   0.0056   0.1769   1.0000
  16.500   1.4830   0.06362   0.05895   0.0083   0.1692   1.0000
  17.000   0.9879   0.16097   0.15653  -0.0435   0.1342   1.0000
  17.500   0.9654   0.17561   0.17123  -0.0517   0.1237   1.0000
