  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 83  13.29%                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1090   0.05077   0.04647  -0.0535   0.6204   0.0750
  -4.500  -0.0628   0.04298   0.03816  -0.0607   0.6015   0.0856
  -4.000  -0.0144   0.03857   0.03350  -0.0622   0.5816   0.0929
  -3.500   0.0392   0.03285   0.02725  -0.0653   0.5630   0.1030
  -3.000   0.1139   0.01857   0.01005  -0.0668   0.5485   0.0415
  -2.500   0.1706   0.01692   0.00828  -0.0664   0.5295   0.0452
  -2.000   0.2279   0.01573   0.00697  -0.0659   0.5114   0.0511
  -1.500   0.2859   0.01478   0.00603  -0.0658   0.4936   0.0809
  -1.000   0.3432   0.01386   0.00565  -0.0660   0.4768   0.2486
  -0.500   0.3988   0.01337   0.00572  -0.0659   0.4612   0.4394
   0.000   0.4489   0.01270   0.00584  -0.0640   0.4466   0.7076
   0.500   0.5081   0.01241   0.00571  -0.0633   0.4326   1.0000
   1.000   0.5659   0.01288   0.00579  -0.0633   0.4207   1.0000
   1.500   0.6234   0.01330   0.00593  -0.0633   0.4087   1.0000
   2.000   0.6806   0.01379   0.00623  -0.0633   0.3973   1.0000
   2.500   0.7373   0.01440   0.00658  -0.0633   0.3882   1.0000
   3.000   0.7939   0.01490   0.00697  -0.0632   0.3784   1.0000
   3.500   0.8499   0.01556   0.00749  -0.0632   0.3700   1.0000
   4.000   0.9058   0.01616   0.00802  -0.0631   0.3619   1.0000
   4.500   0.9611   0.01694   0.00867  -0.0630   0.3547   1.0000
   5.000   1.0159   0.01759   0.00934  -0.0629   0.3469   1.0000
   6.000   1.1240   0.01925   0.01101  -0.0627   0.3335   1.0000
   6.500   1.1781   0.02001   0.01171  -0.0626   0.3275   1.0000
   7.000   1.2303   0.02111   0.01287  -0.0624   0.3216   1.0000
   7.500   1.2816   0.02199   0.01389  -0.0621   0.3149   1.0000
   8.000   1.3352   0.02297   0.01478  -0.0620   0.3097   1.0000
   8.500   1.3823   0.02425   0.01634  -0.0615   0.3035   1.0000
   9.000   1.4317   0.02526   0.01747  -0.0611   0.2976   1.0000
   9.500   1.4834   0.02654   0.01870  -0.0609   0.2926   1.0000
  10.000   1.5234   0.02801   0.02056  -0.0598   0.2861   1.0000
  10.500   1.5711   0.02905   0.02168  -0.0593   0.2808   1.0000
  11.000   1.6144   0.03067   0.02346  -0.0585   0.2753   1.0000
  11.500   1.6472   0.03241   0.02554  -0.0569   0.2690   1.0000
  12.000   1.6976   0.03322   0.02632  -0.0565   0.2637   1.0000
  12.500   1.7162   0.03576   0.02929  -0.0539   0.2575   1.0000
  13.000   1.7430   0.03733   0.03105  -0.0517   0.2516   1.0000
  13.500   1.7813   0.03873   0.03253  -0.0505   0.2461   1.0000
  14.000   1.7406   0.04342   0.03767  -0.0445   0.2406   1.0000
  14.500   1.7776   0.04428   0.03856  -0.0434   0.2350   1.0000
  15.000   1.7324   0.05197   0.04663  -0.0422   0.2294   1.0000
  15.500   1.6315   0.06802   0.06310  -0.0464   0.2224   1.0000
