  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6208   0.01310   0.00583   0.0098   1.0000   0.2712
  -4.500  -0.5795   0.01238   0.00539   0.0123   1.0000   0.3429
  -4.000  -0.5370   0.01180   0.00510   0.0145   1.0000   0.4134
  -3.500  -0.4927   0.01137   0.00494   0.0164   1.0000   0.4830
  -3.000  -0.4474   0.01107   0.00491   0.0180   1.0000   0.5519
  -2.500  -0.3943   0.01087   0.00499   0.0181   0.9976   0.6227
  -2.000  -0.3082   0.01068   0.00510   0.0120   0.9840   0.6993
  -1.500  -0.2258   0.01049   0.00517   0.0072   0.9678   0.7665
  -0.500  -0.0695   0.01025   0.00521   0.0008   0.9298   0.8682
   0.000   0.0000   0.01021   0.00521   0.0000   0.9035   0.9034
   0.500   0.0695   0.01025   0.00521  -0.0008   0.8682   0.9298
   1.000   0.1452   0.01034   0.00520  -0.0032   0.8239   0.9503
   1.500   0.2258   0.01049   0.00517  -0.0072   0.7665   0.9678
   2.000   0.3082   0.01068   0.00510  -0.0120   0.6993   0.9840
   2.500   0.3943   0.01087   0.00499  -0.0181   0.6227   0.9976
   3.000   0.4473   0.01106   0.00491  -0.0180   0.5520   1.0000
   3.500   0.4926   0.01136   0.00494  -0.0163   0.4831   1.0000
   4.000   0.5368   0.01180   0.00509  -0.0144   0.4135   1.0000
   4.500   0.5794   0.01237   0.00539  -0.0122   0.3430   1.0000
   5.000   0.6207   0.01310   0.00583  -0.0098   0.2713   1.0000
   5.500   0.6602   0.01406   0.00647  -0.0071   0.2051   1.0000
   6.000   0.6981   0.01524   0.00735  -0.0042   0.1545   1.0000
   6.500   0.7364   0.01647   0.00844  -0.0011   0.1210   1.0000
   7.000   0.7733   0.01789   0.00973   0.0021   0.0997   1.0000
   7.500   0.8111   0.01943   0.01123   0.0051   0.0852   1.0000
   8.000   0.8496   0.02120   0.01296   0.0079   0.0745   1.0000
   8.500   0.8903   0.02266   0.01453   0.0104   0.0664   1.0000
   9.000   0.9305   0.02487   0.01692   0.0128   0.0601   1.0000
   9.500   0.9706   0.02751   0.01955   0.0147   0.0548   1.0000
  10.000   1.0077   0.02991   0.02236   0.0173   0.0509   1.0000
  10.500   1.0450   0.03327   0.02573   0.0190   0.0472   1.0000
  11.000   1.0668   0.03683   0.02998   0.0229   0.0450   1.0000
  11.500   1.0827   0.04095   0.03460   0.0267   0.0430   1.0000
  12.000   1.1015   0.04434   0.03813   0.0296   0.0410   1.0000
  12.500   1.0885   0.05036   0.04454   0.0344   0.0399   1.0000
  13.000   1.0512   0.05730   0.05204   0.0374   0.0397   1.0000
  13.500   1.0059   0.06748   0.06269   0.0346   0.0397   1.0000
  14.000   0.9546   0.08156   0.07714   0.0265   0.0400   1.0000
  14.500   0.5279   0.14587   0.14221   0.0004   0.0754   1.0000
  15.000   0.4890   0.15267   0.14898  -0.0061   0.0719   1.0000
  15.500   0.4957   0.15710   0.15343  -0.0076   0.0667   1.0000
  16.000   0.5320   0.16382   0.16017  -0.0052   0.0644   1.0000
  16.500   0.4957   0.16825   0.16459  -0.0129   0.0610   1.0000
  17.000   0.5046   0.17286   0.16922  -0.0146   0.0571   1.0000
  17.500   0.5347   0.18004   0.17642  -0.0133   0.0551   1.0000
  18.000   0.5115   0.18382   0.18020  -0.0199   0.0517   1.0000
