  
       XFOIL         Version 6.96
  
 Calculated polar for: N-14                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6999   0.01591   0.00780   0.0268   1.0000   0.1355
  -4.500  -0.6698   0.01519   0.00720   0.0311   1.0000   0.1652
  -4.000  -0.6316   0.01467   0.00680   0.0337   0.9989   0.1978
  -3.500  -0.5671   0.01399   0.00662   0.0308   0.9900   0.2937
  -3.000  -0.5109   0.01304   0.00646   0.0297   0.9798   0.4534
  -2.500  -0.4618   0.01219   0.00669   0.0312   0.9689   0.6762
  -2.000  -0.3896   0.01225   0.00706   0.0286   0.9599   0.7897
  -1.500  -0.3103   0.01235   0.00722   0.0248   0.9477   0.8479
  -1.000  -0.2248   0.01247   0.00732   0.0197   0.9354   0.8842
  -0.500  -0.1166   0.01267   0.00747   0.0103   0.9261   0.9055
   0.000  -0.0068   0.01287   0.00766   0.0003   0.9196   0.9194
   1.000   0.2384   0.01286   0.00773  -0.0239   0.8967   0.9416
   1.500   0.3390   0.01250   0.00740  -0.0318   0.8598   0.9523
   2.000   0.4208   0.01227   0.00708  -0.0360   0.8055   0.9636
   2.500   0.4840   0.01211   0.00673  -0.0369   0.7151   0.9745
   3.000   0.5411   0.01246   0.00633  -0.0367   0.5441   0.9851
   3.500   0.6000   0.01313   0.00627  -0.0381   0.3991   0.9951
   4.000   0.6510   0.01364   0.00644  -0.0381   0.3204   1.0000
   4.500   0.6827   0.01419   0.00677  -0.0340   0.2515   1.0000
   5.000   0.7094   0.01521   0.00730  -0.0292   0.1588   1.0000
   5.500   0.7340   0.01651   0.00832  -0.0238   0.1110   1.0000
   6.000   0.7616   0.01754   0.00932  -0.0187   0.0959   1.0000
   6.500   0.7888   0.01866   0.01041  -0.0135   0.0868   1.0000
   7.000   0.8185   0.01967   0.01150  -0.0087   0.0802   1.0000
   7.500   0.8481   0.02122   0.01306  -0.0041   0.0745   1.0000
   8.000   0.8795   0.02257   0.01453   0.0003   0.0689   1.0000
   8.500   0.9132   0.02498   0.01704   0.0039   0.0635   1.0000
   9.000   0.9426   0.02675   0.01907   0.0084   0.0581   1.0000
   9.500   0.9719   0.03052   0.02304   0.0121   0.0528   1.0000
  10.000   0.9904   0.03272   0.02572   0.0182   0.0488   1.0000
  10.500   1.0114   0.03528   0.02842   0.0230   0.0449   1.0000
  11.000   1.0108   0.04020   0.03384   0.0302   0.0422   1.0000
  11.500   0.9939   0.04396   0.03816   0.0396   0.0405   1.0000
  12.000   0.9640   0.04836   0.04303   0.0486   0.0395   1.0000
  12.500   0.9293   0.05414   0.04921   0.0539   0.0387   1.0000
  13.000   0.8673   0.06465   0.06020   0.0535   0.0395   1.0000
  13.500   0.7869   0.08302   0.07895   0.0422   0.0412   1.0000
  14.500   0.4590   0.14066   0.13691   0.0136   0.0736   1.0000
  15.000   0.4628   0.14501   0.14129   0.0117   0.0672   1.0000
  15.500   0.4860   0.15146   0.14776   0.0125   0.0645   1.0000
  16.000   0.4584   0.15646   0.15275   0.0052   0.0591   1.0000
  16.500   0.4744   0.16085   0.15717   0.0042   0.0549   1.0000
  17.000   0.4942   0.16889   0.16524   0.0037   0.0531   1.0000
  17.500   0.4749   0.17288   0.16923  -0.0033   0.0500   1.0000
  18.000   0.4844   0.17783   0.17420  -0.0058   0.0457   1.0000
