  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6084   0.01412   0.00638   0.0099   1.0000   0.1267
  -4.500  -0.5884   0.01134   0.00538   0.0140   0.9994   0.4543
  -4.000  -0.5090   0.01100   0.00539   0.0087   0.9861   0.5914
  -3.500  -0.4297   0.01103   0.00544   0.0039   0.9722   0.6532
  -3.000  -0.3533   0.01113   0.00553   0.0001   0.9577   0.6999
  -2.500  -0.2829   0.01114   0.00551  -0.0023   0.9413   0.7347
  -2.000  -0.2178   0.01105   0.00542  -0.0036   0.9232   0.7590
  -1.500  -0.1584   0.01089   0.00519  -0.0038   0.9039   0.7805
  -1.000  -0.1042   0.01078   0.00508  -0.0028   0.8829   0.7997
  -0.500  -0.0518   0.01072   0.00500  -0.0014   0.8615   0.8201
   0.000   0.0000   0.01068   0.00492   0.0000   0.8416   0.8416
   0.500   0.0519   0.01072   0.00500   0.0014   0.8201   0.8615
   1.000   0.1042   0.01078   0.00508   0.0028   0.7997   0.8829
   1.500   0.1584   0.01089   0.00519   0.0038   0.7805   0.9039
   2.000   0.2178   0.01105   0.00542   0.0036   0.7590   0.9232
   2.500   0.2830   0.01114   0.00551   0.0023   0.7347   0.9412
   3.000   0.3534   0.01113   0.00553  -0.0002   0.6999   0.9577
   3.500   0.4298   0.01103   0.00544  -0.0040   0.6531   0.9722
   4.000   0.5090   0.01100   0.00539  -0.0087   0.5913   0.9860
   4.500   0.5884   0.01134   0.00538  -0.0140   0.4543   0.9994
   5.000   0.6085   0.01413   0.00639  -0.0099   0.1263   1.0000
   5.500   0.6317   0.01595   0.00783  -0.0050   0.0709   1.0000
   6.000   0.6578   0.01775   0.00957  -0.0001   0.0568   1.0000
   6.500   0.6916   0.01927   0.01112   0.0036   0.0486   1.0000
   7.000   0.7292   0.02177   0.01367   0.0067   0.0443   1.0000
   7.500   0.7732   0.02437   0.01650   0.0088   0.0417   1.0000
   8.000   0.8173   0.02762   0.02006   0.0108   0.0400   1.0000
   8.500   0.8570   0.03116   0.02383   0.0126   0.0376   1.0000
   9.000   0.8899   0.03633   0.02965   0.0156   0.0378   1.0000
   9.500   0.8908   0.04822   0.04297   0.0219   0.0486   1.0000
  11.500 NaN      NaN       NaN       NaN        0.0724   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
