  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-215 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3813   0.01271   0.00683  -0.0436   0.8605   0.5141
  -4.500  -0.3294   0.01286   0.00685  -0.0423   0.8449   0.5520
  -4.000  -0.2771   0.01317   0.00706  -0.0408   0.8301   0.5875
  -3.500  -0.2238   0.01338   0.00724  -0.0396   0.8156   0.6114
  -3.000  -0.1700   0.01354   0.00733  -0.0386   0.8006   0.6327
  -2.500  -0.1154   0.01361   0.00732  -0.0380   0.7864   0.6499
  -2.000  -0.0604   0.01359   0.00723  -0.0376   0.7727   0.6640
  -1.500  -0.0049   0.01357   0.00712  -0.0374   0.7599   0.6779
  -1.000   0.0510   0.01353   0.00696  -0.0372   0.7478   0.6919
  -0.500   0.1069   0.01353   0.00693  -0.0373   0.7341   0.7061
   0.000   0.1620   0.01357   0.00701  -0.0370   0.7210   0.7184
   0.500   0.2174   0.01361   0.00705  -0.0367   0.7089   0.7313
   1.000   0.2736   0.01363   0.00704  -0.0366   0.6978   0.7448
   1.500   0.3287   0.01371   0.00718  -0.0365   0.6843   0.7591
   2.000   0.3838   0.01382   0.00735  -0.0363   0.6712   0.7740
   2.500   0.4384   0.01392   0.00752  -0.0359   0.6586   0.7885
   3.000   0.4926   0.01400   0.00766  -0.0353   0.6465   0.8032
   3.500   0.5461   0.01406   0.00782  -0.0345   0.6325   0.8185
   4.000   0.5986   0.01401   0.00784  -0.0334   0.6153   0.8349
   4.500   0.6490   0.01396   0.00794  -0.0320   0.5958   0.8521
   5.000   0.6984   0.01381   0.00791  -0.0303   0.5728   0.8708
   5.500   0.7432   0.01351   0.00770  -0.0274   0.5422   0.8902
   6.000   0.7855   0.01334   0.00764  -0.0242   0.5098   0.9132
   6.500   0.8269   0.01325   0.00763  -0.0210   0.4718   0.9413
   7.000   0.8822   0.01352   0.00787  -0.0214   0.3991   0.9740
   7.500   0.9189   0.01559   0.00908  -0.0213   0.2375   1.0000
   8.000   0.9312   0.01888   0.01147  -0.0178   0.1160   1.0000
   8.500   0.9450   0.02145   0.01379  -0.0135   0.0862   1.0000
   9.000   0.9641   0.02386   0.01616  -0.0104   0.0731   1.0000
   9.500   0.9837   0.02654   0.01877  -0.0077   0.0642   1.0000
  10.000   1.0105   0.02882   0.02114  -0.0059   0.0573   1.0000
  10.500   1.0392   0.03157   0.02394  -0.0039   0.0519   1.0000
  11.000   1.0726   0.03416   0.02649  -0.0025   0.0473   1.0000
  11.500   1.1082   0.03711   0.02965  -0.0012   0.0433   1.0000
  12.000   1.1422   0.04012   0.03280   0.0000   0.0405   1.0000
  12.500   1.1874   0.04469   0.03755   0.0004   0.0384   1.0000
  13.000   1.1956   0.04950   0.04289   0.0025   0.0375   1.0000
  13.500   1.1916   0.05542   0.04932   0.0041   0.0368   1.0000
  14.000   1.1758   0.06248   0.05687   0.0047   0.0362   1.0000
  14.500   1.1486   0.07116   0.06604   0.0036   0.0358   1.0000
  15.000   1.1067   0.08266   0.07803  -0.0001   0.0360   1.0000
  15.500   1.0513   0.09789   0.09374  -0.0077   0.0366   1.0000
  16.000   0.9858   0.11822   0.11447  -0.0202   0.0376   1.0000
  17.000   0.6502   0.18195   0.17906  -0.0545   0.0651   1.0000
  17.500   0.8221   0.20744   0.20389  -0.0721   0.0578   1.0000
  18.000   0.8522   0.21234   0.20884  -0.0723   0.0555   1.0000
