  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63(2)-215 MOD B                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3556   0.01284   0.00723  -0.0398   0.8833   0.4905
  -4.500  -0.3031   0.01298   0.00737  -0.0384   0.8702   0.5345
  -4.000  -0.2500   0.01323   0.00755  -0.0368   0.8576   0.5713
  -3.500  -0.1983   0.01346   0.00776  -0.0346   0.8411   0.6004
  -3.000  -0.1463   0.01360   0.00780  -0.0326   0.8230   0.6255
  -2.500  -0.0938   0.01373   0.00793  -0.0305   0.8054   0.6461
  -2.000  -0.0387   0.01367   0.00779  -0.0295   0.7917   0.6614
  -1.500   0.0164   0.01355   0.00760  -0.0286   0.7758   0.6760
  -1.000   0.0718   0.01339   0.00735  -0.0278   0.7591   0.6898
  -0.500   0.1262   0.01323   0.00719  -0.0265   0.7400   0.7020
   0.000   0.1807   0.01303   0.00698  -0.0254   0.7179   0.7148
   0.500   0.2358   0.01276   0.00662  -0.0243   0.6933   0.7278
   1.000   0.2902   0.01254   0.00636  -0.0232   0.6612   0.7420
   1.500   0.3437   0.01237   0.00613  -0.0219   0.6152   0.7561
   2.000   0.3903   0.01254   0.00589  -0.0193   0.4870   0.7703
   2.500   0.4272   0.01393   0.00634  -0.0161   0.3445   0.7846
   3.000   0.4736   0.01475   0.00691  -0.0144   0.3051   0.7998
   3.500   0.5217   0.01532   0.00738  -0.0130   0.2763   0.8153
   4.000   0.5689   0.01595   0.00788  -0.0114   0.2551   0.8317
   4.500   0.6151   0.01658   0.00844  -0.0096   0.2379   0.8498
   5.000   0.6607   0.01713   0.00901  -0.0076   0.2234   0.8695
   5.500   0.7033   0.01767   0.00958  -0.0050   0.2104   0.8903
   6.000   0.7423   0.01826   0.01020  -0.0017   0.1992   0.9148
   6.500   0.7831   0.01894   0.01082   0.0011   0.1890   0.9447
   7.000   0.8474   0.01963   0.01165  -0.0012   0.1778   0.9803
   7.500   0.9091   0.02069   0.01271  -0.0040   0.1669   1.0000
   8.000   0.9650   0.02203   0.01385  -0.0055   0.1574   1.0000
   8.500   1.0156   0.02308   0.01510  -0.0057   0.1499   1.0000
   9.000   1.0680   0.02464   0.01652  -0.0062   0.1430   1.0000
   9.500   1.1130   0.02611   0.01824  -0.0055   0.1371   1.0000
  10.000   1.1573   0.02737   0.01952  -0.0047   0.1311   1.0000
  10.500   1.2014   0.02955   0.02179  -0.0042   0.1260   1.0000
  11.000   1.2353   0.03135   0.02388  -0.0022   0.1213   1.0000
  11.500   1.2706   0.03308   0.02571  -0.0005   0.1171   1.0000
  12.000   1.3086   0.03626   0.02894   0.0001   0.1130   1.0000
  12.500   1.3149   0.03866   0.03175   0.0049   0.1103   1.0000
  13.000   1.3197   0.04165   0.03507   0.0085   0.1072   1.0000
  13.500   1.3256   0.04500   0.03865   0.0109   0.1045   1.0000
  14.000   1.3375   0.04842   0.04221   0.0124   0.1023   1.0000
  14.500   1.3397   0.05420   0.04818   0.0132   0.1000   1.0000
  15.000   1.2891   0.06341   0.05791   0.0130   0.0991   1.0000
  15.500   1.1674   0.08382   0.07902   0.0040   0.0989   1.0000
  16.500   0.6133   0.18549   0.18203  -0.0600   0.1046   1.0000
  17.000   0.6358   0.19022   0.18680  -0.0618   0.1015   1.0000
  17.500   0.6847   0.19944   0.19604  -0.0606   0.0997   1.0000
  18.000   0.6420   0.20374   0.20043  -0.0712   0.0930   1.0000
