  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 64(1)-212                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.1521   0.01122   0.00549  -0.0454   0.8876   0.6637
  -2.500  -0.1043   0.01172   0.00602  -0.0421   0.8708   0.7133
  -2.000  -0.0532   0.01181   0.00604  -0.0404   0.8532   0.7348
  -1.500  -0.0005   0.01178   0.00591  -0.0395   0.8366   0.7501
  -1.000   0.0535   0.01172   0.00573  -0.0389   0.8214   0.7652
  -0.500   0.1069   0.01170   0.00567  -0.0383   0.8055   0.7789
   0.000   0.1613   0.01169   0.00560  -0.0379   0.7912   0.7947
   0.500   0.2144   0.01172   0.00566  -0.0372   0.7772   0.8096
   1.000   0.2677   0.01178   0.00575  -0.0367   0.7632   0.8267
   1.500   0.3202   0.01186   0.00588  -0.0358   0.7505   0.8444
   2.000   0.3713   0.01194   0.00604  -0.0346   0.7372   0.8627
   2.500   0.4208   0.01200   0.00623  -0.0330   0.7222   0.8829
   3.000   0.4698   0.01203   0.00635  -0.0312   0.7085   0.9052
   3.500   0.5156   0.01172   0.00613  -0.0281   0.6820   0.9295
   4.000   0.5684   0.01116   0.00556  -0.0263   0.6409   0.9561
   4.500   0.6412   0.01095   0.00542  -0.0295   0.5975   0.9791
   5.000   0.7143   0.01100   0.00541  -0.0334   0.5073   1.0000
   5.500   0.7182   0.01430   0.00669  -0.0268   0.1388   1.0000
   6.000   0.7535   0.01683   0.00869  -0.0249   0.0712   1.0000
   6.500   0.7937   0.01878   0.01058  -0.0233   0.0569   1.0000
   7.500   0.8808   0.02349   0.01523  -0.0207   0.0444   1.0000
   8.000   0.9317   0.02616   0.01799  -0.0202   0.0410   1.0000
   8.500   0.9839   0.03015   0.02223  -0.0200   0.0389   1.0000
   9.000   1.0286   0.03478   0.02746  -0.0187   0.0384   1.0000
   9.500   1.0617   0.04060   0.03400  -0.0163   0.0383   1.0000
